FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
16001.0,Idaho,Ada,,2.9,3.2,85.0,71.1,10.8,18.700000000000003,15.3,,98.062475287,7.1,57159.0,,6.8,1.6,2.1,7.1,,380920.0,11.6,,,31.0,,,33.0,3.6,17.0,15.9,
16003.0,Idaho,Adams,,3.4,2.6,95.0,52.3,21.1,75.0,22.3,,28.074115665,0.0,37479.0,,100.0,0.1,0.7,3.1,,3499.0,37.1,,,27.4,,,28.1,0.0,21.0,18.3,
16005.0,Idaho,Bannock,,3.7,3.6,80.0,69.0,16.4,37.5,20.1,,84.905312119,7.4,47819.0,,17.3,0.9,1.3,6.3,,80812.0,18.1,,,37.3,,,31.0,1.5,4.0,16.7,
16007.0,Idaho,Bear Lake,,4.1,4.0,90.0,56.7,16.3,60.0,27.8,,103.18142734,0.0,40589.0,,57.5,0.2,0.1,3.3,,5798.0,21.2,,,20.5,,,17.7,0.3,0.0,12.6,
16009.0,Idaho,Benewah,,3.7,3.5,70.0,40.6,22.3,60.0,27.8,,31.972716615,0.0,39173.0,,68.5,0.2,0.2,2.9,,9352.0,31.7,,,54.7,,,27.2,0.3,8.0,25.3,
16011.0,Idaho,Bingham,,3.5,3.0,80.0,52.9,17.2,20.0,23.6,,27.237442404,4.5,45890.0,,58.4,0.7,0.8,16.5,,43903.0,24.8,,,44.9,,,25.6,6.7,8.0,16.2,
16013.0,Idaho,Blaine,,2.0,2.9,70.0,59.6,9.8,60.0,12.8,,108.66612334,18.1,65239.0,,33.4,0.4,1.3,18.9,,21731.0,36.4,,,36.8,,,42.6,9.3,14.0,16.0,
16015.0,Idaho,Boise,,3.9,4.3,70.0,55.5,18.2,50.0,22.8,,13.218770654,0.0,50834.0,,100.0,0.1,0.3,4.8,,7504.0,33.7,,,25.4,,,29.3,2.3,31.0,17.7,
16017.0,Idaho,Bonner,,3.5,3.4,85.0,53.1,22.9,72.7,18.9,,57.850841248,2.4,41630.0,,77.4,0.3,0.4,2.5,,41168.0,20.5,,,31.7,,,34.5,1.0,8.0,19.9,
16019.0,Idaho,Bonneville,,3.3,3.3,90.0,65.0,13.7,57.1,20.3,,49.368287424,9.1,52254.0,,18.8,0.9,0.8,10.4,,99135.0,20.5,,,48.8,,,27.7,3.3,8.0,14.0,
16021.0,Idaho,Boundary,,3.7,3.6,80.0,29.5,21.7,75.0,25.7,,73.146200969,0.0,40817.0,,73.2,0.3,0.7,4.1,,10962.0,40.4,,,35.4,,,32.1,0.8,3.0,21.4,
