FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
27001.0,Minnesota,Aitkin,,2.9,2.8,90.0,56.0,22.6,50.0,21.3,,75.514442137,6.3,39680.0,,100.0,0.4,0.2,1.0,,15736.0,21.8,,,32.5,,,32.4,0.9,2.0,15.1,
27003.0,Minnesota,Anoka,,3.2,3.1,80.0,68.6,7.4,16.700000000000003,17.5,,65.653894553,34.7,69981.0,,14.4,4.0,3.9,2.9,,327090.0,10.8,,,22.9,,,33.3,3.7,0.0,20.6,
27005.0,Minnesota,Becker,,3.3,2.3,85.0,64.8,17.7,60.0,21.0,,90.798083847,47.0,43999.0,,75.6,0.5,0.5,1.4,,32000.0,18.8,,,35.2,,,27.3,0.4,0.0,23.2,
27007.0,Minnesota,Beltrami,,2.9,3.0,70.0,64.8,25.2,55.6,19.2,,86.793659495,54.8,44742.0,,68.9,0.7,0.8,1.7,,43835.0,29.2,,,51.0,,,30.1,1.0,0.0,32.4,
27009.0,Minnesota,Benton,,3.7,2.6,85.0,64.3,12.8,20.0,18.1,,27.569613274,20.1,50587.0,,40.8,1.7,1.3,1.4,,39878.0,14.7,,,36.1,,,33.1,1.3,0.0,14.1,
27011.0,Minnesota,Big Stone,,,,85.0,66.1,16.2,66.7,20.2,,113.18619128,0.0,39768.0,,100.0,0.2,0.5,0.5,,5365.0,33.7,,,17.7,,,23.2,0.8,0.0,,
27013.0,Minnesota,Blue Earth,,2.5,2.8,90.0,70.9,12.1,70.0,18.6,,90.747096093,90.7,49098.0,,36.9,2.4,2.3,2.2,,60401.0,10.8,,,15.1,,,34.3,2.6,0.0,21.1,
27015.0,Minnesota,Brown,,2.6,2.4,100.0,58.6,10.4,20.0,19.3,,93.211123194,35.0,48652.0,,37.1,0.2,0.5,3.5,,25862.0,15.1,,,21.3,,,22.5,2.3,0.0,,
27017.0,Minnesota,Carlton,,4.4,4.1,90.0,65.9,12.3,54.5,18.8,,70.41013906,55.7,49278.0,,63.4,1.1,0.5,1.5,,33933.0,17.3,,,31.3,,,31.0,0.9,1.0,19.4,
27019.0,Minnesota,Carver,,2.7,3.3,,79.5,4.9,58.3,15.4,,97.602094009,46.6,84085.0,,22.7,1.7,2.6,4.0,,90043.0,10.4,,,13.7,,,32.0,3.0,0.0,14.8,
