FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
47001.0,Tennessee,Anderson,,5.3,3.5,75.0,48.5,21.7,20.0,32.6,,88.970370171,10.8,44193.0,,41.5,4.2,1.3,2.0,,74169.0,23.7,,,53.2,,,26.2,1.3,0.0,23.1,
47003.0,Tennessee,Bedford,,4.5,3.1,75.0,34.4,22.5,80.0,31.3,,35.254715318,0.0,39186.0,,59.1,7.3,0.7,15.0,,44696.0,25.5,,,84.7,,,30.1,9.4,0.0,,
47005.0,Tennessee,Benton,,6.8,3.1,80.0,40.6,29.4,50.0,33.1,,24.88955261,0.0,33686.0,,77.5,2.4,0.4,1.5,,16193.0,42.8,,,59.1,,,24.2,0.5,0.0,,
47007.0,Tennessee,Bledsoe,,6.3,3.3,65.0,22.7,33.1,0.0,34.3,,30.501753851,0.0,33640.0,,100.0,3.9,0.1,1.6,,13142.0,31.5,,,58.0,,,29.8,1.4,0.0,,
47009.0,Tennessee,Blount,,3.2,2.7,80.0,52.4,15.7,50.0,29.2,,64.955353472,5.8,47225.0,,36.8,3.2,1.1,1.9,,121511.0,23.4,,,45.9,,,25.8,1.4,2.0,26.1,
47011.0,Tennessee,Bradley,,4.2,4.0,70.0,54.1,18.6,40.0,32.4,,62.083523033,5.2,40532.0,,33.8,4.5,0.7,3.8,,96472.0,19.7,,,54.0,,,30.6,2.0,0.0,20.6,
47013.0,Tennessee,Campbell,,7.5,6.1,60.0,28.4,33.7,57.1,37.3,,39.23395699,0.0,30334.0,,56.6,0.6,0.2,1.4,,40936.0,23.4,,,74.5,,,29.4,0.8,0.0,29.6,
47015.0,Tennessee,Cannon,,4.0,2.7,75.0,29.9,21.7,50.0,32.8,,21.685701894,0.0,40527.0,,100.0,1.9,0.1,2.0,,13804.0,29.4,,,43.9,,,29.4,0.5,0.0,,
47017.0,Tennessee,Carroll,,4.4,4.7,80.0,38.5,25.1,72.7,36.3,,55.830832577,0.0,36091.0,,83.0,10.8,0.3,1.8,,28719.0,40.8,,,58.9,,,25.7,0.7,0.0,25.6,
47019.0,Tennessee,Carter,,5.2,4.3,70.0,43.5,28.3,50.0,34.7,,38.869735686,0.0,33874.0,,40.3,1.9,0.3,1.5,,59492.0,18.7,,,54.2,,,24.0,0.7,0.0,28.1,
47021.0,Tennessee,Cheatham,,2.8,4.0,70.0,47.6,13.4,40.0,30.8,,35.41434787,0.0,56602.0,,93.0,2.7,0.4,2.3,,39396.0,37.5,,,48.2,,,27.2,1.5,0.0,,
47023.0,Tennessee,Chester,,3.9,2.7,70.0,46.6,23.4,50.0,34.0,,24.563989192,0.0,39247.0,,65.1,10.1,0.3,1.6,,16309.0,31.6,,,34.8,,,24.6,0.7,0.0,,
47025.0,Tennessee,Claiborne,,5.7,4.7,70.0,38.4,31.0,50.0,35.9,,41.548147911,6.4,31866.0,,70.2,1.0,0.4,0.9,,31461.0,28.5,,,53.7,,,25.0,0.8,0.0,,
47027.0,Tennessee,Clay,,5.9,3.4,90.0,38.3,33.1,50.0,33.3,,12.666244459,0.0,28831.0,,100.0,3.3,0.3,3.2,,7794.0,50.5,,,55.2,,,24.9,0.1,0.0,,
47029.0,Tennessee,Cocke,,5.7,4.9,70.0,34.1,33.3,50.0,33.7,,58.652664507,0.0,30567.0,,67.0,2.3,0.2,1.6,,35688.0,38.9,,,79.7,,,28.2,0.8,0.0,25.9,
47031.0,Tennessee,Coffee,,4.0,3.8,95.0,42.9,24.7,20.0,25.4,,78.584708566,9.6,41072.0,,47.8,3.8,1.0,3.7,,52134.0,30.2,,,61.4,,,30.8,1.8,0.0,23.8,
47033.0,Tennessee,Crockett,,3.5,4.2,85.0,41.8,25.2,25.0,35.8,,20.746887967,0.0,41121.0,,100.0,13.2,0.1,9.8,,14186.0,37.9,,,66.4,,,28.3,2.8,0.0,,
47035.0,Tennessee,Cumberland,,5.2,3.4,70.0,43.0,26.0,20.0,31.4,,66.958058216,0.0,38360.0,,69.3,0.5,0.3,1.7,,53590.0,23.4,,,65.8,,,25.1,0.9,0.0,20.8,
47037.0,Tennessee,Davidson,,3.1,2.9,65.0,64.5,25.7,13.799999999999997,27.3,,149.79139042,25.9,46413.0,,4.4,27.4,2.9,8.7,,626144.0,16.3,,,53.8,,,36.6,7.0,4.0,20.4,
47039.0,Tennessee,Decatur,,7.5,3.3,80.0,37.0,26.8,40.0,32.8,,60.674352085,0.0,33365.0,,100.0,3.8,0.2,3.8,,11288.0,46.1,,,62.6,,,32.3,0.8,0.0,,
47041.0,Tennessee,DeKalb,,4.0,3.0,65.0,31.8,28.1,25.0,33.1,,58.207217695,5.3,37016.0,,79.6,1.8,0.5,6.5,,18694.0,27.0,,,78.6,,,25.8,4.4,0.0,21.3,
47043.0,Tennessee,Dickson,,4.0,4.0,85.0,44.8,19.2,50.0,33.0,,45.914640509,2.1,44572.0,,68.6,4.6,0.4,2.4,,47884.0,35.9,,,62.8,,,28.9,1.0,0.0,28.3,
47045.0,Tennessee,Dyer,,3.9,3.1,75.0,44.5,24.5,60.0,35.8,,79.529187212,0.0,39484.0,,43.5,14.4,0.5,2.4,,37600.0,23.3,,,76.2,,,33.5,0.9,3.0,33.2,
47047.0,Tennessee,Fayette,,3.9,2.3,80.0,50.1,17.6,20.0,31.9,,44.46885872,0.0,51673.0,,100.0,26.2,1.1,2.2,,38173.0,24.4,,,55.6,,,27.1,1.3,0.0,19.7,
47049.0,Tennessee,Fentress,,6.7,3.8,45.0,31.2,33.2,40.0,35.4,,45.392646391,0.0,28547.0,,100.0,0.4,0.1,1.2,,17667.0,54.7,,,61.2,,,29.5,0.5,0.0,,
47051.0,Tennessee,Franklin,,3.3,2.9,80.0,43.4,23.0,62.5,33.8,,70.407147539,7.3,40890.0,,70.5,5.7,0.5,2.6,,41165.0,24.4,,,44.0,,,25.6,1.9,0.0,27.8,
