FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
49001.0,Utah,Beaver,,3.4,2.4,95.0,44.1,12.2,66.7,24.0,,97.055968942,16.2,45994.0,,100.0,0.3,0.7,8.7,,6162.0,37.8,,,51.7,,,29.6,4.7,0.0,13.8,
49003.0,Utah,Box Elder,,3.3,3.1,94.0,59.2,9.6,85.7,24.8,,32.613791557,8.2,53678.0,,34.3,0.4,1.0,8.1,,49015.0,20.4,,,33.0,,,22.8,2.5,2.0,10.6,
49005.0,Utah,Cache,,3.1,2.7,93.0,71.9,10.7,57.1,17.6,,54.526114433,67.9,50023.0,,16.6,0.8,2.1,9.4,,112616.0,10.5,,,24.4,,,32.1,4.7,5.0,5.6,
49007.0,Utah,Carbon,,4.7,4.5,96.0,62.3,16.1,60.0,27.7,,51.007396072,51.0,45621.0,,37.9,0.6,0.6,11.9,,19549.0,23.4,,,36.6,,,24.2,1.4,0.0,21.7,
49009.0,Utah,Daggett,,2.5,3.2,100.0,52.4,9.2,50.0,22.9,,0.0,0.0,44963.0,,100.0,1.1,0.1,5.1,,938.0,15.6,,,,,,30.4,0.6,0.0,12.0,
49011.0,Utah,Davis,,3.2,3.0,92.0,72.6,7.7,36.4,17.3,,54.903901227,22.0,67004.0,,1.9,1.5,1.8,7.8,,295332.0,8.7,,,26.6,,,28.1,2.6,6.0,7.3,
49013.0,Utah,Duchesne,,4.0,3.4,82.0,43.2,14.3,63.6,25.7,,59.080704242,0.0,51616.0,,72.2,0.3,0.2,5.5,,16861.0,43.5,,,63.5,,,22.0,0.8,0.0,21.8,
49015.0,Utah,Emery,,4.2,3.9,93.0,52.7,13.6,25.0,22.0,,0.0,9.6,48569.0,,100.0,0.3,0.4,6.6,,10510.0,26.0,,,30.0,,,18.4,2.0,0.0,16.8,
49017.0,Utah,Garfield,,4.4,3.7,83.0,60.7,16.4,50.0,22.9,,21.739130435,0.0,43312.0,,100.0,0.2,0.4,4.0,,4658.0,12.8,,,28.4,,,23.9,0.5,0.0,14.1,
49019.0,Utah,Grand,,3.3,3.0,95.0,55.5,21.7,50.0,21.3,,114.60720984,41.7,38540.0,,23.7,0.3,0.2,7.7,,9589.0,27.2,,,46.9,,,29.2,4.6,0.0,22.9,
49021.0,Utah,Iron,,3.0,3.3,85.0,62.1,17.9,66.7,19.7,,40.729510793,22.6,45206.0,,34.9,0.8,1.4,6.6,,44540.0,16.0,,,31.2,,,34.1,2.8,0.0,13.7,
49023.0,Utah,Juab,,3.2,2.5,97.0,53.6,13.0,50.0,23.0,,50.0050005,0.0,49474.0,,45.0,0.2,0.3,3.8,,9983.0,30.7,,,40.3,,,25.4,0.9,0.0,14.7,
49025.0,Utah,Kane,,4.2,4.1,97.0,70.3,15.1,0.0,22.3,,45.864546705,30.6,45337.0,,54.8,0.2,0.2,3.3,,6577.0,23.2,,,33.6,,,25.9,0.5,0.0,12.5,
49027.0,Utah,Millard,,3.2,3.1,76.0,50.5,17.6,50.0,23.9,,57.875155023,0.0,46823.0,,74.6,0.3,0.6,13.9,,12082.0,32.0,,,39.2,,,24.3,7.0,0.0,13.3,
49029.0,Utah,Morgan,,2.0,2.5,91.0,70.1,4.6,50.0,17.5,,57.182067704,34.3,67768.0,,100.0,0.0,0.2,2.6,,8669.0,11.2,,,11.8,,,23.1,0.6,0.0,6.3,
