FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
17001.0,Illinois,Adams,,3.7,3.5,88.7,61.887007078,18.3,1.45,34.2,,79.228641901,23.9,41734.0,,33.6,3.5,0.5,1.0,,15824.0,9.7803045927,,,37.9,,,23.827765295,0.7446656165,1.0,23.0,
17003.0,Illinois,Alexander,,,,71.0,46.209386282,49.0,14.66,31.4,,24.654832347,0.0,29278.0,,58.8,33.3,0.5,1.6,,1939.0,27.34921733,,,90.6,,,22.94933655,0.7984031936,1.0,,
17005.0,Illinois,Bond,,5.5,5.3,85.3,59.952090592,18.8,20.52,31.4,,49.491339016,16.5,46364.0,,60.1,7.3,0.3,1.6,,4592.0,25.338907893,,,33.5,,,23.884892086,0.1595273264,0.0,,
17007.0,Illinois,Boone,,3.4,5.1,75.4,47.726321663,16.9,7.9,26.4,,51.955763379,5.6,57323.0,,30.4,2.6,1.4,20.3,,14338.0,15.983559767,,,35.9,,,36.151440697,8.5982061876,3.0,15.3,
17009.0,Illinois,Brown,,,,88.9,39.368836292,13.8,0.61,27.6,,,15.2,43640.0,,41.8,19.4,0.2,4.5,,2535.0,23.290281601,,,36.7,,,19.261337073,1.7554479419,1.0,,
17011.0,Illinois,Bureau,,3.6,1.7,84.2,53.129548763,17.6,2.81,29.7,,48.908196438,2.9,45580.0,,62.0,0.8,0.7,7.1,,8244.0,23.560858103,,,29.0,,,27.016460905,2.0202938058,0.0,,
17013.0,Illinois,Calhoun,,,,91.6,63.020833333,15.4,24.68,34.2,,79.617834395,19.9,45772.0,,100.0,0.1,0.2,0.7,,1152.0,,,,28.4,,,24.694376528,0.9104076143,0.0,,
17015.0,Illinois,Carroll,,2.3,1.9,89.0,54.720331459,21.0,8.35,32.5,,37.95306471,0.0,47032.0,,79.0,1.0,0.5,2.5,,3379.0,23.045763568,,,34.7,,,24.593437946,2.0153164047,2.0,,
17017.0,Illinois,Cass,,4.1,4.6,89.4,43.541984733,19.5,0.21,30.1,,7.3659398939,0.0,43183.0,,55.2,1.7,0.3,18.5,,3275.0,18.694112393,,,56.1,,,22.4045877,8.5317305441,1.0,,
17019.0,Illinois,Champaign,,2.9,2.9,86.2,76.425168718,20.2,5.77,25.1,,129.15758258,53.2,45803.0,,15.8,12.0,7.7,4.3,,50380.0,10.009084581,,,22.9,,,35.226265559,5.8668353833,1.0,16.3,
17021.0,Illinois,Christian,,4.3,2.4,83.3,56.338522767,20.0,0.61,27.1,,49.322540401,0.0,44253.0,,43.6,2.7,0.8,1.3,,8543.0,21.22908221,,,49.0,,,25.376724443,0.9491360428,1.0,23.0,
17023.0,Illinois,Clark,,4.5,3.3,83.0,63.303684879,18.6,2.41,31.8,,29.783178461,0.0,44312.0,,58.3,0.6,0.2,0.8,,3935.0,25.310688704,,,42.8,,,22.172817549,0.1410889502,1.0,,
17025.0,Illinois,Clay,,1.6,,80.9,60.506251906,22.3,6.7,31.6,,36.595184074,0.0,38091.0,,66.0,0.6,0.9,1.2,,3279.0,20.30869212,,,50.2,,,24.238646483,0.722077124,1.0,,
17027.0,Illinois,Clinton,,3.1,2.1,83.4,64.016001561,11.9,11.18,28.1,,43.953628921,0.0,52650.0,,41.7,4.2,0.4,2.4,,10249.0,24.414831616,,,30.8,,,21.451532252,0.8640471401,0.0,18.2,
17029.0,Illinois,Coles,,4.6,2.8,87.1,60.493603121,21.9,1.09,24.9,,59.488399762,23.0,38242.0,,24.0,3.3,1.0,2.0,,11021.0,18.829106476,,,25.5,,,34.755572563,1.2053641655,1.0,10.2,
17031.0,Illinois,Cook,,3.4,3.5,81.6,64.639982189,24.5,1.49,23.6,,135.84555344,60.7,51457.0,,0.1,25.5,5.9,23.2,,1545118.0,8.780802142,,,48.5,,,43.387309248,15.360561243,5.0,19.9,
17033.0,Illinois,Crawford,,5.0,4.1,81.9,61.408512505,20.1,1.4,32.3,,46.355910379,0.0,41612.0,,59.3,5.1,0.4,2.1,,4558.0,18.705305112,,,41.5,,,21.217547001,2.5402924538,1.0,,
17035.0,Illinois,Cumberland,,,,86.7,55.875748503,17.7,0.0,31.1,,9.256687957,9.3,43448.0,,100.0,0.6,0.2,1.0,,2672.0,13.008299295,,,30.2,,,20.302013423,0.3274898863,2.0,,
17037.0,Illinois,DeKalb,,3.3,4.0,85.8,69.426463947,14.5,16.39,24.8,,33.801864736,28.2,52106.0,,22.7,6.4,2.7,9.8,,26572.0,16.401556551,,,16.7,,,40.671513549,5.0493343453,2.0,21.1,
17039.0,Illinois,De Witt,,3.7,4.3,84.8,49.623512266,16.8,0.57,29.2,,49.164208456,0.0,48662.0,,51.6,1.1,0.5,1.8,,4117.0,16.379451547,,,38.2,,,19.835560123,0.7797021793,0.0,,
17041.0,Illinois,Douglas,,3.6,2.0,84.6,47.881530234,16.9,2.39,28.9,,41.422875783,5.2,48469.0,,63.0,0.9,0.6,5.5,,4862.0,20.195026254,,,38.5,,,22.992604332,4.9862392747,1.0,13.0,
17043.0,Illinois,DuPage,,2.7,2.9,91.5,76.138206661,8.8,2.62,19.0,,152.90354999,62.3,72470.0,,0.1,4.8,10.1,12.6,,249713.0,6.0615403266,,,16.5,,,36.819166918,10.143067753,1.0,14.7,
17045.0,Illinois,Edgar,,3.4,4.3,82.4,53.260617313,21.8,7.7,29.8,,32.216494845,10.7,39386.0,,52.4,2.1,0.4,1.1,,4309.0,11.203477559,,,47.9,,,21.873809826,0.3673976939,1.0,,
17047.0,Illinois,Edwards,,,,93.0,65.572715573,17.4,4.84,28.0,,,0.0,43044.0,,100.0,0.2,0.4,0.8,,1554.0,29.874314491,,,29.7,,,21.807747489,0.2520876004,2.0,,
17049.0,Illinois,Effingham,,2.4,2.5,86.8,64.975728155,14.9,2.29,29.5,,84.612242516,0.0,49001.0,,59.2,0.5,0.4,1.5,,8240.0,24.492608629,,,35.7,,,21.772396375,0.8598049025,2.0,13.3,
17051.0,Illinois,Fayette,,2.4,4.3,85.3,49.570100018,22.7,8.36,31.9,,23.858376676,0.0,38966.0,,64.2,3.8,0.2,1.1,,5699.0,16.583637919,,,48.1,,,22.027886497,0.8971638047,0.0,,
17053.0,Illinois,Ford,,1.9,1.6,82.5,57.933130699,16.9,12.32,31.0,,71.720576633,7.2,48622.0,,42.6,1.0,0.6,2.5,,3290.0,31.267651093,,,34.5,,,22.596665484,1.0101010101,0.0,,
17055.0,Illinois,Franklin,,4.4,2.5,83.2,60.703688003,27.9,0.76,30.5,,48.360822643,2.5,32853.0,,46.6,0.8,0.3,1.0,,9436.0,23.164989015,,,51.9,,,24.704214937,0.3630886743,0.0,21.0,
