FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
28001.0,Mississippi,Adams,,5.1,5.1,47.0,55.191495558,41.8,1.08,39.9,,89.795394779,9.6,28587.0,,31.3,56.4,0.4,1.3,,6867.0,28.616838148,,,65.3,,,35.494576655,0.9245042632,1.0,23.4,
28003.0,Mississippi,Alcorn,,4.8,3.7,75.8,48.639240506,32.4,1.29,34.8,,55.826936497,0.0,33299.0,,65.9,11.6,0.2,2.5,,9480.0,26.713077266,,,76.7,,,25.407380343,1.2669287899,0.0,23.2,
28005.0,Mississippi,Amite,,4.3,4.4,53.6,42.593880389,34.7,10.12,33.2,,30.204636412,0.0,31799.0,,100.0,44.0,0.1,1.1,,2876.0,40.444032909,,,54.6,,,28.880432606,0.20949158,2.0,26.8,
28007.0,Mississippi,Attala,,4.9,4.6,77.0,46.508534693,35.1,3.48,36.2,,55.837563452,0.0,29317.0,,64.4,41.7,0.3,2.1,,4511.0,33.444572891,,,71.3,,,27.422454021,0.6477687964,0.0,23.2,
28009.0,Mississippi,Benton,,4.2,4.7,69.9,33.000831255,38.4,15.07,34.1,,12.367054168,0.0,27586.0,,100.0,35.1,0.1,2.2,,2406.0,50.513250708,,,80.9,,,33.151680291,1.1690088297,0.0,24.6,
28011.0,Mississippi,Bolivar,,3.6,3.5,71.2,50.637755102,52.0,11.06,31.5,,56.761359029,0.0,28984.0,,42.4,65.6,0.6,1.6,,8624.0,25.201519503,,,75.0,,,37.967787778,0.9232189568,1.0,22.1,
28013.0,Mississippi,Calhoun,,4.4,5.1,84.3,38.834154351,31.8,0.18,37.0,,27.597626604,0.0,30281.0,,82.2,29.0,0.1,4.6,,3654.0,46.606919186,,,78.4,,,23.616109683,2.7919694898,0.0,26.6,
28015.0,Mississippi,Carroll,,3.9,4.7,72.3,54.182087343,28.2,21.71,32.7,,19.280825219,0.0,34436.0,,100.0,33.7,0.2,1.3,,2702.0,54.793769948,,,48.1,,,31.461519178,0.0602349162,0.0,19.9,
28017.0,Mississippi,Chickasaw,,5.5,3.9,58.8,48.08411215,35.2,1.64,33.8,,37.315421931,0.0,31702.0,,84.0,41.5,0.3,4.7,,4280.0,32.08284836,,,98.4,,,29.003690037,1.1243507485,0.0,22.5,
28019.0,Mississippi,Choctaw,,3.8,3.4,72.8,54.897852279,38.1,1.86,30.1,,22.058012573,0.0,31632.0,,100.0,31.4,0.2,1.3,,1909.0,37.862151479,,,42.3,,,26.273309212,0.2450980392,0.0,16.0,
28021.0,Mississippi,Claiborne,,4.7,5.3,78.1,52.875695733,51.1,7.25,40.0,,18.496254508,0.0,22750.0,,74.7,84.6,0.2,1.2,,2156.0,45.221017724,,,43.6,,,35.036275695,0.1070549192,0.0,18.4,
28023.0,Mississippi,Clarke,,4.4,4.6,81.3,43.164914081,39.0,7.97,39.0,,23.074704355,0.0,31999.0,,100.0,35.3,0.1,1.1,,3899.0,47.796113123,,,58.2,,,28.407249153,0.1148691768,1.0,18.1,
28025.0,Mississippi,Clay,,3.7,3.9,58.5,52.570281124,41.3,7.86,37.5,,38.617493725,0.0,30777.0,,56.3,57.1,0.2,1.4,,4980.0,26.774837008,,,69.2,,,32.900598193,0.2265472145,0.0,23.6,
28027.0,Mississippi,Coahoma,,3.6,4.1,63.7,50.853950519,55.0,12.12,36.5,,69.894055327,7.4,25719.0,,32.3,74.9,0.6,1.6,,6265.0,32.812476696,,,92.2,,,39.482408299,0.6230402736,0.0,24.3,
28029.0,Mississippi,Copiah,,4.7,3.8,74.9,52.646476083,35.7,39.78,37.7,,44.477897906,3.4,31275.0,,59.4,51.7,0.2,1.9,,7066.0,33.346083306,,,67.0,,,25.9756691,1.5951816025,1.0,22.7,
28031.0,Mississippi,Covington,,5.6,4.3,65.5,48.792858592,33.1,0.0,31.2,,19.522670701,0.0,32900.0,,100.0,36.7,0.1,1.2,,4929.0,46.565117083,,,74.9,,,28.48284415,0.5782256732,2.0,27.5,
28033.0,Mississippi,DeSoto,,3.4,3.7,79.0,62.238304471,15.1,12.73,30.2,,38.026244554,1.9,58979.0,,32.3,21.8,1.3,4.6,,46428.0,23.142501517,,,47.6,,,28.790704347,2.3880951052,0.0,25.2,
28035.0,Mississippi,Forrest,,4.1,5.3,70.3,62.098577236,36.9,19.38,32.4,,63.88095596,5.0,32555.0,,32.8,35.6,1.3,2.6,,19680.0,26.342875099,,,56.8,,,36.830873199,1.8930279751,1.0,22.7,
28037.0,Mississippi,Franklin,,6.2,3.7,58.7,47.248471373,31.2,17.17,38.9,,59.966418805,0.0,32375.0,,100.0,37.3,0.1,0.8,,1799.0,32.52979044,,,48.0,,,21.969949917,0.0913361169,1.0,24.9,
