FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
1001,Alabama,Autauga,,5.1,4.3,80.0,54.390742001,21.0,9.7935303961,32.2,,36.60523,3.66052,48863,,42.002162321,18.325583079,0.9246023848,2.6019143431,76.401831111,14690,23.916999764,,,42.505592841,,,,0.5379545815,13.31,23.5,
1003,Alabama,Baldwin,,3.3,3.8,74.0,62.141465404,20.5,5.4602606243,25.1,,74.21191,17.46163,50144,,42.279099114,9.5749181917,0.755689091,4.529314417,83.246303229,44138,19.975394326,,,48.242627416,,,,1.6554443217,11.8,22.6,
1005,Alabama,Barbour,,5.0,4.1,61.087854393,42.124883504,39.8,11.420315716,34.2,,43.81161,3.65097,30117,,67.789634702,46.406578414,0.4461816439,5.3468048232,46.679449832,7511,26.17344268,,,74.432629741,,,,1.5457742397,12.11,23.5,
1007,Alabama,Bibb,,5.0,5.3,73.0,42.407346671,30.5,2.1446609917,37.2,,26.22378,,37347,,68.352607462,22.21734165,0.1273829395,1.9898093648,74.523412106,6098,33.78787589,,,47.786229764,,,,0.8022762256,13.68,32.8,
1009,Alabama,Blount,,5.2,4.0,81.091197462,43.327533128,22.2,1.0624676536,35.9,,20.91066,1.74255,41940,,89.951502041,1.6817795655,0.2149903774,8.5580040571,88.003883697,14942,28.302536264,,,49.026452564,,,,2.9679299202,13.04,22.0,
1011,Alabama,Bullock,,5.0,,71.0,39.009702242,41.1,20.151730144,30.9,,55.08124000000001,,26038,,51.374381528,68.336179093,0.2086890533,7.7499525707,22.879908936,2989,58.664024613,,,85.744908896,,,,3.1452087008,12.48,,
1013,Alabama,Butler,,3.8,3.2,72.0,47.318870242,35.7,2.8320291145,36.6,,33.42725,4.77532,30489,,71.23215735,43.176755448,0.9152542373,1.0847457627,53.772397094,4886,28.73327313,,,61.787642472,,,,0.1383763838,12.4,29.0,
1015,Alabama,Calhoun,,5.1,5.0,78.540309975,49.197897007,31.8,10.043823886,33.9,,62.486279999999994,9.2885,39060,,33.696825557,20.605787923,0.7691197569,3.4236865115,73.329541499,29672,22.734338806,,,51.263412946,,,,1.0361474155,13.05,26.2,
1017,Alabama,Chambers,,4.8,4.0,79.139465875,46.486422106,39.1,8.821524906,35.8,,41.00401,2.92886,33500,,49.148034488,38.483750258,0.5922390171,1.676537317,58.107192316,8396,27.082922986,,,64.410204597,,,,0.3089661991,13.2,23.8,
1019,Alabama,Cherokee,,5.1,4.3,72.0,45.909766981,36.6,0.1326863763,35.9,,30.77278,,34738,,85.736273039,4.9276585946,0.22642668,1.3930997429,91.687454427,6051,25.782441037,,,52.40600039,,,,0.1794819498,12.92,25.4,
