FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
18001,Indiana,Adams,,3.1,2.9,91.836734694,47.793933317,28.3,2.7613298433,25.4,,34.86446,2.90537,47265,,53.67435368,0.3462321792,0.2589467559,4.084957812,94.544661042,7978,14.675667743,,,31.21577218,,,,1.7108008345,13.04,20.5,
18003,Indiana,Allen,,3.2,3.3,89.58958959,64.207500831,24.9,10.130098573,25.6,,59.86745,28.106780000000004,47411,,11.879694593,11.701323093,2.822561515,6.676583121,76.329442102,93243,8.5645628713,,,43.755144974,,,,1.8796084938,12.7,21.9,
18005,Indiana,Bartholomew,,3.8,3.2,80.947476828,63.18449055,19.5,6.490776353,26.6,,83.22821,26.008820000000004,52669,,33.703153892,1.9686657249,3.7459869012,6.3451907025,86.477462437,20581,17.498644806,,,53.627579898,,,,2.2218481737,13.32,21.7,
18007,Indiana,Benton,,5.7,3.1,95.394736842,50.280898876,17.8,0.3643874168,34.3,,22.51999,22.51999,45644,,100.0,0.6212583305,0.1920253022,4.92488422,93.392070485,2136,37.098569286,,,36.465638149,,,,0.768011703,12.51,,
18009,Indiana,Blackford,,5.3,4.7,91.044776119,41.015228426,24.5,0.6354445662,30.2,,54.88474,,38346,,50.610997963,0.6193425441,0.1905669366,1.0957598857,96.688899476,2955,20.717930824,,,50.910316925,,,,0.0496442164,13.07,31.7,
18011,Indiana,Boone,,2.7,2.6,95.844504021,76.254974517,9.3,1.1978013832,30.3,,174.21296,38.713989999999995,63717,,34.405014124,1.1255893252,1.7797185157,2.4303682956,93.319531671,14323,11.995201919,,,23.404912714,,,,0.4554401945,12.96,18.9,
18013,Indiana,Brown,,2.2,2.6,94.252873563,49.735284958,21.8,0.6080154368,26.1,,19.70055,45.96795,53376,,100.0,0.5232134578,0.3112788926,1.2649844361,96.469964898,3211,23.352918648,,,21.813031161,,,,0.20696792,13.3,18.9,
18015,Indiana,Carroll,,3.8,3.8,93.150684932,53.566958698,17.3,1.9346920171,27.0,,29.75748,4.95958,49216,,81.404118085,0.3544506016,0.1497678598,3.7991113774,94.778093954,4794,18.427823178,,,28.051078082,,,,1.3863900942,12.71,26.2,
18017,Indiana,Cass,,3.2,3.6,84.509803922,41.927859418,22.0,1.1724009243,28.9,,41.07092,28.23626,41271,,44.667145717,1.4860410013,1.1022973112,13.16575667,83.107551252,9731,14.189557941,,,47.906823426,,,,4.8019008675,12.7,24.4,
18019,Indiana,Clark,,3.8,4.7,85.459183673,58.796356539,18.5,6.6368855361,31.8,,51.53474,16.274130000000003,49778,,20.514914,6.9292820651,0.8971945864,4.9242627947,85.135789191,30740,11.099966023,,,48.609271523,,,,1.4809056648,13.16,28.1,
