FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
25001,Massachusetts,Barnstable,,2.6,3.3,87.98638009,68.481570806,15.2,8.6102106432,18.3,,92.13475000000001,67.59635,56167,,7.483046765,2.092515607,1.1660618532,2.3307333306,92.309831347,41049,8.9330892057,,,17.441029307,,,,0.8610886242,10.22,14.5,
25003,Massachusetts,Berkshire,,3.8,3.4,82.84030343,61.300522409,20.2,5.7925257411,22.5,,105.24068,110.57898000000002,43813,,31.593747857,2.6460623342,1.3306964694,3.5467353478,90.540250502,29096,10.613480853,,,24.426704936,,,,1.1161177956,10.1,17.5,
25005,Massachusetts,Bristol,,3.7,3.8,85.643234962,58.599926553,16.3,4.524563631,28.8,,51.044869999999996,31.53844,53307,,9.8343015038,3.478636309,2.0128542853,6.2979804052,86.451262657,144321,9.3898801156,,,26.305928202,,,,4.5099578427,10.22,20.8,
25007,Massachusetts,Dukes,,3.7,3.4,93.415469613,70.502512563,13.8,4.3387992493,19.1,,114.62355,84.45946,58133,,39.026307832,3.2088751044,0.9065966838,2.5169986878,89.466778003,3980,,,,10.28277635,,,,0.8830455259,10.15,14.9,
25009,Massachusetts,Essex,,3.1,3.1,82.882382822,67.462076293,16.9,4.514045916,22.3,,78.71224000000001,56.817879999999995,64303,,4.2440446795,2.7758268463,3.3726783545,16.94110264,75.737785908,186361,6.1923302732,,,24.172870606,,,,5.4714145742,10.04,15.0,
25011,Massachusetts,Franklin,,3.6,3.3,80.726536313,63.018192663,16.6,5.2960286038,19.4,,65.88539,70.09084,49940,,54.431709914,1.0796240171,1.403650889,3.3352421123,92.196818391,16765,8.1775281526,,,20.256793817,,,,0.8385344005,9.9,19.0,
25013,Massachusetts,Hampden,,3.7,3.8,72.28267148,56.067004505,25.4,5.3105647377,26.4,,73.10588,36.87642,47313,,8.5708429524,7.7930842657,2.1378532633,21.409581636,67.189396765,113664,7.7633267866,,,41.644976575,,,,5.5449967941,10.04,18.6,
25015,Massachusetts,Hampshire,,3.2,2.7,86.827920911,74.545561677,12.3,6.4202442944,17.1,,149.40208,213.97415999999998,54548,,27.443699393,2.4838108755,4.8041464435,4.910595481,85.813131249,33943,5.7428462822,,,5.8021639703,,,,1.0767737719,9.97,12.6,
25017,Massachusetts,Middlesex,,2.7,2.6,89.587217999,77.385918985,9.3,2.90609867,21.1,,122.39990999999999,179.18338,76803,,3.0277063506,4.646709758,9.7789379457,6.7882998687,77.065692863,432412,4.6950943636,,,12.180943352,,,,3.8767609764,10.06,12.1,
25019,Massachusetts,Nantucket,,2.6,2.2,88.0,68.994989685,10.2,1.9658577326,19.5,,49.24168,49.24168,68431,,18.895005899,6.6357720371,1.3310984027,10.037467955,80.556103333,3393,,,,16.077170418,,,,1.083526194,10.04,15.5,
25021,Massachusetts,Norfolk,,2.9,2.8,91.668320662,79.826250941,6.7,3.6497314717,19.9,,121.11166999999999,151.61275999999998,81590,,1.240366699,5.7802663761,8.9254940512,3.4891536726,80.241799371,173929,5.4411151034,,,7.128710185,,,,2.8683610411,10.21,12.6,
25023,Massachusetts,Plymouth,,3.2,3.8,87.984129529,67.194684473,10.8,6.097440343,21.0,,61.525299999999994,45.79096,67989,,10.307747328,8.4957363554,1.3730482999,3.3480110696,85.014037972,120703,8.789963672,,,17.698071904,,,,1.8942242429,10.25,19.1,
25025,Massachusetts,Suffolk,,3.4,3.5,63.42373981,68.529556516,31.5,0.7027599013,21.4,,142.51499,119.68491999999999,49033,,0.0740973625,20.638308352,8.5477171611,20.301478113,48.582221055,237731,4.1438127568,,,24.26352789,,,,10.537199898,10.18,16.5,
25027,Massachusetts,Worcester,,3.4,3.5,85.933479561,66.254419497,16.2,4.7035512367,23.0,,100.21269,60.30276,60396,,18.390286418,3.8004211041,4.2104172725,9.6066408147,80.778730622,209017,7.4854165779,,,21.899453639,,,,3.2651243529,10.04,19.1,
