FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
37001,North_Carolina,Alamance,,3.6,3.4,75.412541254,56.153664365,26.3,11.302386896,28.3,,54.11398,12.538609999999998,41371,,28.558005968,18.661239081,1.3001415608,11.420109465,66.872158183,38083,12.946032832,,,44.453155625,,,,3.6081111024,12.67,23.3,
37003,North_Carolina,Alexander,,5.0,5.2,84.977578475,41.222523336,27.2,2.2702916354,24.8,,18.80103,2.68586,39812,,72.77810635,5.6488796613,1.0515814167,4.4436055761,87.478092054,9963,20.77844687,,,47.3341311,,,,1.1817136285,13.13,25.5,
37005,North_Carolina,Alleghany,,4.6,4.5,85.593220339,51.380500431,32.7,1.3627363504,29.9,,107.52687999999999,,32673,,100.0,1.3753166848,0.5790807094,9.2471950778,87.866449511,2318,19.483049747,,,57.248384118,,,,3.1732499763,12.86,27.9,
37007,North_Carolina,Anson,,3.9,3.5,73.770491803,39.552845528,36.4,3.0625073353,30.1,,37.15538,,32341,,78.510464598,48.310721936,1.1124055771,3.201924161,45.713856214,7380,27.28206445,,,59.762253705,,,,1.5332062282,13.27,18.2,
37009,North_Carolina,Ashe,,4.6,3.4,80.084745763,43.19563523,31.3,2.4892431961,26.3,,51.27454,21.9748,34333,,84.864924306,0.6373650665,0.4126294072,4.7968168589,93.073720665,6415,22.1089811,,,56.58709107,,,,2.2466632745,12.98,24.4,
37011,North_Carolina,Avery,,4.3,2.6,90.058479532,51.668752607,30.9,0.0,21.3,,28.16743,5.63349,36071,,88.784626622,4.1941725472,0.3642157979,4.848622809,89.471887093,4794,11.136300362,,,28.22684116,,,,1.6740810115,13.31,22.5,
37013,North_Carolina,Beaufort,,4.0,2.4,71.887550201,51.699029126,35.7,5.0884110089,30.0,,50.22707,12.55677,38248,,65.600201009,25.273112327,0.469690298,6.9614812019,66.104715774,10712,22.897826844,,,59.523809524,,,,2.5086388727,12.38,,
37015,North_Carolina,Bertie,,3.8,2.0,71.784232365,42.036924325,35.0,4.7478710445,30.8,,18.80495,,29615,,83.24405601,61.899971256,0.49822746,1.3605442177,34.995688416,4929,45.656730563,,,62.119622246,,,,0.170914392,12.33,,
37017,North_Carolina,Bladen,,5.5,5.0,79.756097561,49.615956392,33.6,3.2239949252,31.1,,31.237579999999998,2.83978,33138,,91.233304916,34.745762712,0.2719880898,7.1919377004,54.523591388,8072,36.140974726,,,56.165751373,,,,2.8299286392,13.0,23.8,
37019,North_Carolina,Brunswick,,3.1,3.5,83.75,57.705530326,29.3,4.8466148834,27.0,,45.34014,6.47716,42685,,42.960597965,11.354532821,0.6076459849,5.1445543475,80.925002498,23561,27.035604716,,,52.970900854,,,,1.7858756211,12.74,22.2,
37021,North_Carolina,Buncombe,,3.4,3.5,80.669308675,67.554666331,26.9,8.6473855704,20.3,,121.83583,75.78105,41551,,24.079591135,6.4551671575,1.0993335239,6.1813693206,84.1536913,63476,13.391383423,,,40.007497501,,,,2.0506012316,13.54,20.5,
37023,North_Carolina,Burke,,4.8,4.5,84.900990099,49.702783032,30.4,12.216532078,28.2,,58.4022,56.19835,37719,,42.652235128,6.7708791692,3.6159024905,5.5289096189,82.422115638,22206,18.358874854,,,54.417475728,,,,1.7919014454,13.34,23.6,
37025,North_Carolina,Cabarrus,,3.2,3.2,85.818476499,64.173197338,18.0,5.795144342,23.1,,84.00632,18.481389999999998,50298,,19.253304571,15.235192982,2.1805497388,9.6165715167,71.171225781,50786,14.215979983,,,44.537211838,,,,3.2275606365,13.14,19.9,
37027,North_Carolina,Caldwell,,4.3,4.2,84.645286686,50.036014406,28.8,15.715306544,27.5,,40.957930000000005,6.02323,34876,,34.42773007,5.0609867104,0.5752776261,4.6738272953,88.305115602,20825,17.527623535,,,53.76344086,,,,1.0118022165,13.25,24.4,
37029,North_Carolina,Camden,,4.2,2.2,85.517241379,71.219931271,14.9,0.9811267357,25.9,,9.995000000000001,9.995000000000001,57113,,99.549098196,13.54104254,1.7775114839,2.616337128,79.928100659,2328,16.672224075,,,29.004908523,,,,0.6996017651,12.25,,
37031,North_Carolina,Carteret,,4.6,4.1,83.53115727,61.833023626,26.2,6.9740554681,28.7,,52.46118,13.490020000000001,45507,,32.603168394,6.2799637837,0.94845116,3.6899054517,86.899796654,15068,19.107501916,,,39.03169847,,,,1.2124508142,12.43,22.2,
37033,North_Carolina,Caswell,,4.4,4.5,77.586206897,45.342797784,29.4,6.1252646763,29.0,,12.64862,,38495,,99.194738395,33.525616374,0.2820151263,3.2901764731,61.128915096,5776,21.57096548,,,37.449587094,,,,0.9603894667,12.59,,
37035,North_Carolina,Catawba,,3.7,3.5,87.226082309,54.940189339,22.2,9.8922669025,26.7,,67.38195,18.14129,44339,,30.295158009,8.5114248837,3.6067998002,8.508181942,77.763797096,40879,18.561126406,,,52.143650933,,,,2.9339531012,13.2,21.5,
37037,North_Carolina,Chatham,,4.5,3.7,81.433224756,61.207400195,18.9,3.4777126204,22.3,,39.18311,21.94254,53564,,65.922368317,13.00101254,1.2228366695,13.178596464,71.120803801,15405,24.042180935,,,45.450354937,,,,4.7093966032,12.76,20.4,
37039,North_Carolina,Cherokee,,4.6,3.7,88.888888889,56.963369315,31.6,0.1219308261,27.5,,51.029709999999994,32.804809999999996,32913,,100.0,1.386335221,0.5405604177,2.5814517908,92.035007722,5651,18.053512736,,,47.683923706,,,,0.6449383854,13.53,23.4,
37041,North_Carolina,Chowan,,3.8,3.1,78.282828283,50.381150381,37.5,7.3918297391,29.5,,74.51060000000001,6.77369,36231,,67.619820185,34.087389753,0.4174240894,3.5615700532,60.748670302,2886,18.353054818,,,52.083333333,,,,0.6578947368,12.29,,
