FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
33001,New_Hampshire,Belknap,,3.0,3.5,86.236297199,60.178699071,16.2,4.0985038621,22.1,,66.57014,36.61358,55422,,66.279456797,0.5496238978,1.2320874085,1.3366986035,95.513342079,13990,10.2096783,,,25.688355638,,,,0.3358816017,9.63,19.8,
33003,New_Hampshire,Carroll,,3.1,3.2,93.542074364,59.057046637,17.5,0.1769097264,21.3,,71.07469,20.90432,45582,,90.20243423,0.3547364665,0.6465019626,1.0474171407,96.687726958,9799,20.482421263,,,20.91963546,,,,0.0698506941,9.5,18.4,
33005,New_Hampshire,Cheshire,,3.5,3.4,86.764705882,58.916063842,14.3,3.1006418327,21.8,,68.76865000000001,59.68599999999999,53111,,65.015495935,0.5356353519,1.1947788554,1.4976988481,95.255986895,17418,12.937471353,,,16.11974669,,,,0.5788987335,9.81,18.4,
33007,New_Hampshire,Coos,,4.2,4.5,87.709497207,48.298324914,23.6,3.7048095678,29.3,,124.36679000000001,36.40004,37677,,66.241113296,0.4986539403,0.5690161527,1.3185266765,95.995472345,7522,16.186330218,,,30.528981429,,,,0.9180369101,9.29,22.8,
33009,New_Hampshire,Grafton,,3.1,3.2,90.761904762,65.729234794,14.3,3.5935434763,19.5,,188.50564,123.42631,51289,,68.71563545,0.9300181056,3.014968006,1.9061435174,92.269716496,19877,11.248997372,,,14.502384489,,,,0.4173908931,9.51,17.2,
33011,New_Hampshire,Hillsborough,,3.1,3.1,84.342795155,67.232806713,11.6,3.4391603713,21.9,,83.29717,36.91012,66275,,21.191302677,1.9333027961,3.3985899785,5.4670696248,87.561240341,108807,8.2847783158,,,20.66267014,,,,1.9461647074,9.85,17.1,
33013,New_Hampshire,Merrimack,,2.8,3.0,85.494652406,66.990449316,11.8,5.1692654164,20.6,,116.09881,71.02515,64482,,54.61299464,1.0806459315,1.6434823542,1.7028360133,94.115801036,36856,10.166108345,,,16.99648256,,,,0.5207996144,9.72,15.7,
33015,New_Hampshire,Rockingham,,3.0,3.1,90.671247357,72.483755291,8.2,5.3167314144,20.4,,79.55557,45.3636,75285,,24.898127856,0.6961347976,1.7930028662,2.2227698873,93.959629583,74178,8.7661839584,,,11.716976434,,,,0.4192647127,9.87,16.6,
33017,New_Hampshire,Strafford,,3.7,3.7,81.487101669,66.813215232,14.6,5.4098763589,23.0,,73.85884,44.639959999999995,54783,,32.401354523,0.9519042121,2.6829327369,1.9409480288,92.584189832,30934,10.267400884,,,16.127391127,,,,0.6755534109,9.73,20.0,
33019,New_Hampshire,Sullivan,,3.5,3.9,82.876712329,55.758507979,16.3,4.5845942009,26.0,,66.32513,34.3061,47868,,64.162589731,0.4394643597,0.6442409461,1.2263586581,96.116147439,10402,16.4635612,,,33.800406461,,,,0.2829504232,9.67,20.2,
