FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
32001,Nevada,Churchill,,3.9,4.0,77.7,57.311792139,20.9,7.031349455,27.2,,40.31608,12.09482,50620,,34.7147968,1.8468157649,3.129439461,12.700409953,75.293258108,6004,27.071393601,,,53.353403579,,,,3.0178741041,13.03,21.6,
32003,Nevada,Clark,,3.7,3.6,59.3,53.936127457,23.4,2.0279983152,25.4,,54.454440000000005,14.53483,48343,,1.3060731247,10.018350487,9.1291513852,29.663828221,47.4362365,582222,12.512715756,,,50.3330793,,,,7.5013966348,12.84,22.2,
32005,Nevada,Douglas,,3.4,4.1,82.8,67.714618397,16.2,12.07741345,17.8,,65.95604,12.765690000000001,54640,,31.553077856,0.5246768758,1.7446572538,11.269888666,82.540630465,9447,16.444763865,,,20.277481323,,,,1.2739279818,12.26,18.2,
32007,Nevada,Elko,,4.1,3.5,74.6,53.98896916,13.8,5.5610833999,24.4,,46.979040000000005,4.08513,62937,,37.85079274,0.7779192176,1.0183669758,23.46891354,68.432644319,12873,19.876581717,,,56.816427358,,,,2.9519131101,11.34,23.4,
32009,Nevada,Esmeralda,,,,,40.714285714,22.1,29.003070328,25.5,,0.0,0.0,40536,,100.0,0.0,0.3870967742,16.903225806,75.225806452,140,,,,,,,,3.9637599094,15.35,,
32011,Nevada,Eureka,,2.8,,88.2,48.214285714,12.9,24.909819835,26.3,,0.0,,58985,,100.0,0.353713997,0.9600808489,12.582112178,82.415361294,448,,,,,,,,0.244648318,12.77,15.5,
32013,Nevada,Humboldt,,4.5,4.4,64.3,49.879518072,16.0,8.8280145391,24.8,,54.210339999999995,18.07011,61680,,37.875121007,0.6334030475,0.8604720645,24.696743352,68.431431132,4150,37.336538812,,,60.25974026,,,,6.1667554608,11.95,22.8,
32015,Nevada,Lander,,5.2,4.8,69.7,50.377073906,14.0,4.2689984855,24.8,,17.26519,,64392,,39.047619048,0.496490327,0.4451292587,22.290703647,72.025338127,1326,44.848964517,,,44.90616622,,,,3.5478867778,13.03,19.0,
32017,Nevada,Lincoln,,4.0,2.2,86.4,57.04887218,19.1,34.599082293,26.0,,37.29256,,42724,,100.0,2.3159480324,0.7531538317,6.5712671813,87.215213707,1064,46.649950434,,,14.25793908,,,,0.3658536585,13.35,16.2,
32019,Nevada,Lyon,,4.2,4.3,72.7,53.320378506,18.5,12.42282619,26.5,,19.189439999999998,9.594719999999999,44877,,36.937283571,0.9523625918,1.5499990361,15.432515278,77.293670837,11836,21.370668469,,,42.561134964,,,,1.7286494282,12.62,27.0,
32021,Nevada,Mineral,,4.5,4.4,67.3,30.94972067,26.4,15.714871665,30.4,,104.69012000000001,,39705,,31.91533948,3.8536903984,1.3934247768,10.428913564,66.993250599,895,53.194633253,,,42.512077295,,,,1.1152416357,13.81,27.4,
32023,Nevada,Nye,,5.3,4.6,64.9,42.022774581,30.1,19.402145603,31.3,,36.51467,11.41084,41150,,35.270559323,2.149892736,1.5939655371,13.801296395,78.330373002,8167,44.798943688,,,44.907407407,,,,3.4995583777,13.66,25.1,
32027,Nevada,Pershing,,4.9,5.2,72.5,37.68115942,23.7,3.4867972441,25.6,,,,46683,,100.0,3.8313038313,1.3068013068,22.512622513,67.775467775,2208,,,,52.750565185,,,,2.1950454688,13.79,25.9,
32029,Nevada,Storey,,3.5,3.4,87.5,74.288964733,14.2,1.1671477805,23.2,,,,54582,,92.643391521,1.0266940452,1.6427104723,6.0061601643,87.73100616,879,,,,,,,,0.6783198539,12.38,23.9,
32031,Nevada,Washoe,,3.6,3.6,70.0,59.546344067,18.2,5.2270347824,17.4,,71.03484,44.51516,50910,,4.2668963733,2.2024382796,5.468511428,22.748584717,65.522773719,112420,11.378880797,,,42.792078195,,,,4.604998114,12.35,19.1,
32033,Nevada,White Pine,,6.1,3.3,75.6,52.339449541,18.3,14.262537241,24.7,,69.55485,19.872809999999998,52014,,53.33000997,4.0899187958,1.0695187166,13.963161022,75.193107546,2180,32.996865298,,,54.011536445,,,,0.8168529665,12.2,23.8,
32510,Nevada,Carson City,,4.0,3.5,81.0,46.748148148,22.3,3.004404427,20.7,,77.88162,34.41281,50689,,4.8395267214,1.9787514205,2.2745720522,21.986327315,69.925503707,13500,12.342441026,,,55.479802284,,,,4.1647438856,11.94,22.2,
