FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
6001.0,California,Alameda,,3.0,3.2,80.660126297,70.250981144,17.3,1.6041283834,16.0,,99.81208,287.63026,70209.0,,0.3886057535,12.073117066,27.224531315,22.627847791,33.804401336,459158.0,7.0472691686,10.697443116,,25.484936646,,,25.50256097,9.6030137951,8.46,10.6,
6003.0,California,Alpine,,,,,68.699186992,29.1,12.98823421,18.0,,0.0,520.3816099999999,46336.0,,100.0,0.0900900901,0.9009009009,7.1171171171,71.711711712,246.0,,,,40.48582996,,,21.951219512,2.110817942,10.32,,
6005.0,California,Amador,,4.0,4.2,85.0,55.15842839,18.5,3.1500919932,17.2,,63.236110000000004,51.3774,51388.0,,60.423722139,2.3217955219,1.2089349097,12.54570201,80.02455232,7890.0,23.210020739,23.958731086,,21.631556624,,,19.096160381,1.3921304813,9.4,21.2,
6007.0,California,Butte,,4.5,4.5,85.201950427,66.287311166,27.1,7.2190962939,16.8,,67.19149,242.90034,40748.0,,18.901818182,1.4619325304,4.3717187131,14.538939452,74.763384017,49382.0,18.015399879,27.483347261,,26.993064834,,,22.547241561,3.0034510808,8.93,19.2,
6009.0,California,Calaveras,,4.3,4.3,92.583686441,63.259702983,20.9,2.1470781515,17.7,,42.17349,50.8557,50962.0,,75.409188644,0.799716444,1.3734742252,10.608980749,83.338871536,8013.0,26.884997859,15.943428963,,23.219973287,,,17.611066773,1.2800842703,9.54,19.1,
6011.0,California,Colusa,,2.9,2.6,84.375,45.072248981,20.2,2.6823177307,15.8,,37.12469,69.26167,49871.0,,31.724170129,0.8081468678,1.6209651049,55.99570234,39.043303592,5398.0,18.428147289,,,47.869446963,,,20.803443329,16.593147312,7.55,,
6013.0,California,Contra Costa,,3.3,3.4,83.385626745,68.163807804,14.5,2.7035880116,16.4,,89.20397,177.21551,74208.0,,0.7927361121,8.9698607428,15.327571269,24.602912661,47.327560018,279132.0,8.0852884029,9.5336096299,,22.787476204,,,23.468764008,6.769183922,8.29,11.6,
6015.0,California,Del Norte,,6.3,4.0,85.0,45.880323736,32.4,10.217322438,18.0,,69.78611,222.51473,37305.0,,33.67354072,3.5808227826,3.4685932732,18.209237891,64.577561112,7537.0,24.173809692,16.115873128,,53.791315619,,,23.573952549,2.0491956254,7.96,20.3,
6017.0,California,El Dorado,,2.7,3.1,91.987344795,69.198119202,12.2,4.752817828,15.2,,69.08444,120.73781999999999,68446.0,,34.699930409,0.7534799385,3.690559112,12.176191582,79.842338607,39345.0,11.998846822,18.441180687,,17.583387531,,,20.820235397,2.0667772999,9.5,14.3,
6019.0,California,Fresno,,4.2,3.7,80.198838788,50.544289599,40.1,5.4520837827,20.0,,62.784760000000006,119.79551,41563.0,,10.805201784,4.8052529156,10.376697733,50.805675921,32.320671877,247846.0,16.637826705,10.884708467,,55.051791729,,,28.421442035,12.925553594,9.59,13.9,
