FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
41001.0,Oregon,Baker,,2.8,2.5,61.018867925,58.483290488,29.6,14.025919368,22.2,,68.81882,122.82749,37025.0,,41.006569976,0.349127182,0.4987531172,3.6783042394,92.344139651,3112.0,21.211719475,16.792611251,,39.489311164,,,13.550724638,0.6997122679,9.26,23.2,
41003.0,Oregon,Benton,,3.3,2.9,71.73992674,80.991476233,16.8,4.6225778546,14.6,,123.35909,435.10106999999994,51890.0,,18.7639491,0.9138897286,5.413575797,6.5565193126,83.330232774,19123.0,8.0771835033,5.3275040128,,8.9356896094,,,21.73588288,1.0919061842,8.55,10.8,
41005.0,Oregon,Clackamas,,3.1,2.9,72.215194611,69.837930664,11.8,3.1140332909,16.3,,83.11262,132.16292,64231.0,,18.07857614,0.7631900291,3.8062128932,7.9263863742,84.254600194,93170.0,9.7406569567,10.247171118,,19.12305969,,,18.122841896,2.3223023038,9.43,14.6,
41007.0,Oregon,Clatsop,,3.8,3.3,66.236616702,58.649232246,24.3,10.618975653,19.9,,75.36404,101.87289000000001,43202.0,,38.972434461,0.5165317048,1.318231955,7.7883296118,87.057114417,8336.0,11.308203127,19.886839981,,30.142271522,,,20.473409161,1.6981508391,9.87,18.3,
41009.0,Oregon,Columbia,,4.0,4.1,64.979166667,58.455008489,20.9,3.7934286413,19.6,,26.314719999999998,116.50095,53250.0,,43.612084862,0.4193933991,0.9846627631,4.2263508722,90.112851267,11780.0,18.924665048,10.64512409,,28.120713306,,,14.023591088,0.4964112262,9.9,19.3,
41011.0,Oregon,Coos,,4.2,3.2,61.857881137,55.404561075,30.6,4.5931366996,21.7,,87.59217,129.0282,36057.0,,38.353187507,0.3742336173,1.1163309181,5.640576479,86.697985508,12804.0,16.22853382,15.55234491,,38.65205644,,,16.113048266,0.4065788813,7.71,26.1,
41013.0,Oregon,Crook,,3.2,3.1,67.0,51.195530726,28.4,4.5358704751,19.8,,33.59086,123.96300000000001,41232.0,,48.016970159,0.1597134837,0.5759365018,7.2935824218,89.178201529,4475.0,13.391183245,7.3651507847,,34.996613231,,,15.933752142,1.1336962493,8.48,20.7,
41015.0,Oregon,Curry,,4.0,3.3,65.689338235,60.546241211,25.9,5.3296473007,23.9,,66.88665,110.78614,34854.0,,38.731890538,0.2938295788,0.7879975069,5.7875523106,88.367019856,3698.0,22.249628113,15.256887849,,30.637254902,,,18.902147971,0.3029314443,7.68,21.3,
41017.0,Oregon,Deschutes,,3.6,3.2,64.008691674,69.445249131,21.7,4.4383706656,15.6,,96.67078,246.44098000000002,48591.0,,27.643549543,0.3516925595,0.9932347595,7.5804426454,88.341048081,41424.0,13.849052964,9.5510710093,,30.097886744,,,21.182149074,1.3910272716,8.13,12.3,
41019.0,Oregon,Douglas,,5.4,4.0,67.86515259,54.716042684,32.8,11.333906052,21.3,,62.331379999999996,143.28753,39399.0,,41.17789109,0.300744879,1.0204841713,4.7635009311,89.427374302,22116.0,20.796269015,11.136066634,,40.012033694,,,16.087897074,0.4504150884,7.85,24.1,
41021.0,Oregon,Gilliam,,,,,54.874651811,15.6,21.392151409,20.0,,0.0,50.68424,49735.0,,100.0,0.153609831,0.3584229391,5.273937532,91.244239631,359.0,,,,,,,12.941176471,0.9994447529,9.62,,
41023.0,Oregon,Grant,,2.9,,69.596774194,65.373352855,28.5,17.735810205,20.1,,80.97166,26.946910000000003,37177.0,,100.0,0.1619433198,0.3778677463,3.1443994602,92.874493927,1366.0,25.225574852,,,29.239766082,,,10.895522388,0.4694167852,8.93,25.6,
41025.0,Oregon,Harney,,,,66.74796748,55.587808418,29.5,12.566580775,20.1,,67.815,231.63918999999999,35848.0,,44.341147939,0.2850162866,0.4614549403,4.0309446254,89.332247557,1378.0,31.149615497,,,31.908488862,,,13.731343284,0.1292175162,9.13,,
41027.0,Oregon,Hood River,,2.8,,84.0,53.556555056,21.8,1.3886190858,15.7,,195.61640999999997,124.0854,53023.0,,52.174885886,0.3212278041,1.4455251182,29.820647809,65.588471491,6003.0,12.642813891,,,32.592592593,,,19.223544145,11.780571208,9.72,9.6,
41029.0,Oregon,Jackson,,4.0,4.2,66.584702908,59.804717546,26.8,5.1672391907,15.7,,88.85764,178.17669,44392.0,,20.052557503,0.6501626628,1.2856710206,11.093308844,83.236452095,46804.0,13.529413881,15.400503035,,36.461319573,,,21.527569449,2.1088108853,8.17,18.6,
41031.0,Oregon,Jefferson,,4.1,2.2,62.273972603,46.890522551,34.1,10.809481088,19.7,,55.119200000000006,52.933389999999996,41426.0,,63.121546961,0.576408743,0.571797473,19.64862123,61.48667343,5033.0,36.17605681,8.0391237355,,67.634625988,,,18.922386145,3.3691720755,8.87,16.7,
41033.0,Oregon,Josephine,,4.2,3.8,68.584569733,54.339902391,33.9,6.3704551899,20.2,,81.94054,313.49446,35109.0,,44.963911356,0.3761490082,0.9167876149,6.4876632801,88.497822932,16187.0,23.286229784,13.656585889,,35.626041487,,,23.525127458,0.3838012904,7.89,23.5,
41035.0,Oregon,Klamath,,4.8,3.7,61.133333333,58.783008037,26.1,12.621796645,20.5,,75.41592,127.12751999999999,38193.0,,37.580596565,0.622963678,1.0151442018,10.854350187,80.647399541,14807.0,18.78940105,13.174177748,,48.091603053,,,17.657690222,2.2480545682,8.44,22.6,
41037.0,Oregon,Lake,,2.3,,,58.762254902,27.2,22.106480425,19.7,,63.22711,36.48747,38668.0,,63.331222293,0.4797979798,0.9722222222,7.1085858586,86.742424242,1632.0,34.819579599,20.158703979,,31.933767002,,,14.739884393,0.6320779563,8.84,,
41039.0,Oregon,Lane,,4.1,4.0,66.756763527,67.633699804,25.7,4.8736041719,16.1,,90.54485,447.2942,41123.0,,17.52299447,0.8939660123,2.577507702,7.6244550626,84.405668197,85864.0,11.524049276,14.685882291,,22.960197906,,,19.830431912,1.5342010855,7.99,17.5,
41041.0,Oregon,Lincoln,,4.6,3.6,67.0,54.65683617,29.0,6.0530222828,18.8,,60.958349999999996,164.13361,39738.0,,37.589607681,0.4140786749,1.2160836875,8.0985071374,84.136428027,9223.0,12.832992685,20.657988225,,41.77608021,,,17.869249395,1.2917533551,8.65,23.9,
41043.0,Oregon,Linn,,4.3,3.3,62.911099138,59.79767184,24.9,8.6011682967,21.2,,62.647090000000006,76.93144000000001,43837.0,,31.638267965,0.4528717146,1.0521860583,7.9739281331,86.906505269,28864.0,16.661007012,10.937760328,,39.251276234,,,16.135211268,1.2822977017,8.59,20.2,
41045.0,Oregon,Malheur,,3.4,1.7,70.3808933,48.516469701,34.9,5.5674915045,22.2,,51.499939999999995,189.0806,33994.0,,48.417590138,1.0566700263,1.8174724453,32.171538186,62.935266769,7954.0,15.058248041,5.4757265605,,68.373846354,,,16.699410609,5.9064266639,9.35,22.8,
41047.0,Oregon,Marion,,3.8,3.0,68.20406942,52.991029928,28.3,4.7047820712,19.1,,70.24762,188.60956,45631.0,,13.093694008,0.9615324108,2.1105888127,24.664439033,68.357214325,82831.0,11.187210036,10.488009408,,48.765982753,,,19.720682775,6.7267553157,9.06,15.1,
41049.0,Oregon,Morrow,,4.3,,72.266839378,35.132117603,23.3,11.41884408,25.3,,35.81341,133.13216,50246.0,,45.869506847,0.4292997049,0.8675431536,32.081209194,63.885162329,2687.0,,,,45.926919209,,,13.806451613,9.1111111111,9.71,23.4,
41051.0,Oregon,Multnomah,,3.4,3.2,62.752285319,73.533404072,24.1,3.8184191369,15.1,,126.59903,404.95343,51580.0,,1.3422471965,5.3934614906,6.7693636202,11.003206829,72.098180569,249745.0,7.1967409569,18.18553239,,33.09182648,,,22.096179625,5.4024209515,9.73,13.5,
41053.0,Oregon,Polk,,4.2,3.3,59.0330033,63.913772178,20.2,8.2779255024,19.7,,60.53189,148.26555,49636.0,,19.926262881,0.5276593505,1.9895783989,12.348018317,80.327911995,17303.0,12.111465189,9.1332360445,,25.616037867,,,18.255687974,2.7657650018,8.98,13.3,
41055.0,Oregon,Sherman,,,,,60.285714286,22.6,15.234006285,20.1,,0.0,,52251.0,,100.0,0.1153402537,0.1730103806,5.7093425606,91.464821223,350.0,,,,,,,11.656441718,2.7952082145,9.68,,
41057.0,Oregon,Tillamook,,4.4,3.0,78.610197368,48.110492998,24.7,8.6578307717,20.4,,78.73086,81.5629,43558.0,,69.603960396,0.2796486667,0.8980267045,9.2717318524,86.513844578,5213.0,15.363867598,12.518706931,,35.223880597,,,18.382022472,1.678426788,9.49,18.2,
41059.0,Oregon,Umatilla,,4.5,3.8,69.62305026,49.984711039,24.3,9.4876415046,24.4,,53.4376,142.3514,46725.0,,29.066136067,0.725204779,1.0382428132,24.36088068,68.964887567,19622.0,14.969571467,9.5958791457,,55.059031226,,,16.180071577,4.8228766539,9.86,21.7,
41061.0,Oregon,Union,,3.3,3.1,75.115384615,54.869901547,24.6,16.775841405,18.3,,77.54643,132.10538,41504.0,,42.096473513,0.4578079534,0.9660523763,4.0814742968,90.483026188,5688.0,11.36324898,9.6587616331,,28.646981049,,,15.043816943,1.3454590756,9.66,14.5,
41063.0,Oregon,Wallowa,,3.1,1.5,,60.118543607,27.4,9.9217560386,21.2,,128.75536,101.06844,40554.0,,100.0,0.4145818442,0.3288062902,2.2587562545,94.453180843,1181.0,22.750305061,,,16.207455429,,,14.759535655,0.0151331719,10.03,13.2,
41065.0,Oregon,Wasco,,2.5,2.4,65.893890675,54.702529391,25.8,15.355811105,19.3,,75.29524,122.00702,41324.0,,33.066275334,0.38449342,0.8363722848,15.669097828,76.811479309,5614.0,9.3475962072,8.1791466813,,43.97810219,,,16.734693878,6.6066576087,9.44,13.4,
41067.0,Oregon,Washington,,3.1,2.8,78.063087352,73.701642739,16.2,1.9833349429,15.3,,89.93172,156.21928,63566.0,,5.5900398331,1.7393190278,9.051577121,15.86000178,69.41445583,165151.0,6.6154843998,7.5163163181,,26.518740205,,,17.269904296,5.04162372,9.65,11.9,
41069.0,Oregon,Wheeler,,,,,58.962264151,39.0,45.974917319,20.7,,0.0,69.01311,33973.0,,100.0,0.0,0.563777308,4.2283298097,90.979563073,212.0,,,,,,,11.904761905,0.7240547064,9.03,,
41071.0,Oregon,Yamhill,,3.7,3.1,72.614233577,55.982974623,22.2,4.2217486261,18.8,,74.0,159.86227,49656.0,,22.603409515,0.8086172345,1.6132264529,15.034068136,78.833667335,24904.0,13.839914313,9.3268987761,,31.448193042,,,18.310066128,3.9019601497,9.32,17.1,
