FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
46003.0,South_Dakota,Aurora,,3.5,1.8,,54.370629371,16.1,33.556797892,33.2,,,,46581.0,,100.0,0.4042631386,0.6615214994,4.0426313855,92.723263506,572.0,,,,,,,8.2926829268,1.626984127,11.4,13.3,
46005.0,South_Dakota,Beadle,,3.5,1.9,81.104060914,55.916937703,19.4,7.5973148442,28.3,,56.980059999999995,179.61139,46072.0,,27.365214392,0.8070015913,4.5692202773,8.0188679245,84.456694703,3997.0,11.985480447,,,47.454275828,,,12.213740458,5.0676719609,11.08,17.2,
46007.0,South_Dakota,Bennett,,3.0,3.0,,53.715170279,44.4,49.354995416,30.2,,29.061320000000002,,33784.0,,100.0,0.1738122827,0.4634994206,2.3464658169,32.908458864,646.0,53.577316189,,,76.525336091,,,20.379146919,0.0998003992,11.93,21.5,
46009.0,South_Dakota,Bon Homme,,2.3,2.5,,46.033519553,17.8,29.942453736,30.8,,85.92296,11.64822,41217.0,,100.0,0.9676960296,0.2703856553,1.9353920592,88.615340828,1790.0,26.32005183,,,20.895522388,,,9.3023255814,0.3436426117,11.72,20.7,
46011.0,South_Dakota,Brookings,,2.2,2.4,91.8125,71.77690583,11.3,15.747979496,21.0,,49.649350000000005,77.31176,49554.0,,29.666823088,0.8499377335,2.7552926526,2.0112079701,92.089041096,7136.0,10.693247911,,,11.142948106,,,13.985094257,0.8503005945,12.2,13.2,
46013.0,South_Dakota,Brown,,2.8,2.5,86.098445596,69.828194869,12.2,6.6009711662,27.2,,86.90456999999999,279.09861,52239.0,,28.89053133,0.6300923411,0.9804454101,1.4801738186,92.384573601,8498.0,11.167435757,,,28.959479178,,,8.7684069612,0.5774247443,10.35,17.5,
46015.0,South_Dakota,Brule,,2.4,3.4,,45.878434638,17.1,10.639207009,34.4,,113.57183,110.59907999999999,47417.0,,100.0,0.2822732405,0.1693639443,1.731275875,87.448249906,1201.0,,,,23.157894737,,,9.156626506,0.327734535,11.15,14.3,
46017.0,South_Dakota,Buffalo,,4.2,4.0,,37.373737374,45.7,11.597465208,38.1,,50.301809999999996,197.72615,25179.0,,100.0,0.201511335,0.0503778338,2.1662468514,15.9697733,495.0,,,,101.12359551,,,24.752475248,0.2328288708,10.79,41.7,
46019.0,South_Dakota,Butte,,2.9,2.6,87.982758621,63.69047619,20.1,11.965252281,31.7,,38.99015,,41328.0,,48.170128586,0.3206373883,0.2817722503,3.2549553051,92.363000389,2184.0,20.553173997,,,35.655058043,,,15.094339623,0.3296119086,10.23,22.2,
46021.0,South_Dakota,Campbell,,2.8,,,75.109170306,10.8,28.430682293,35.0,,0.0,,46053.0,,100.0,0.0709219858,0.4255319149,1.0638297872,97.80141844,229.0,,,,,,,8.1967213115,0.0,9.54,14.1,
