FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
54001.0,West_Virginia,Barbour,,5.7,3.7,77.5,38.125329121,29.9,0.5117028334,35.1,,30.266340000000003,17.68659,32940.0,,83.72415456,0.7363592467,0.2474649928,0.5975374215,96.487204249,3798.0,23.086895523,13.319362802,,40.284942275,,,10.048231511,0.1672455937,13.31,26.6,
54003.0,West_Virginia,Berkeley,,3.8,3.8,81.0,54.030061535,19.4,7.1719752378,29.3,,42.55319,115.72788,52672.0,,31.625531588,7.005785374,0.9377599637,3.7387506617,85.760606519,29739.0,16.363503543,15.925195412,,48.683306618,,,12.522592306,0.7567889937,12.96,26.8,
54005.0,West_Virginia,Boone,,6.6,5.5,76.0,37.277436063,25.5,1.2178784525,42.2,,40.90983,8.12711,39194.0,,81.408096147,0.5437671205,0.0981233902,0.429289832,98.221513553,6178.0,34.823115698,39.390081692,,69.36416185,,,8.6284289277,0.0606191816,13.07,29.7,
54007.0,West_Virginia,Braxton,,4.7,3.4,82.5,39.198813056,29.4,9.3652943697,35.2,,34.51847,27.021549999999998,33280.0,,100.0,0.4120879121,0.1648351648,0.4807692308,97.836538462,3370.0,31.320348439,13.702652442,,54.010349288,,,10.199004975,0.0945110869,13.23,24.0,
54009.0,West_Virginia,Brooke,,4.7,4.2,89.0,59.732824427,21.5,6.348675193,35.7,,25.16356,8.088980000000001,40044.0,,42.128879472,1.2410680707,0.4053319962,0.7145543437,96.406334879,5240.0,11.137554662,21.688922236,,26.53655196,,,9.262086514,0.0304771856,14.0,26.6,
54011.0,West_Virginia,Cabell,,5.0,4.7,71.0,63.319454649,25.6,3.3283673203,31.8,,155.19436000000002,126.8457,36048.0,,21.558570998,4.9578222843,1.0847176939,1.1416446722,90.689851472,24498.0,14.229438461,25.01385498,,47.867523395,,,14.162455319,0.239355835,13.12,23.2,
54013.0,West_Virginia,Calhoun,,4.6,3.9,87.5,31.085223789,30.4,12.879407918,34.2,,26.13696,,32922.0,,100.0,0.2225713538,0.1571091909,0.890285415,97.630269704,1631.0,30.277225849,,,54.945054945,,,10.726072607,0.3478986919,13.24,46.2,
54015.0,West_Virginia,Clay,,5.6,4.1,82.5,33.598937583,34.3,6.7614729905,37.6,,21.374370000000003,32.01366,32885.0,,100.0,0.0745473908,0.0745473908,0.3940362087,98.359957401,2259.0,32.45220675,,,66.994193837,,,9.3484419263,0.0112905047,13.18,22.2,
54017.0,West_Virginia,Doddridge,,3.7,3.8,92.5,41.182572614,27.7,1.0015852774,37.5,,24.47681,11.23596,34753.0,,100.0,1.4148066837,0.2439321869,0.6098304671,96.389803635,1928.0,,,,34.811903425,,,11.713286713,0.0,13.4,28.1,
54019.0,West_Virginia,Fayette,,4.9,5.1,71.0,44.053838661,30.9,7.2430541347,37.3,,65.64695,23.05645,33445.0,,57.872673168,4.5899925968,0.2308060793,0.9254017332,92.829769629,11293.0,27.500285818,22.55641421,,68.137198291,,,9.7850055127,0.2029286291,13.11,26.4,
