FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
20001.0,Kansas,Allen,,4.0,2.9,92.717391304,61.247892074,26.4,13.351170656,28.5,,5.0,17,40073.0,,57.153541246,,0.5562328558,3.1773849436,91.153611704,2965.0,34.03024438,18.078567327,,47.042253521,,,9.375,0.1435521174,8.15,19.0,
20003.0,Kansas,Anderson,,2.8,3.3,90.272727273,51.516919487,21.0,9.2974067958,30.5,,4.0,2,42386.0,,58.824981486,,0.6711409396,1.8234772698,94.64353552,1714.0,28.363262484,,,43.010752688,,,12.5,0.4750271444,8.18,16.6,
20005.0,Kansas,Atchison,,2.9,3.0,94.230769231,58.181307887,22.2,7.8079852683,28.1,,8.0,20,44180.0,,34.152682581,,0.4955519733,2.824049197,88.608275121,3563.0,18.631278529,10.162515561,,34.14195867,,,10.992616899,0.1644944958,8.27,23.6,
20007.0,Kansas,Barber,,2.2,1.2,,64.220183486,18.3,4.1697906698,32.2,,4.0,1,50097.0,,100.0,,0.5255710532,3.1736405903,93.713361633,981.0,52.530204868,,,43.821209465,,,7.5921908894,0.1951431049,10.78,22.0,
20009.0,Kansas,Barton,,3.8,3.1,85.369230769,56.235753826,20.3,7.6463806277,29.0,,17.0,38,42464.0,,31.755438318,,0.3526118725,14.144461812,82.438474681,6142.0,17.629002821,,,48.001126126,,,9.6975088968,3.5586357265,11.49,16.9,
20011.0,Kansas,Bourbon,,4.4,4.7,89.5625,65.746703465,30.1,7.6075645046,26.7,,8.0,11,35990.0,,47.966783102,,0.5992458928,2.248855373,91.145973606,3261.0,22.777529967,13.286892481,,60.848678943,,,10.305676856,0.0644422168,8.4,19.2,
20013.0,Kansas,Brown,,2.7,1.6,81.51459854,52.984389348,22.7,2.5942715053,31.0,,11.0,25,41426.0,,68.439503205,,0.3701110333,3.6010803241,83.815144543,2178.0,28.5787774,14.2893887,,58.248110271,,,10.519951632,0.7364089235,8.29,20.7,
20015.0,Kansas,Butler,,2.9,3.2,88.921822742,73.213486021,14.2,5.800245581,24.8,,44.0,68,56456.0,,40.473588342,,0.9254897193,4.3630229625,90.108353722,15631.0,17.549016597,14.6973014,,28.95994538,,,9.5465890183,0.3096326557,9.26,16.9,
20017.0,Kansas,Chase,,1.8,,,55.330882353,18.0,31.543496401,25.9,,,,44300.0,,100.0,,0.2962962963,3.8888888889,92.518518519,544.0,,,,38.167938931,,,14.347826087,0.8374571755,9.18,20.1,
20019.0,Kansas,Chautauqua,,2.7,,,52.098408104,25.8,7.9452615637,31.5,,,,38973.0,,100.0,,0.1689189189,2.8716216216,87.246621622,691.0,,,,46.776232617,,,10.03236246,0.7950530035,9.04,27.8,
20021.0,Kansas,Cherokee,,3.9,3.3,87.884615385,60.613447085,27.7,6.7767219678,33.7,,7.0,24,40310.0,,49.06263019,,0.3908856898,2.1260368005,88.93602822,4923.0,23.78702682,13.875765645,,58.030241112,,,11.477411477,0.2395448648,8.9,21.4,
20023.0,Kansas,Cheyenne,,,,,71.34935305,18.3,36.720098699,29.7,,2.0,1,39317.0,,100.0,,0.7423904974,6.867112101,91.31403118,541.0,,,,,,,9.4117647059,0.618716164,13.28,,
20025.0,Kansas,Clark,,3.3,,,60.045146727,15.6,30.977986492,28.7,,4.0,,42866.0,,100.0,,1.0487916097,8.6183310534,86.274509804,443.0,,,,26.785714286,,,11.299435028,0.679281902,11.51,,
20027.0,Kansas,Clay,,2.5,2.2,92.5,77.375068644,17.4,9.6888370579,25.2,,10.0,3,48178.0,,49.537199766,,0.3925767309,2.4625267666,94.97977635,1821.0,18.412507114,,,38.18369453,,,10.526315789,0.0,9.99,17.9,
20029.0,Kansas,Cloud,,3.1,2.9,79.959016393,63.774973712,17.2,12.432097245,28.3,,3.0,14,40663.0,,43.984055387,,0.3336203186,3.2608695652,93.865690917,1902.0,24.072458099,,,41.174227983,,,10.804020101,0.3521526752,10.54,16.1,
20031.0,Kansas,Coffey,,2.6,2.0,93.139097744,63.217768147,13.5,16.718645054,26.5,,6.0,8,53487.0,,70.898732705,,0.5825011888,2.4369947694,94.127436995,1846.0,28.352707684,,,25.336091003,,,6.7528735632,0.1367308888,8.27,16.1,
20033.0,Kansas,Comanche,,,,,78.477690289,15.9,6.655135426,26.8,,1.0,,44076.0,,100.0,,0.3069053708,4.4501278772,93.043478261,381.0,,,,,,,5.325443787,0.3376477209,11.17,,
20035.0,Kansas,Cowley,,3.4,3.1,78.959543568,64.12470024,23.7,5.6482977551,30.6,,16.0,33,42341.0,,30.998870866,,1.7180422053,10.05689979,80.875041432,8340.0,17.371735397,9.0806798666,,51.037173958,,,13.120830245,1.9689578714,9.37,18.0,
20037.0,Kansas,Crawford,,3.5,3.2,87.926065163,67.869064283,24.4,14.202097856,25.3,,27.0,71,36958.0,,34.928706496,,1.4511940527,5.0155303223,88.049289679,9287.0,15.724707904,13.530562615,,37.490855889,,,16.965157929,1.5707802266,8.44,20.9,
20039.0,Kansas,Decatur,,3.3,,,65.930018416,20.8,7.7485494681,28.2,,,1,37789.0,,100.0,,0.4436860068,1.7747440273,95.460750853,543.0,,,,27.027027027,,,5.7239057239,0.2871500359,12.84,19.4,
20041.0,Kansas,Dickinson,,3.0,2.8,88.895348837,59.503386005,16.2,5.4957067933,26.9,,9.0,3,49033.0,,64.290776552,,0.4538732215,4.4928349227,91.672191341,4430.0,15.247222827,9.4387569883,,36.56462585,,,9.7496706192,0.3417597917,9.92,19.7,
20043.0,Kansas,Doniphan,,3.1,3.6,,55.796687607,18.9,21.229458825,25.8,,2.0,1,46338.0,,70.195091252,,0.2929563113,2.5729206471,90.128646032,1751.0,21.587392963,,,22.231543624,,,7.7170418006,0.4956463496,8.38,16.7,
20045.0,Kansas,Douglas,,2.7,2.6,87.505681818,81.763567865,15.2,4.1431858582,17.9,,99.0,281,51221.0,,11.012758739,,4.2406535925,5.5413656164,80.487570196,29463.0,6.8828576586,8.5711057635,,12.55923557,,,21.750693802,1.5579201342,8.24,15.6,
20047.0,Kansas,Edwards,,,,,54.573170732,17.5,4.9997347601,27.9,,1.0,,45687.0,,100.0,,0.4074702886,20.0,77.79286927,656.0,47.063253012,,,50.578034682,,,9.2592592593,3.6382903568,11.67,,
20049.0,Kansas,Elk,,3.7,,,67.280163599,32.4,49.830167519,27.2,,1.0,,37537.0,,100.0,,0.4143126177,3.4274952919,92.241054614,489.0,,,,40.677966102,,,11.240310078,2.258185924,8.71,15.9,
20051.0,Kansas,Ellis,,2.9,2.0,85.745454545,74.859175808,13.7,5.7807254489,26.4,,17.0,70,47454.0,,25.558835934,,1.3695330512,5.4471628643,90.733285159,6746.0,17.679178474,,,24.493348253,,,11.258561644,0.8203445447,12.31,15.1,
20053.0,Kansas,Ellsworth,,3.5,2.1,,50.202702703,13.8,11.067723626,30.0,,3.0,2,48030.0,,54.101893181,,0.7033447952,5.8299468584,86.5270397,1480.0,,,,21.798365123,,,5.46875,0.3094966607,11.01,12.4,
20055.0,Kansas,Finney,,3.2,2.8,80.611510791,45.23163606,22.7,9.1470894265,23.7,,20.0,37,46984.0,,18.582771373,,4.0433446547,47.88937409,44.333926357,9584.0,23.160688069,4.7106484208,,77.895752896,,,16.439487815,11.276008874,12.51,20.9,
20057.0,Kansas,Ford,,2.6,2.2,84.43359375,41.782970897,18.6,13.806238462,30.0,,17.0,26,46444.0,,19.298038289,,1.6973491485,52.01757661,42.247049025,9243.0,21.485969662,4.2971939324,,74.71793691,,,16.89435337,13.942432083,11.92,17.0,
20059.0,Kansas,Franklin,,2.9,2.7,84.87388724,59.315157416,19.5,14.604253614,30.0,,12.0,35,48297.0,,52.100646353,,0.4895104895,3.9044289044,91.577311577,6162.0,20.44198895,12.70718232,,42.701863354,,,12.906403941,0.4774756072,8.22,21.9,
20061.0,Kansas,Geary,,3.8,2.9,74.0,69.045470949,24.2,12.695154883,25.9,,17.0,79,41048.0,,11.672778069,,3.6512946715,14.642627862,58.624010272,11084.0,13.767375761,12.435049074,,75.120514194,,,13.900589722,1.1151591953,9.49,25.5,
20063.0,Kansas,Gove,,,3.0,,62.081128748,15.0,28.794267706,29.1,,5.0,1,48042.0,,100.0,,0.4333694475,2.2751895991,96.135789094,567.0,,,,,,,3.8260869565,0.0765110941,12.86,,
20065.0,Kansas,Graham,,1.8,,,67.303609342,18.6,7.7837610291,27.7,,1.0,,44422.0,,100.0,,0.6556112611,2.969533359,89.12456614,471.0,,,,35.50295858,,,9.2827004219,0.0,12.69,17.2,
20067.0,Kansas,Grant,,2.5,2.4,82.5,46.401515152,17.2,3.6668138235,26.4,,4.0,1,54952.0,,19.798186231,,0.4905660377,46.578616352,51.383647799,2112.0,25.648541697,,,72.625698324,,,9.4306049822,8.4752862329,12.57,16.4,
20069.0,Kansas,Gray,,3.1,2.3,,52.827677977,13.6,16.299704346,24.4,,1.0,1,56615.0,,100.0,,0.2662672658,14.744549842,83.325012481,1503.0,31.353254709,,,28.177458034,,,11.219512195,2.3921710765,12.22,13.7,
20071.0,Kansas,Greeley,,,,,76.344086022,13.4,23.006751394,29.0,,1.0,,50637.0,,100.0,,0.3100775194,15.658914729,82.790697674,186.0,,,,,,,2.0,2.1834061135,13.21,,
20073.0,Kansas,Greenwood,,5.5,4.0,,60.436137072,23.0,15.308759761,27.3,,3.0,1,35803.0,,61.264763044,,0.295765878,3.8449564134,92.325653798,1284.0,27.525461051,,,45.801526718,,,11.03565365,0.0482005141,8.69,21.4,
20075.0,Kansas,Hamilton,,2.8,,,43.464052288,20.5,47.758103723,22.5,,,,42263.0,,100.0,,0.421617478,32.349559218,64.737447298,612.0,,,,82.043343653,,,11.214953271,8.3913221449,13.0,,
20077.0,Kansas,Harper,,2.9,1.8,,61.838893409,21.4,7.1416023321,31.5,,2.0,,43066.0,,100.0,,0.2559726962,6.3651877133,90.733788396,1229.0,35.652318589,,,45.592705167,,,9.962406015,1.4772113133,10.32,22.9,
20079.0,Kansas,Harvey,,2.5,2.3,87.321917808,62.277898504,15.1,6.5404653024,26.6,,30.0,100,54135.0,,30.919155807,,0.8635330014,11.113669727,83.949799948,7823.0,18.302447952,7.4873650714,,36.223551058,,,10.696612105,2.5656048598,9.93,10.0,
20081.0,Kansas,Haskell,,2.3,,,38.966202783,17.2,39.21897349,30.9,,2.0,1,53076.0,,100.0,,1.5938179184,27.819367303,68.968848104,1006.0,44.061822126,,,47.619047619,,,6.8100358423,5.3272450533,12.36,23.9,
20083.0,Kansas,Hodgeman,,,,,58.379888268,13.8,33.180681977,27.9,,1.0,,49119.0,,100.0,,0.4615384615,6.8717948718,90.102564103,358.0,,,,,,,7.0512820513,1.3706140351,12.13,,
20085.0,Kansas,Jackson,,4.0,3.1,92.921195652,66.30980261,15.1,4.435854726,28.6,,10.0,1,50661.0,,75.895112168,,0.4189735149,4.1972168188,84.640131677,2989.0,25.626788536,,,34.149484536,,,10.590440487,0.5165289256,8.48,26.9,
20087.0,Kansas,Jefferson,,3.3,3.0,93.919642857,63.909593652,14.3,4.0977998407,22.3,,12.0,4,54890.0,,98.818362439,,0.2126189337,2.4238558444,94.152979323,4159.0,28.533883987,7.5089168387,,26.805015132,,,8.7837837838,0.2568110764,8.23,18.6,
20089.0,Kansas,Jewell,,3.4,1.7,,67.676767677,20.2,10.725285505,30.2,,,,41924.0,,100.0,,0.3282994091,2.4950755089,95.567957978,495.0,,,,27.829313544,,,9.8639455782,0.1708233686,11.22,10.1,
20091.0,Kansas,Johnson,,2.4,2.4,92.847127857,83.997523501,7.0,2.8690751591,17.1,,618.0,1083,74135.0,,3.8336650257,,4.5552119915,7.3700066851,81.023683575,158288.0,6.5563396619,7.538463417,,17.533098196,,,11.211985794,1.8617357405,8.54,12.6,
20093.0,Kansas,Kearny,,2.5,2.3,,52.371732817,19.2,2.6857945599,28.2,,4.0,1,54399.0,,100.0,,0.6372673974,29.31430028,67.295437165,1033.0,46.826597507,,,62.624254473,,,9.0252707581,6.9078947368,12.76,17.7,
20095.0,Kansas,Kingman,,3.1,2.0,86.479591837,63.613231552,17.6,9.041381847,32.3,,1.0,2,51281.0,,62.102316111,,0.5864354921,2.8429372769,94.224885263,1572.0,30.641120384,,,29.77412731,,,11.326378539,0.2292959266,10.43,14.8,
20097.0,Kansas,Kiowa,,,,32.5,73.320895522,14.6,41.681630398,28.8,,1.0,13,45417.0,,100.0,,0.8323424495,5.4300435989,90.96313912,536.0,,,,13.93728223,,,6.4039408867,0.1680672269,11.46,,
20099.0,Kansas,Labette,,3.6,3.5,93.098360656,64.066496164,26.6,6.1096679828,30.6,,17.0,11,38542.0,,52.3395196,,0.5163511188,4.3077070186,85.087970931,4692.0,25.032278464,12.516139232,,61.865542999,,,9.9658314351,0.4990268975,8.59,21.2,
20101.0,Kansas,Lane,,,,,60.0,14.4,36.494297235,26.4,,1.0,,52915.0,,100.0,,0.1744186047,5.5813953488,91.104651163,310.0,,,,,,,10.204081633,0.3209242619,12.6,,
20103.0,Kansas,Leavenworth,,3.1,2.3,89.124476987,64.707509335,13.7,5.1596852833,25.0,,32.0,138,65424.0,,29.063192832,,1.3020400333,6.7289121954,79.382234444,21693.0,12.317721411,11.749211192,,34.387730649,,,12.244504435,0.9405479109,8.42,18.3,
20105.0,Kansas,Lincoln,,2.3,,,67.669172932,19.9,8.5557436392,27.2,,1.0,,42521.0,,100.0,,0.3177629488,2.4467747061,95.233555767,665.0,,,,36.624203822,,,7.9584775087,1.2658227848,11.15,11.8,
