FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
22001.0,Louisiana,Acadia,,3.8,3.4,79.0,43.205597698,26.3,0.5725596217,39.4,,22.0,20,38788.0,,51.69896233,,0.3665359141,2.0175551411,78.054465951,15292.0,25.610162112,24.911703146,,64.624769651,,,14.059316278,0.8161624635,10.36,23.6,
22003.0,Louisiana,Allen,,6.6,4.8,84.0,37.730942931,26.5,17.551997421,34.8,,9.0,14,38122.0,,69.42244993,,0.728354936,1.6525042096,70.603438149,7307.0,14.411937519,11.086105784,,69.549218031,,,11.326468807,2.2494802495,9.96,21.3,
22005.0,Louisiana,Ascension,,3.6,3.2,87.0,61.596649162,15.7,10.869798408,26.9,,50.0,61,70303.0,,13.216434268,,1.1915064733,4.9618420708,69.982428995,31992.0,21.795336343,10.761447319,,39.201905431,,,13.107128198,1.0473835118,11.35,19.4,
22007.0,Louisiana,Assumption,,4.6,3.8,79.0,36.168339496,25.6,12.987438737,29.1,,2.0,3,44749.0,,44.993808975,,0.327769871,2.2641997671,66.507094493,5679.0,29.328738498,8.5542153951,,42.075025346,,,12.922002328,1.028242391,11.43,20.0,
22009.0,Louisiana,Avoyelles,,5.2,3.6,64.907786885,36.338211988,33.9,11.452106064,36.1,,14.0,8,33240.0,,63.781997956,,0.484273227,1.6852708298,65.953170779,10727.0,24.866893989,12.944410569,,72.839377155,,,16.329113924,0.2824278525,10.11,26.5,
22011.0,Louisiana,Beauregard,,3.9,3.6,87.0,45.520833333,22.7,14.626009273,31.4,,18.0,12,46225.0,,66.494642957,,0.721652335,3.5087234219,79.533829181,9600.0,27.909008543,19.414962464,,57.049714751,,,9.91831972,0.5743516109,9.7,25.8,
22013.0,Louisiana,Bienville,,4.7,3.5,77.5,45.79015544,34.0,12.21055524,35.1,,2.0,,33790.0,,79.836967881,,0.293255132,1.6665474573,54.581217366,3088.0,30.643008946,9.8848415954,,62.086806554,,,14.721723519,0.0,10.74,25.9,
22015.0,Louisiana,Bossier,,3.2,3.6,74.0,62.432392493,19.8,6.9013479319,25.2,,50.0,53,51899.0,,24.34197591,,1.8736422151,6.2904306954,68.354021466,33835.0,15.421189702,11.34999562,,49.324654803,,,13.30755232,1.1819777648,10.84,25.6,
22017.0,Louisiana,Caddo,,3.4,2.9,63.0,57.037735275,32.5,14.329102576,32.8,,269.0,418,39776.0,,14.435088187,,1.2315261273,2.7117899304,46.680685951,65774.0,19.900933826,10.737509494,,64.904424864,,,17.289101455,0.6330660107,10.58,22.0,
22019.0,Louisiana,Calcasieu,,4.0,3.4,78.0,55.782146782,23.3,7.8984780464,31.8,,121.0,180,43779.0,,20.500290505,,1.2258315583,2.9094297886,68.897468458,49134.0,19.718216933,19.193397471,,51.476251605,,,14.009159034,0.6063334334,9.86,21.9,
