FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
23001.0,Maine,Androscoggin,,3.7,3.7,80.074845679,59.020513768,22.3,2.9042179768,24.0,,78.0,410,44097.0,,43.366882695,,0.748113453,1.7006802721,91.558863983,27055.0,11.000750172,12.1936026,,35.83937444,,,15.146690926,0.7393971832,10.28,18.3,
23003.0,Maine,Aroostook,,4.1,3.7,86.290868095,60.883260056,22.1,4.2977784751,30.1,,62.0,282,37092.0,,80.265757618,,0.5010349011,1.0834344444,94.651345371,15239.0,14.666301991,8.7205038866,,27.304379696,,,12.852921865,0.8252749686,10.37,23.8,
23005.0,Maine,Cumberland,,2.9,3.3,88.062521179,73.630778555,13.7,4.501536434,15.7,,443.0,1639,55020.0,,36.098468442,,2.1824729556,1.8941623227,91.284471162,72596.0,8.0853857415,12.000949906,,14.309803376,,,16.719310227,1.257253025,10.28,13.5,
23007.0,Maine,Franklin,,3.7,3.9,80.909090909,59.295375904,21.0,0.589282564,21.5,,34.0,71,41154.0,,82.998569943,,0.6197737334,1.2100344319,96.137071651,6358.0,18.164965836,9.3153670953,,21.171171171,,,12.709440131,0.4136752137,10.45,18.1,
23009.0,Maine,Hancock,,3.2,3.3,84.005102041,60.530749789,20.1,2.0684477551,19.9,,80.0,170,44463.0,,90.113565364,,1.0447625125,1.349256997,95.494575622,11870.0,14.183167732,10.768701426,,21.234981839,,,16.067653277,0.2171573526,10.03,17.3,
23011.0,Maine,Kennebec,,3.8,3.7,84.091746795,60.715163862,19.1,2.7015557458,21.8,,150.0,469,45151.0,,62.830431188,,0.8046944637,1.3725198904,95.208147635,28469.0,14.295439872,12.537803822,,26.291578202,,,12.469389754,0.3576921083,10.23,19.2,
23013.0,Maine,Knox,,3.6,3.7,87.524131274,50.450856628,20.4,3.6582662907,18.8,,37.0,183,48352.0,,67.930843568,,0.5284450063,1.0771175727,96.012642225,8872.0,13.572640414,13.929815162,,29.065926807,,,18.074074074,0.1504632685,10.12,14.9,
23015.0,Maine,Lincoln,,3.0,3.7,,58.995090962,21.2,1.4595677037,20.7,,42.0,57,48908.0,,100.0,,0.6277869045,0.9328796057,96.59117578,6926.0,15.698651982,10.328060514,,22.274143302,,,15.489673551,0.2744822959,10.16,17.3,
23017.0,Maine,Oxford,,3.8,3.9,84.140350877,50.272619518,20.8,3.091947713,23.2,,36.0,127,38932.0,,83.111718223,,0.6355081446,1.1662621995,95.977442953,12655.0,18.29003045,9.3921777989,,26.297891635,,,14.632071459,0.2042416617,10.44,23.0,
23019.0,Maine,Penobscot,,4.0,3.8,84.32205972,64.222970199,19.3,5.9067019949,24.3,,181.0,648,43615.0,,57.650253698,,0.9930622571,1.2114968311,94.335698078,36543.0,9.7922641114,13.056352148,,20.719195139,,,15.718395397,0.2170415255,10.15,20.2,
23021.0,Maine,Piscataquis,,4.1,3.9,,50.836879433,27.7,2.1568616992,25.3,,16.0,33,36553.0,,100.0,,0.7708479327,1.1329128708,95.894650783,3525.0,10.615017801,9.7984779698,,28.523954583,,,14.122137405,0.1747514312,10.3,21.7,
23023.0,Maine,Sagadahoc,,3.4,3.7,84.480140187,65.149847095,18.1,2.5339965728,19.5,,21.0,67,52279.0,,61.675119712,,0.8368320338,1.496586982,95.016136863,8175.0,9.2405475225,7.2317328437,,23.688894975,,,14.33860653,0.2906454126,10.21,16.4,
23025.0,Maine,Somerset,,4.6,4.4,82.737676056,50.180623974,25.1,3.6918082871,27.3,,38.0,75,38279.0,,80.47598989,,0.6208177001,0.9960159363,96.189997292,12180.0,18.617895083,9.5827401161,,35.613290916,,,16.884606561,0.194426442,10.38,25.6,
23027.0,Maine,Waldo,,3.7,4.0,87.234848485,58.578935344,24.4,3.2510357811,24.6,,28.0,74,43203.0,,91.34223689,,0.531587057,1.0657421674,96.186440678,8754.0,15.483813885,13.271840472,,30.467163169,,,17.741437828,0.5145097185,10.13,19.4,
23029.0,Maine,Washington,,4.0,3.8,84.772727273,54.798716453,27.2,5.400500324,28.8,,20.0,134,35754.0,,92.378865352,,0.5187946567,1.6806461634,90.54675365,6856.0,23.818184968,16.023142615,,35.520684736,,,15.768958186,0.5449854886,10.01,22.7,
23031.0,Maine,York,,3.3,3.3,86.068544601,65.027813436,12.2,3.578245378,19.6,,156.0,651,55163.0,,56.843418843,,1.1848709579,1.519823899,95.042897042,46740.0,10.329339803,12.568567313,,19.733953815,,,15.512948207,0.51181479,10.3,18.7,
