FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
29001.0,Missouri,Adair,,4.4,4.5,92.085152838,60.103833866,24.9,8.5744757454,29.0,,32.0,34,35282.0,,37.852930839,,2.0139214766,2.3502268106,92.229782575,5008.0,10.691816821,10.691816821,,15.845676886,,,21.069019201,0.3586593561,9.74,26.3,
29003.0,Missouri,Andrew,,2.6,2.2,87.760180995,60.141808053,13.1,4.110485418,31.7,,2.0,,54185.0,,61.280434908,,0.4987102322,2.4304958441,94.789337919,3949.0,20.910178238,,,35.571142285,,,9.6458176338,0.3607018402,8.55,21.5,
29005.0,Missouri,Atchison,,3.1,3.6,,58.813413586,16.8,1.7531902229,32.0,,2.0,2,43215.0,,100.0,,0.1835199119,1.1928794274,96.788401542,1163.0,,,,31.274433151,,,5.9304703476,0.0565824217,8.28,25.4,
29007.0,Missouri,Audrain,,5.1,4.8,82.914754098,48.710026263,32.9,6.9015801263,29.3,,18.0,41,41164.0,,41.196286576,,0.471532676,2.7239780211,87.9388956,6473.0,17.812908792,12.803028194,,49.590916681,,,9.6021220159,0.7914904309,10.44,29.0,
29009.0,Missouri,Barry,,4.6,5.2,91.266233766,41.641417468,32.2,3.1270273981,33.1,,18.0,12,36573.0,,73.26460095,,1.3831103115,8.3605082649,87.4957832,7591.0,25.641025641,12.019230769,,59.386068477,,,13.930885529,2.7822847185,10.14,30.9,
29011.0,Missouri,Barton,,5.2,,92.819148936,52.021857923,27.8,8.7486267884,27.9,,5.0,6,37723.0,,63.957426222,,0.4236252546,2.4114052953,93.303462322,2745.0,23.90438247,12.521343199,,44.14856342,,,13.713713714,1.1320428621,8.72,,
29013.0,Missouri,Bates,,2.9,3.0,88.75,43.959552954,27.9,1.5036847266,30.2,,4.0,5,38586.0,,77.271394217,,0.1933534743,2.0785498489,94.882175227,3758.0,20.102859632,25.12857454,,47.142480906,,,15.53030303,0.0441056014,8.74,25.9,
29015.0,Missouri,Benton,,3.5,,85.353535354,41.66150031,39.3,2.2241573598,33.2,,8.0,7,32563.0,,86.539672544,,0.4436932178,1.6427213184,95.673991126,3226.0,27.830220611,18.804203115,,50.738778924,,,12.961841308,0.054836587,9.39,20.6,
29017.0,Missouri,Bollinger,,5.4,3.1,,43.828715365,29.0,10.795475448,32.9,,1.0,4,37627.0,,100.0,,0.2481985588,0.9767814251,96.74939952,2779.0,21.841088836,,,48.419636853,,,13.152400835,0.1806296233,12.19,24.5,
29019.0,Missouri,Boone,,2.7,4.0,86.430450029,78.597447822,17.4,11.618021078,21.0,,171.0,464,49118.0,,18.786045425,,4.149953447,3.1960555826,80.425477095,43649.0,10.677030504,12.990387114,,19.798676381,,,18.012227622,1.2957464039,10.15,18.2,
29021.0,Missouri,Buchanan,,4.4,4.3,91.503541913,52.476814206,25.7,6.7603917602,28.0,,63.0,114,43461.0,,13.372047399,,1.0554384086,5.780366168,84.970601689,22751.0,12.572412259,9.8322711257,,60.831205015,,,13.146167558,1.2585935907,8.56,26.8,
29023.0,Missouri,Butler,,6.3,4.8,80.171232877,50.294714465,31.6,7.4214918695,30.0,,43.0,92,35381.0,,52.182548955,,0.8611285194,1.7640368591,89.408815542,10349.0,29.833935599,24.135318687,,72.487826472,,,14.014388489,0.0796753231,12.32,34.0,
29025.0,Missouri,Caldwell,,1.9,,92.963709677,47.662650602,22.3,8.0321387312,27.6,,1.0,,41546.0,,100.0,,0.175882159,2.0006595581,95.141255359,2075.0,33.666942123,18.363786613,,45.06534475,,,15.229110512,0.0804135554,9.05,19.7,
29027.0,Missouri,Callaway,,3.7,3.9,82.217090069,54.553523877,20.1,4.6281886931,30.0,,17.0,71,45573.0,,62.027429396,,0.6176875042,1.837282175,90.831623797,11266.0,20.163585216,14.634860237,,30.426808936,,,11.863905325,0.3021655196,10.37,29.8,
29029.0,Missouri,Camden,,3.2,4.4,92.111959288,56.780061422,32.6,2.620010973,29.1,,37.0,45,41314.0,,74.228444162,,0.5927682276,2.5648625234,94.651406685,8466.0,21.429089494,18.791663095,,38.934176907,,,13.835956918,0.9253695469,9.66,30.9,
29031.0,Missouri,Cape Girardeau,,3.8,4.6,87.181699346,63.688587373,21.9,7.4960072904,27.3,,71.0,173,44248.0,,30.503211143,,1.2545266425,2.2025349198,87.087428867,18278.0,9.9090086227,12.19570292,,31.766493255,,,14.41426146,0.5575456839,12.52,20.1,
