FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
53001.0,Washington,Adams,,3.6,2.5,75.021428571,38.761662426,23.7,10.967701601,25.3,,12.0,22,45171.0,,40.159120034,,1.3950805056,61.399276236,36.182933865,4716.0,10.992721248,,,94.268774704,,,21.888790821,20.62052506,11.19,10.1,
53003.0,Washington,Asotin,,4.8,3.7,69.421052632,60.410618001,25.8,5.013252065,21.2,,21.0,43,42842.0,,6.6549507469,,0.8367254636,3.6589778381,91.32066938,4822.0,15.274982899,17.931501664,,40.386680988,,,10.810810811,0.4528412134,10.57,21.7,
53005.0,Washington,Benton,,3.7,3.1,75.079261254,64.861723359,18.2,4.0356743712,18.4,,139.0,262,59264.0,,10.571022452,,2.9481911907,19.923463027,72.864065566,45597.0,6.9329533295,10.942372123,,40.007400213,,,13.069259962,3.8050134234,10.44,15.3,
53007.0,Washington,Chelan,,3.2,2.8,74.104938272,46.699571836,23.0,6.140194886,17.1,,84.0,111,50033.0,,27.224545567,,1.1018427136,27.121554207,68.959130423,16816.0,11.15851265,16.339250666,,42.600513259,,,15.915860015,5.8142439426,11.24,13.2,
53009.0,Washington,Clallam,,4.4,3.8,72.879464286,62.556465274,24.8,6.7113199643,20.4,,72.0,140,46531.0,,35.453195899,,1.6235203009,5.6892355349,83.76894568,14168.0,12.882992236,25.967281226,,32.502462308,,,16.422476252,0.5991173978,11.38,18.9,
53011.0,Washington,Clark,,3.5,3.4,81.613421381,64.280582701,17.4,4.117910625,18.9,,293.0,862,57886.0,,13.768475396,,4.5451165683,8.3752988281,80.531840826,115531.0,7.9141225989,14.028037053,,27.017896002,,,17.123679857,3.0088048069,9.86,15.3,
53013.0,Washington,Columbia,,4.1,3.3,,62.169312169,26.0,10.365782499,24.0,,1.0,7,42332.0,,34.25698872,,0.744047619,6.25,88.988095238,756.0,,,,29.931972789,,,12.849162011,0.9711286089,10.65,14.8,
53015.0,Washington,Cowlitz,,4.5,4.1,76.667792793,58.750208438,23.1,9.8918361994,23.2,,71.0,156,48447.0,,28.651498877,,1.6306695464,8.2318869036,85.036324367,23988.0,10.413676253,22.234606053,,43.870967742,,,18.180675964,1.2534134067,10.09,23.2,
53017.0,Washington,Douglas,,4.0,3.0,81.906810036,49.96310741,23.7,14.769402965,19.2,,14.0,13,49293.0,,26.595716999,,1.0716728738,30.070178105,66.137163994,9487.0,11.365186162,12.880544317,,44.045506732,,,17.330462863,8.1984508176,11.23,15.1,
53019.0,Washington,Ferry,,4.5,3.1,,55.531763026,33.1,22.775702249,20.0,,3.0,18,38302.0,,100.0,,1.0462987183,3.7797541198,74.156421658,1401.0,20.788449182,,,32.277346085,,,13.451327434,1.1996690568,11.35,24.2,
53021.0,Washington,Franklin,,4.2,2.6,73.202010969,43.144538587,24.0,12.423615355,20.0,,30.0,88,52720.0,,13.333674501,,2.1480181906,51.402386943,42.614095432,23959.0,9.9068942458,6.0965503051,,71.881926254,,,21.222449443,16.309470147,10.79,11.7,
