FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
55001.0,Wisconsin,Adams,,3.2,3.3,87.5,48.737201365,28.0,5.9858394106,23.2,,2.0,7,43814.0,,100.0,,0.4931640625,3.8427734375,90.68359375,4395.0,18.410053253,13.637076484,,47.08458801,,,14.667393675,0.9669823137,11.77,23.0,
55003.0,Wisconsin,Ashland,,3.3,3.9,86.913716814,67.735470942,26.8,12.83647296,20.6,,28.0,34,37909.0,,54.861669864,,0.3996003996,2.1041458541,83.51023976,3493.0,10.603423138,9.7198045436,,31.66838311,,,15.827338129,0.2318648559,10.93,16.3,
55005.0,Wisconsin,Barron,,3.1,2.8,87.576923077,56.768474805,20.1,2.9337822559,24.4,,48.0,28,44086.0,,65.927621539,,0.6305280673,2.2856642438,94.106314038,10379.0,14.009395635,4.6697985449,,28.457365135,,,14.378406437,0.9748851028,11.51,23.9,
55007.0,Wisconsin,Bayfield,,3.1,3.4,,62.789867999,25.5,7.8927697916,18.9,,3.0,26,45466.0,,100.0,,0.3430984429,1.4119820533,85.352335709,2803.0,15.125732653,,,21.261763681,,,14.306569343,0.2983624757,10.98,15.9,
55009.0,Wisconsin,Brown,,3.9,3.2,87.602877475,66.838344745,15.9,6.4310628538,20.2,,184.0,358,51956.0,,14.49434895,,3.0331597181,7.800114696,82.721752178,67180.0,8.5756087668,9.2709283966,,30.537093587,,,13.930348259,2.1724226583,11.26,18.7,
55011.0,Wisconsin,Buffalo,,3.4,2.7,92.51552795,58.773712737,16.7,7.1059557951,23.4,,3.0,1,48418.0,,100.0,,0.2470614659,1.9690050161,96.3539717,2952.0,13.597757416,,,17.324350337,,,13.119026933,1.0198478073,11.88,18.5,
55013.0,Wisconsin,Burnett,,2.6,2.4,55.366972477,56.638714186,23.5,3.8293288895,25.1,,4.0,18,41388.0,,100.0,,0.4043566164,1.5130763712,90.406313181,2862.0,12.765685836,10.942016431,,32.76178812,,,19.7421981,0.3467972256,11.58,14.7,
55015.0,Wisconsin,Calumet,,2.4,2.5,93.636363636,68.737334373,8.3,1.7366756853,19.4,,7.0,12,66657.0,,27.534663372,,2.28953786,3.7608077877,91.887861015,12830.0,10.042444095,3.8397580362,,12.60989255,,,9.2328767123,1.5376930261,11.53,11.0,
55017.0,Wisconsin,Chippewa,,2.3,2.7,89.770172911,60.821129052,15.5,5.4056504247,18.7,,46.0,40,49491.0,,46.142754146,,1.4144966103,1.3796489894,94.250142558,15978.0,10.625298837,9.0084055353,,25.199939641,,,12.933168317,0.4286151648,11.49,23.5,
55019.0,Wisconsin,Clark,,3.0,2.5,94.207317073,45.102175346,22.5,2.9895611182,20.5,,13.0,9,42477.0,,91.729605074,,0.4564495161,4.1196013289,93.774375271,7585.0,21.080129291,,,21.15130393,,,16.031987814,0.8911701726,11.52,21.3,
55021.0,Wisconsin,Columbia,,2.5,2.5,88.77443609,63.648515548,12.9,1.7316976788,24.4,,34.0,47,57613.0,,60.670737072,,0.5877888197,2.8171500185,93.767320354,14214.0,17.968815248,13.41334096,,22.834450236,,,11.773700306,0.7008732806,11.93,22.6,
55023.0,Wisconsin,Crawford,,3.1,2.6,93.07106599,56.500847937,20.9,13.22945975,21.4,,9.0,13,41598.0,,62.41888969,,0.4391047143,1.0550710496,95.572360798,3538.0,28.134191568,9.3780638561,,24.705221786,,,11.86440678,0.3123008286,11.84,22.8,
55025.0,Wisconsin,Dane,,3.1,3.0,85.837229521,80.281504867,13.6,4.6562169545,16.9,,621.0,1602,60326.0,,12.329917861,,5.2665122691,6.1915248687,81.065970636,144438.0,8.0012116964,11.928005629,,17.145027858,,,16.834780868,2.0978316332,12.02,13.6,
55027.0,Wisconsin,Dodge,,3.0,3.5,93.601440576,56.570146291,12.0,2.0741436569,22.9,,51.0,56,51623.0,,48.641827871,,0.5648374536,4.3704156479,90.870913701,23173.0,12.70584678,11.097511745,,21.83336009,,,12.085970852,0.7421548741,11.97,14.5,
55029.0,Wisconsin,Door,,2.6,2.6,92.384751773,61.631976423,16.4,4.6550822721,21.6,,23.0,35,51761.0,,68.986863416,,0.4696013765,2.8211930026,94.622885001,5429.0,10.230807006,5.115403503,,16.968114861,,,15.276752768,0.6795059504,10.98,15.6,
55031.0,Wisconsin,Douglas,,3.4,2.9,88.525150905,69.771286856,22.0,6.4270655272,23.9,,16.0,39,43417.0,,38.755406599,,0.8407956798,1.3170187071,92.109280653,10887.0,12.361663229,9.1085939584,,30.270689822,,,13.171622327,0.3255600839,11.23,23.3,
55033.0,Wisconsin,Dunn,,2.9,1.9,94.015283843,68.160065166,16.8,5.086357427,20.4,,28.0,59,50425.0,,59.313222519,,2.817188704,1.6726349667,93.468111146,9821.0,12.137992573,6.8891309197,,13.119627739,,,15.441402645,0.6549797727,11.71,15.7,
