FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
4001.0,Arizona,Apache,,5.7,5.3,66.341237113,47.51575825,39.5,43.828038654,21.8,37.8,21.0,67,32366.0,,74.061075533,0.8019156875,0.3800746227,6.3540680515,18.980063485,16182.0,58.854027998,5.9919707592,,55.224998898,,,35.986340951,5.1315670495,9.82,25.6,
4003.0,Arizona,Cochise,,4.1,3.9,78.636802974,65.172579868,27.5,12.335635434,23.0,33.0,58.0,133,45025.0,,36.30106741,3.9412152407,2.1977590861,34.550561798,56.142112862,31145.0,16.201316685,14.909680753,,48.902800215,,,15.359609915,5.0261112609,9.48,16.0,
4005.0,Arizona,Coconino,,3.8,4.0,75.711931444,67.85318684,24.8,13.095848229,16.3,31.2,112.0,250,48653.0,,31.46606557,1.3872546883,1.8027047835,13.89215729,54.862654523,33403.0,26.353581847,13.650812223,,31.50190702,,,26.476377953,2.9119117231,10.48,19.8,
4007.0,Arizona,Gila,,4.3,4.1,68.517298188,46.408494691,39.2,11.545643386,25.8,33.2,31.0,31,37677.0,,41.061999739,0.672075905,0.8038554943,18.786121727,63.205256123,9606.0,27.332068555,25.735017199,,77.173618022,,,18.59718449,1.5894831192,9.68,18.0,
4009.0,Arizona,Graham,,4.1,3.8,76.697368421,49.19887843,24.1,13.702318628,23.4,36.5,24.0,15,46046.0,,46.437399248,1.7994045894,0.6718128408,32.144268514,51.413441526,9986.0,11.600748635,21.266226574,,62.061677395,,,18.181818182,2.9969098012,9.35,18.4,
4011.0,Arizona,Greenlee,,3.7,3.5,93.211382114,54.287993618,11.5,25.867136663,24.2,34.4,4.0,2,59416.0,,46.568685552,1.4444682217,0.8024823454,46.565375562,47.849347314,2507.0,34.828758604,,,61.194029851,,,14.836795252,2.3233064319,9.58,17.2,
4012.0,Arizona,La Paz,,4.4,4.0,70.914634146,38.567916411,35.1,18.942249479,30.3,30.0,7.0,23,32533.0,,56.327785641,0.9440956947,0.860066235,25.678414315,59.265483664,3254.0,39.796409945,,,71.305347901,,,17.818008576,5.2178396494,10.66,16.0,
4013.0,Arizona,Maricopa,,3.5,3.4,76.485075376,63.907689351,24.3,3.6673818967,19.6,32.8,2839.0,4668,53929.0,,2.3637996949,5.0041948125,4.0956735323,30.28192223,57.013043922,1092615.0,10.086971449,16.862184947,,43.330136123,,,20.017473166,5.5949664228,9.87,15.1,
4015.0,Arizona,Mohave,,4.1,4.0,76.12022792,49.514788025,32.0,17.253789774,31.7,34.0,96.0,135,37704.0,,22.963643811,1.1472209519,1.2214731438,15.787687905,78.028727239,38849.0,18.460205831,30.505555783,,49.456286449,,,18.685831622,2.198430435,11.46,20.0,
4017.0,Arizona,Navajo,,4.7,4.6,75.490863264,50.401700319,35.4,18.232078512,24.1,35.3,76.0,69,35457.0,,54.138242329,1.1415250553,0.6965707995,11.118306029,42.234576923,23525.0,36.332808526,23.25458813,,65.666406859,,,26.731679335,4.3144958195,9.9,23.4,
4019.0,Arizona,Pima,,3.5,3.7,71.879813191,65.738142925,25.9,7.2610654169,18.1,31.1,828.0,1504,45871.0,,7.5234911447,3.3341430102,3.0821808712,36.080858841,53.304178331,239161.0,12.000571011,21.780786407,,39.470599072,,,20.330969267,4.1792885952,9.22,14.6,
4021.0,Arizona,Pinal,,3.9,3.6,71.174605729,55.192325778,25.4,4.7710335523,26.1,33.6,58.0,129,49876.0,,21.904622508,4.2921690494,1.8822247324,29.248005812,57.886434546,106330.0,14.643073114,11.029726811,,50.542471553,,,17.568943745,3.5842442082,9.24,17.0,
4023.0,Arizona,Santa Cruz,,4.1,3.8,81.745042493,52.755447942,34.6,10.78107553,18.9,30.5,18.0,18,37465.0,,26.883171658,0.3961880287,0.704572224,82.796873327,15.60338366,10325.0,14.649331624,,,53.320202589,,,23.060344828,16.040541777,9.32,15.4,
4025.0,Arizona,Yavapai,,3.6,3.6,76.996992892,60.570764463,23.6,12.08128562,20.2,29.7,140.0,321,44145.0,,33.197177693,0.7484783682,1.0313282521,14.218804262,80.863994444,38720.0,15.65613724,29.383836416,,42.81609926,,,20.105297795,2.0082073709,10.7,14.7,
4027.0,Arizona,Yuma,,4.1,3.9,75.407258065,54.297595149,30.0,10.529689948,27.6,34.4,87.0,103,39700.0,,10.42957635,1.9301637909,1.5316339233,61.712103992,32.891998406,48818.0,12.553672424,15.716247291,,62.707446509,,,20.53202111,14.775630703,9.92,14.9,
