FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
24001.0,Maryland,Allegany,,3.8,3.9,90.0,51.982107912,22.9,15.624559216,29.1,35.4,46.0,133,39808.0,,27.252387231,8.0957341814,0.9773549731,1.6380633841,87.425978726,17885.0,11.50527325,18.141823707,,30.399507035,,,14.753811109,0.4166430474,13.18,17.3,
24003.0,Maryland,Anne Arundel,,2.7,3.1,86.0,71.837395557,9.2,3.3595722751,22.5,34.8,399.0,749,86654.0,,5.3041349859,15.949961884,3.8522993646,7.1582999038,70.230641651,150082.0,8.8411179421,17.883247598,,23.894810414,,,14.789192997,1.453877719,12.59,12.9,
24005.0,Maryland,Baltimore,,3.2,3.7,86.0,69.807826215,13.0,3.0525156,25.4,38.1,852.0,1831,67766.0,,6.5338018879,27.164132176,5.8862653808,5.0073464945,59.640838045,211111.0,8.9526275077,20.142701108,,22.821383947,,,16.248709601,2.1692589406,12.59,15.0,
24009.0,Maryland,Calvert,,2.9,3.2,92.0,65.255178408,7.7,4.6418509137,22.7,35.1,50.0,150,92446.0,,38.709895534,12.946265988,1.6564952049,3.5072230254,79.02729189,20711.0,14.318303941,20.315818635,,18.033417375,,,14.814814815,0.3068819151,12.48,14.1,
24011.0,Maryland,Caroline,,3.3,3.6,84.0,43.030609664,23.7,2.2571869989,30.8,33.4,12.0,12,49573.0,,75.999516119,13.854570041,1.0326387608,6.4201856291,76.986907616,7906.0,28.239015023,25.523486712,,42.449730582,,,17.91613723,2.8026101142,12.11,18.2,
24013.0,Maryland,Carroll,,2.7,3.0,94.0,69.58839442,7.4,3.7418278318,21.7,29.6,101.0,269,84500.0,,39.506025106,3.4219150331,1.7023178216,3.0012512662,90.200798427,37706.0,12.979760114,20.294024604,,15.576757899,,,13.386948144,0.632131131,12.7,12.6,
24015.0,Maryland,Cecil,,3.6,3.6,87.0,55.935173018,14.8,4.6711000322,25.9,35.8,44.0,159,62198.0,,42.102504253,6.4346620044,1.2570446265,4.13447545,85.913677075,25113.0,15.981060322,29.085727731,,32.547053505,,,15.929326656,0.7994565785,12.14,16.0,
24017.0,Maryland,Charles,,3.0,3.2,90.0,67.582553592,10.3,3.7297429945,22.6,45.3,68.0,148,86703.0,,29.503722254,42.869328646,3.3396447104,5.2886324129,44.526872896,40398.0,14.459772234,11.785169455,,23.911726088,,,14.013177304,0.8779420586,12.55,13.7,
24019.0,Maryland,Dorchester,,3.7,3.7,84.0,51.411669804,29.4,2.9072527503,31.4,34.3,14.0,66,42279.0,,56.220491753,27.629074836,1.1388053287,4.6135428817,64.540487446,7438.0,14.061174899,13.293928765,,55.506736965,,,19.45467944,1.5626021576,12.18,17.1,
24021.0,Maryland,Frederick,,2.7,3.2,93.0,74.248029596,8.3,1.8043046907,19.8,33.6,142.0,402,83698.0,,25.207704008,8.7981943162,4.4752231456,8.4165384221,75.714373653,62170.0,9.1529717869,15.317401396,,18.731812717,,,14.346657317,1.841621446,12.8,12.4,
