FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
8001,Colorado,Adams,,3.6442329907,3.3742939741,72.137549837,56.483871413,17.3,4.5301659179,18.9,31.7,219.0,1394.0,62991,,3.6204464191,2.9674134046,4.1963051836,39.209951622,51.350295215,144898,8.3911528143,18.317458203,,42.898493843,10.7,,18.441804915,6.8084684805,9.1,17.109399167,16.32
8003,Colorado,Alamosa,,4.2598060045,3.9410286141,79.482758621,58.754438678,30.2,2.7146425642,16.8,28.3,20.0,233.0,40067,,36.866299773,1.2548496605,1.5943258972,45.823229874,48.999757517,3661,20.624473179,28.614642521,,39.43314849,14.9,,18.675721562,2.6144658261,4.9,18.372702791,
8005,Colorado,Arapahoe,,3.1642808416,3.3137714677,76.804742497,72.464830425,12.2,3.5388218501,15.9,30.2,520.0,1674.0,67062,,1.5753413881,10.188782689,5.8594888892,18.898234183,61.582073092,177355,6.4707158169,16.53215666,,27.769244947,10.2,,17.780979827,4.286471644,8.1,14.852503812,13.37
8007,Colorado,Archuleta,,3.4554057157,3.4241078521,92.5,58.889852559,25.4,7.7406270425,14.7,25.8,11.0,11.0,50361,,59.376034426,0.3966968912,0.9634067358,18.758095855,76.740608808,2306,19.970396824,,,31.069684865,21.4,,20.286885246,0.8376511226,5.0,14.180348739,
8009,Colorado,Baca,,3.7045735816,3.6740549499,,69.958847737,32.1,8.3489116834,19.5,26.4,4.0,1.0,35405,,100.0,0.9681881051,0.4426002766,10.373443983,85.532503458,729,46.077640825,,,49.575070822,,,13.636363636,1.2998266898,6.0,16.546951819,
8011,Colorado,Bent,,3.9913644737,3.6206914649,,21.907665505,40.3,12.655470281,22.5,30.4,1.0,5.0,36630,,37.959686106,7.2212692967,1.5265866209,31.492281304,57.461406518,2296,,,,50.218340611,,,17.066666667,3.6305956997,5.9,19.432031281,
8013,Colorado,Boulder,,3.0825459224,3.0107299016,87.373134328,82.579291045,10.9,2.8422249291,8.7,24.8,392.0,1897.0,72392,,8.9130825924,0.9327680573,4.6253272046,13.913242238,78.044099044,81472,6.4630766305,15.168342079,,12.665599068,8.5,,20.208264189,2.3649670767,8.0,12.538173553,6.2
8014,Colorado,Broomfield,,2.709749183,3.0201396208,,86.012201886,5.8,1.2809184864,11.8,25.3,65.0,63.0,86548,,0.5832990392,1.2664258818,6.1769000231,12.395297011,77.626988396,18030,5.0847211394,12.320944534,,14.388489209,9.3,,13.945037474,2.2029290538,8.5,12.463013824,9.5
8015,Colorado,Chaffee,,2.8976059642,3.2570491685,77.5,59.408418658,17.5,1.8575576761,16.1,26.5,18.0,26.0,50947,,37.413667247,1.6722049523,0.8253832136,10.408403902,84.955515061,4395,10.999890001,,,25.034770515,14.2,,12.771392082,0.7975844585,4.6,13.990865332,
8017,Colorado,Cheyenne,,2.9760112663,3.1571554866,,62.127659574,17.3,11.5543296,22.7,26.4,1.0,,50620,,100.0,0.437397485,0.8201202843,12.793876435,84.308365227,470,76.810814963,,,,,,7.1428571429,0.6989247312,6.3,13.727512464,
