FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
31001,Nebraska,Adams,,2.8853508282,2.8243800126,90.691977077,69.231877792,16.3,7.731762478,24.8,27.7,27.0,99.0,48579,,22.484376993,0.8864406243,1.503783202,9.076518821,87.073796182,6939,14.092638642,,,31.980617807,8.9,,10.731319555,2.123315639,8.7,16.014802092,
31003,Nebraska,Antelope,,2.92277925,2.7424873811,,74.077046549,16.7,15.747029893,25.9,28.2,3.0,3.0,48546,,100.0,0.3118178983,0.561272217,2.6816339258,95.806049267,1246,,,,16.974169742,,,11.383537653,1.3010540184,8.2,15.025912839,
31005,Nebraska,Arthur,,2.9071182618,2.9155522338,,80.434782609,18.0,36.384976762,28.4,27.4,0.0,0.0,50753,,100.0,0.2192982456,0.2192982456,5.0438596491,93.201754386,92,,,,,,,8.0,0.0,6.4,15.112505651,
31007,Nebraska,Banner,,2.8826162283,2.841959947,,70.344827586,21.1,43.61111144,29.7,27.9,0.0,0.0,54115,,100.0,0.8883248731,0.0,3.9340101523,94.416243655,145,,,,,,,13.636363636,0.3870967742,6.1,14.283056114,
31009,Nebraska,Blaine,,2.9994894055,2.922219625,,68.852459016,27.3,42.48608555,25.4,27.8,0.0,0.0,44824,,100.0,0.205338809,0.0,0.205338809,98.357289528,122,,,,,,,8.0,0.3944773176,6.6,15.227204766,
31011,Nebraska,Boone,,2.6649372159,2.724228622,91.179775281,67.996011964,12.7,8.8817550168,25.0,27.5,8.0,1.0,54070,,100.0,0.3198494826,0.3198494826,2.10724365,96.61335842,1003,,,,16.961651917,,,9.8214285714,0.5141388175,8.3,14.22620519,
31013,Nebraska,Box Butte,,3.164696598,2.9932836516,87.820512821,61.784511785,15.7,11.574649362,26.6,30.3,4.0,16.0,54652,,24.955783516,0.7056540531,0.5557025668,12.207815119,82.129311105,2376,15.125351349,,,42.823156225,,,15.12345679,0.0471209123,6.6,18.145637615,
31015,Nebraska,Boyd,,3.1593240705,2.940513458,,69.565217391,19.8,40.196468458,30.1,27.4,3.0,,42539,,100.0,0.149551346,0.9471585244,1.8943170489,95.762711864,345,,,,,,,12.765957447,0.0,7.3,15.033788839,
31017,Nebraska,Brown,,3.0939948063,2.9994780817,,62.852664577,19.5,5.580770313,29.0,27.3,1.0,1.0,46856,,100.0,0.339443313,0.2036659878,1.6293279022,96.164290563,638,,,,17.543859649,,,11.003236246,0.0,6.5,16.604388102,
31019,Nebraska,Buffalo,,2.907067196,2.8284366777,88.99796334,73.496841933,12.0,10.899565879,22.6,28.8,45.0,156.0,55813,,32.261073272,1.0478275996,1.7354644619,8.8635572928,87.092483065,12191,11.473256744,7.5872534143,,23.044224029,8.8,,11.776334369,1.0010749798,8.4,14.63469966,4.39
31021,Nebraska,Burt,,2.8456236741,2.9133223285,,68.408163265,16.6,14.579991732,29.2,26.6,3.0,1.0,49792,,100.0,0.4403948368,0.3189066059,2.9460895976,93.530751708,1225,,,,22.512708787,,,10.0,0.2541296061,9.6,15.33916065,
31023,Nebraska,Butler,,2.9408030468,2.8201231771,,64.087061669,10.4,4.5799392858,23.5,28.9,7.0,1.0,55542,,65.705777248,0.4066543438,0.5175600739,3.0314232902,95.009242144,1654,,,,12.651555087,,,10.632183908,1.2221793387,9.2,15.582721306,
31025,Nebraska,Cass,,2.6365840216,2.5993696153,93.401785714,74.578651685,9.8,5.8146716705,23.7,30.3,9.0,9.0,66519,,72.956697437,0.5409219191,0.4782063343,3.0809031044,94.249764817,5696,23.718495344,,,19.717831039,11.8,,11.391752577,0.3142809252,10.2,16.114446978,
31027,Nebraska,Cedar,,2.5030758709,2.5602674,,75.188442211,12.4,13.370000701,27.1,28.1,1.0,1.0,56092,,100.0,0.1517982251,0.1401214386,1.9033162074,96.777206913,1592,24.563184699,,,9.8085007006,,,10.481586402,0.1591966691,8.8,12.889704284,
31029,Nebraska,Chase,,3.0190058009,2.7525680947,,73.703256936,11.0,10.72737886,23.0,27.4,2.0,,55319,,100.0,0.2527805865,0.1263902932,13.043478261,85.793731041,829,,,,37.086092715,,,9.4395280236,3.5422343324,7.1,13.888790655,0.0
31031,Nebraska,Cherry,,2.9022622627,2.7612367078,,69.351389879,18.0,13.249030544,29.4,26.9,4.0,1.0,54564,,52.511815158,0.2393980848,0.3077975376,2.889876881,89.107387141,1403,,,,36.155202822,,,8.7786259542,2.5835024912,6.3,15.64245561,
31033,Nebraska,Cheyenne,,3.1517131693,2.9520928451,90.840909091,75.92666401,11.1,4.8454079572,23.3,28.4,6.0,9.0,57255,,36.25725145,0.4721156683,1.1606176847,6.422740238,90.223271368,2509,,,,27.777777778,,,8.0590238365,0.5306728932,6.6,15.344752813,
