FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
25001,Massachusetts,Barnstable,,3.023806545,3.8689856894,89.300328484,67.631079228,12.0,9.7177261426,17.1,29.651999454,214,1004,67374,,7.483046765,2.7674587915,1.4523325057,2.8500625362,90.614907876,37916,8.1695385141,32.943655472,,10.695481986,3.2590396448,,19.29108827,0.6840561187,7.4,12.695592805,13.31
25003,Massachusetts,Berkshire,,3.7462758609,4.4947917415,87.837481698,63.896976484,14.9,5.9717446074,21.9,30.713811365,144,969,56011,,31.593747857,2.9636809216,1.4901144969,4.3332308929,89.034144189,26790,9.8372542344,26.600877307,,15.070571165,4.6652888514,,16.597435434,1.3166348148,7.9,15.198997242,11.28
25005,Massachusetts,Bristol,,3.6274395261,4.6891813977,86.756003921,61.981511864,14.7,4.5020999062,26.7,35.989893607,305,2388,65154,,9.8343015038,4.1089045071,2.3283971314,7.5577979811,84.050300542,138359,8.8363895959,35.643896507,,17.274411885,3.4617648077,,18.078199052,4.134753015,8.2,18.115317915,11.82
25007,Massachusetts,Dukes,,3.3436333917,3.9540202385,91.511299435,68.330773169,12.1,1.3729309494,19.4,29.033290736,12,90,66528,,39.026307832,4.0009277514,0.8871622405,3.7226023426,87.405775252,3906,,26.974432092,,4.1972717733,,,29.023972603,2.4560763572,6.8,13.414221672,
25009,Massachusetts,Essex,,3.3375680273,3.8618262902,87.439924042,67.491353221,14.2,4.413227733,22.4,34.227013073,607,3818,73503,,4.2440446795,3.2217484063,3.8232749436,20.021745326,71.631592595,185040,4.9864942864,30.376670717,,15.674158255,2.9669574632,,18.834416773,5.8745957357,9.4,13.702370724,10.24
25011,Massachusetts,Franklin,,3.6936612267,4.4626089435,84.482758621,69.960116026,15.2,5.6828649041,18.6,32.788303676,56,504,56544,,54.431709914,1.1878036998,1.7092438408,3.847574664,91.1511466,16548,6.8331132669,23.130118719,,17.065619573,4.5120499935,,15.81112208,1.1758449539,8.1,16.053088843,10.21
25013,Massachusetts,Hampden,,4.1947053168,4.507349819,79.153501056,59.790776093,26.7,4.9328121643,24.9,34.249740953,330,3640,51589,,8.5708429524,7.6921106503,2.606800479,24.572061639,63.514185631,112989,7.8033363394,22.596172294,,27.296820527,5.554226339,,19.56845866,5.2103862998,8.8,18.293597848,16.8
25015,Massachusetts,Hampshire,,3.6631132265,4.3008339053,90.934159061,77.911499005,10.8,9.9802933774,17.7,29.566199972,225,1255,64425,,27.443699393,2.7222277154,5.5964799525,5.5865921788,84.015177733,32655,4.3775796451,16.320729185,,2.8222817721,2.6137673349,,18.162484049,0.8831998763,8.5,13.770801513,3.85
25017,Massachusetts,Middlesex,,3.0141507343,3.4830915703,90.87248141,80.095472786,8.6,2.9933657061,20.3,30.86640618,2011,7859,94977,,3.0277063506,5.0694627035,11.909491538,7.868476903,73.175369581,445572,3.877860832,21.368836229,,7.1559896581,1.8506122017,,17.014097052,4.0211510084,9.6,11.263552771,6.48
25019,Massachusetts,Nantucket,,3.3195105505,3.8851026855,87.5,67.445434983,7.1,1.1506619503,19.4,32.269417839,6,36,82324,,18.895005899,9.4749273256,1.4625726744,12.963299419,74.45494186,3253,,,,11.435832274,,,21.231155779,2.9568302779,6.5,14.686849968,
25021,Massachusetts,Norfolk,,2.8995089132,3.6630453974,93.039646134,82.043427284,6.0,3.4768689156,19.8,30.842323463,881,3699,92606,,1.240366699,6.6588160033,10.996570475,4.3615646439,76.199007144,173992,4.9152422704,24.503010849,,4.0093745763,2.3154144375,,16.163139074,3.1932315662,9.5,11.741463947,6.53
25023,Massachusetts,Plymouth,,3.6108412222,4.2474288647,90.239704495,68.232550391,10.6,5.8246572615,23.6,36.880124844,325,2355,81483,,10.307747328,9.8908609426,1.5030229864,3.7520080224,82.895251818,114057,7.6592441971,30.307384812,,11.049349241,3.2377103228,,16.638990369,2.2131227861,8.7,16.15538921,11.19
25025,Massachusetts,Suffolk,,3.6446083149,4.0512716068,70.358676208,72.758667713,28.2,0.2115041909,19.0,34.580632221,1166,5600,61367,,0.0740973625,20.676714739,8.8801754587,22.527319791,45.84037846,271323,4.2782862397,24.811073122,,15.119091924,5.4575830897,,25.023225407,10.526620626,10.0,14.22831888,7.58
25027,Massachusetts,Worcester,,3.4980186985,3.8687539697,88.433316195,67.80064191,11.7,5.020361978,22.1,34.478672871,843,3619,69064,,18.390286418,4.4654088818,4.9340584122,11.044804164,77.737500137,202209,6.6877533825,24.224855599,,14.766956609,3.909231096,,16.663614723,3.0995670545,9.0,15.862749396,11.18
