FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
34001,New_Jersey,Atlantic,,4.0158231394,3.7076924099,89.089677787,57.028525784,22.5,8.453772752,26.1,38.071082272,218,368,55672,,12.71357754,14.634434354,8.4718680694,18.783280626,56.267182305,65099,11.194476697,27.303121941,,23.268645658,8.9669556748,,26.219542332,5.9149729904,8.8,18.576637899,14.79
34003,New_Jersey,Bergen,,3.0962277771,3.2439617478,94.516785446,76.780526981,7.8,0.9453630798,21.6,38.425412262,1133,1985,93205,,0.101533947,5.4554592392,16.741397283,19.396561362,57.099018156,234088,4.3266196044,10.493631077,,4.6873912654,2.0621014747,,22.91834242,6.474344783,10.0,12.65170177,9.84
34005,New_Jersey,Burlington,,3.3814492202,3.3407130114,92.577438031,71.419043155,8.3,5.6468673029,22.4,37.390008786,375,1997,80081,,6.6631902196,16.55456237,5.2229770034,7.8558328362,67.921403834,110948,8.8896903721,20.456081682,,11.68281866,5.196752607,,16.062160439,1.6760758452,10.5,13.737448604,11.41
34007,New_Jersey,Camden,,4.037270517,4.2122379834,86.964349232,64.681718756,16.2,4.6253999374,26.4,40.845086933,527,1307,65838,,1.6174217425,18.602959914,5.9449181613,16.385572871,57.25198471,134865,7.8094450776,31.002975633,,26.732306389,10.787553977,,21.806861907,4.6387439144,10.6,16.699556043,15.03
34009,New_Jersey,Cape May,,3.5928486177,3.8234907427,87.190891473,60.980867691,18.5,8.7852763999,22.8,33.613161821,55,88,59181,,17.454377217,4.2804193583,1.0526315789,7.6162236577,85.3065763,18555,10.140656876,25.658960777,,23.868778281,6.0834651417,,21.292914536,1.2116076636,8.3,14.862913022,15.08
34011,New_Jersey,Cumberland,,4.2308117832,4.0536646124,82.285554936,38.973903539,24.6,9.8591191757,29.3,40.316074793,67,129,48867,,23.027062168,18.837168475,1.5286384,30.196947925,46.828611741,43914,15.600054737,23.766700925,,43.632182517,7.798945736,,22.619047619,7.1531319472,9.2,17.150338198,21.17
34013,New_Jersey,Essex,,3.8554428554,3.6042686168,83.322528108,59.917340374,21.1,0.7060985568,25.1,44.13243905,655,1461,54879,,0.0145413913,38.991283878,5.5671000886,22.677729341,31.304758104,220422,5.9423973979,17.405340678,,24.466857676,13.863053199,,29.554087382,8.1379804411,10.0,15.234206616,17.48
34015,New_Jersey,Gloucester,,3.7806235169,4.2748116414,91.674175382,67.754217998,9.2,8.7485023325,24.5,37.363744716,164,275,79332,,8.3458208458,10.12178018,3.0499777649,6.0229877194,78.88790066,72487,8.9074671642,27.550413828,,12.021437243,4.6060424402,,16.297218365,1.352633473,10.3,16.21780067,11.63
34017,New_Jersey,Hudson,,3.9229950402,3.5975614658,82.789926495,69.519048046,23.0,0.1205798481,25.3,41.020368746,351,359,63157,,0.0,10.866054164,15.927538006,43.174976364,28.85618076,245222,3.8828566024,11.573078053,,24.463508167,3.4787636474,,28.992219717,14.148797189,10.2,15.645034913,14.22
34019,New_Jersey,Hunterdon,,2.7242816151,3.3810014682,95.913466889,76.870086717,4.4,2.1038296142,17.6,33.507568705,143,269,113336,,49.56953307,2.3308415413,4.0103949437,6.3749238025,85.906670089,24678,5.6438632018,14.352884265,,2.8725074318,4.924300789,,16.230031949,1.2254637954,10.1,13.148441442,17.42
34021,New_Jersey,Mercer,,3.738151574,3.7492133151,90.278612228,63.626591526,14.6,3.6523841735,22.1,36.568540433,396,1081,76988,,3.4825504143,19.735703716,11.051605965,17.088158955,50.293108513,95820,7.3465413836,14.722278578,,16.863406408,7.880497119,,19.749001711,6.4384098048,8.9,12.924836199,10.7
34023,New_Jersey,Middlesex,,3.2572650472,3.4602777604,90.180382421,72.52586014,11.2,3.7333727601,25.0,39.671851805,790,1335,82183,,0.6743157442,9.4222367703,24.766418222,20.741082319,43.707299124,232404,5.4746684328,15.551233559,,11.165906274,2.5682691546,,20.596782196,7.6967334367,9.6,12.347823802,9.91
34025,New_Jersey,Monmouth,,3.3049375619,3.4346561952,93.652365578,73.306399961,9.1,4.5826536675,20.0,37.050189272,709,1392,89968,,3.7294964942,6.9633743764,5.5925898704,10.800260767,75.24247179,142079,6.0849679495,20.330813657,,7.927757297,2.6090586516,,20.641338296,2.9956056614,9.5,14.126041872,10.13
34027,New_Jersey,Morris,,2.9249624665,3.3097125301,95.326765189,79.392349429,5.6,3.5283128772,18.8,33.312750981,515,1190,107019,,6.7693732784,3.1886570243,10.525999001,13.272862609,71.504926538,117403,4.5085054247,11.9519864,,4.0842407025,2.4448358854,,17.2159644,3.6695192342,9.3,11.986594974,6.6
34029,New_Jersey,Ocean,,3.7140523324,3.8352473326,90.718911027,65.395106266,18.4,9.0126330166,25.7,35.652158903,264,775,62276,,2.8983622025,3.0146988086,1.9812758546,9.1397931129,84.746758211,125017,8.7832205746,29.363192135,,12.330863682,3.8548094547,,20.884448854,2.0270925905,7.9,13.826365609,11.29
