FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
56001,Wyoming,Albany,,3.7709906118,3.7168351314,79.0,85.076465154,12.8,14.198408897,17.6,27.392400796,29,181,47355,,11.939722857,1.5736093685,3.2753032204,9.4259723965,83.134671685,9743,11.072548099,14.03225665,,12.285862606,9.5378892651,,23.445595855,0.5997545191,5.8,15.96570555,
56003,Wyoming,Big Horn,,3.5253154077,3.4215392018,73.53909465,65.92019544,14.0,5.3666440404,27.0,29.790596581,2,20,49725,,100.0,0.5331112037,0.4748021658,9.012911287,87.838400666,2456,38.474486606,,,23.231978135,,,10.652920962,0.79634932,6.4,16.050381977,
56005,Wyoming,Campbell,,3.121060542,3.1800371608,78.0,60.14186332,8.7,4.0973803568,26.4,34.976716655,19,86,79148,,29.072464396,0.5409503514,0.6618445587,8.6388131877,87.451591091,14662,20.886544291,15.033175485,,43.653458697,14.026807705,,9.529309847,1.341619366,7.9,16.91491422,
56007,Wyoming,Carbon,,3.6158045193,3.409991703,75.677966102,57.97703396,12.4,14.931462112,27.0,30.710214432,5,35,59103,,41.630468996,1.1845306697,0.9860417467,18.664361634,76.872839032,4093,23.611464274,38.272628692,,39.638386648,26.770348652,,11.12012987,2.0563802261,5.7,15.706603215,
56009,Wyoming,Converse,,3.2917686346,3.255217465,86.85828877,61.187214612,9.9,3.0124351719,28.1,28.326976914,8,27,71517,,55.360370129,0.6271580579,0.5637375802,8.1178211543,88.387005849,3285,20.318389158,,,41.708043694,19.761451055,,8.9160839161,0.1807909605,6.7,16.533018013,
56011,Wyoming,Crook,,2.9610669821,3.1866186355,92.5,59.416613824,8.8,6.3296799255,28.2,27.669604819,3,2,60953,,100.0,0.8172561629,0.2679528403,2.4517684887,94.332797428,1577,25.64658999,,,34.677990092,,,8.2352941176,0.0,6.5,14.951818512,
56013,Wyoming,Fremont,,3.937214272,3.7072667483,71.058091286,61.253117207,20.2,4.3491256511,26.3,30.456506561,35,86,49282,,51.424370062,0.4249291785,0.4771134635,6.8560210725,70.100889618,9624,29.570176365,23.090879103,,53.008091943,26.552850006,,14.323086985,0.254614895,7.5,17.850804051,19.46
56015,Wyoming,Goshen,,3.6863744056,3.5934639523,77.5,70.969877524,16.3,10.700927924,27.7,27.953642796,9,51,47715,,45.995924221,0.9335324869,0.5377147125,10.410754294,86.370425691,3021,15.903307888,,,28.440366972,16.287850744,,9.5903165736,1.1073851673,7.0,16.318559783,
56017,Wyoming,Hot Springs,,3.32767051,3.3928902528,,63.535911602,17.5,2.0946848989,28.3,31.378567466,4,12,46024,,31.483790524,0.7052789057,0.6197905535,4.4026501389,91.536653131,905,,,,19.101123596,,,12.387387387,0.0,5.9,15.114189341,
56019,Wyoming,Johnson,,3.2461277294,3.4304317556,82.5,61.214165261,10.4,6.3941906822,21.7,27.04903172,11,24,56323,,49.025557241,0.8484562809,0.907376856,4.572236625,91.244402545,1779,18.303437718,,,16.736401674,,,10.964332893,0.0123274162,6.1,15.406362873,
