FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
2013,Alaska,Aleutians East,92.482239572,3.4184644667,2.7264742276,82.352941176,41.979166667,11.5,34.937509649,22.2,35.907320984,,2.0,69375,59.359605911,100.0,10.178041543,41.75074184,13.709198813,9.9109792285,960,,,,,,,14.492753623,10.980876002,,17.427061964,
2016,Alaska,Aleutians West,81.367307967,2.9668666026,2.5698439729,93.333333333,53.060165975,7.6,8.5740477886,23.9,34.42104981,2.0,5.0,80290,30.13136289,100.0,6.4723234427,40.829429117,13.569321534,23.269130661,1928,,,,15.220700152,,,18.421052632,7.7645359336,,15.346800986,
2020,Alaska,Anchorage,79.021795895,3.4436568596,3.1303047194,80.132641292,71.357057835,12.2,5.1138388211,17.5,29.739269905,323.0,1036.0,78579,60.108289628,4.1171794151,5.3849760154,9.8258571254,9.1549008683,58.005272527,89893,7.5692865181,20.420917752,,26.295520365,21.1,,16.272878536,2.5445329471,,14.928456089,7.299371947
2050,Alaska,Bethel,71.946400094,5.6842453128,4.8572958368,54.827586207,33.786114705,35.5,41.987598721,27.5,35.17538821,20.0,362.0,45582,63.240495137,73.937577147,0.8242974109,0.8630227927,2.3733126798,9.8417791547,4638,12.822773245,,,68.498378172,30.1,,59.576837416,2.737680438,,33.382314172,15.403830142
2060,Alaska,Bristol Bay,,3.7451943119,3.5111467078,83.333333333,62.5,19.1,17.663233061,24.3,31.39145517,0.0,0.0,70094,57.262569832,100.0,0.5767012687,1.384083045,5.4209919262,43.829296424,224,,,,45.871559633,,,16.0,0.0,,20.041734008,
2068,Alaska,Denali,81.204038233,3.2327847277,2.9594226823,45.098039216,73.913043478,9.0,22.933714962,15.2,29.999092181,0.0,,73220,78.613569322,100.0,1.7839922854,4.5805207329,3.8090646095,80.568948891,598,,,,,,,26.470588235,0.6300630063,,17.614421683,
2070,Alaska,Dillingham,72.919773003,5.0405341547,4.4867050753,64.772727273,46.756329114,31.4,32.197569737,24.1,34.9436369,13.0,34.0,52641,61.992882562,100.0,0.6690997567,0.8515815085,3.304947283,15.389294404,1264,,,,50.455501051,,,38.518518519,0.935828877,,31.617930804,17.5
2090,Alaska,Fairbanks North Star,79.377411244,3.5081406922,2.963951082,69.620253165,72.833662064,9.0,7.276819878,16.7,30.208488309,77.0,521.0,74241,58.979008682,30.870763776,4.8333550645,3.3950833977,8.0970482333,69.908628627,30420,11.29869164,12.669242746,,27.902878402,23.0,,23.229342327,0.8264552445,,18.447492496,7.7561257959
2100,Alaska,Haines,85.119267884,3.4065430624,3.2420180622,86.956521739,70.903010033,19.6,7.4409816943,19.7,29.510017669,8.0,8.0,53413,70.745170193,100.0,0.5542359462,1.0292953286,3.5233570863,77.75138559,598,,,,,,,22.127659574,0.8431703204,,17.0535122,
2105,Alaska,Hoonah-Angoon,80.22684914,4.10577138,3.7768453624,72.727272727,45.560747664,32.2,38.767963566,21.6,30.84262071,,6.0,50573,73.566084788,,0.9324009324,1.4918414918,5.5477855478,46.34032634,428,,,,,,,19.662921348,0.0,,21.596854121,
2110,Alaska,Juneau,79.521040099,3.1862286759,3.1555540673,77.297297297,76.633879781,10.7,5.9062833294,14.7,31.181138688,39.0,194.0,90436,65.452619571,21.544364508,1.1871377828,6.7645042687,6.6336386864,64.719262167,9150,,28.771655809,,17.046248428,15.4,,14.156004953,1.1702999508,,18.040837953,
