FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
13001,Georgia,Appling,74.553535311,4.3156232967,4.1676433723,82.683982684,38.746241036,33.5,6.7730413641,27.2,36.04084231,8.0,7.0,40862,71.859146523,71.441105506,18.595108255,0.7882943686,10.258625344,69.051347119,4323,23.225027289,,,66.978193146,10.8,,10.205580029,2.2987164527,10.6,20.200401211,24.211502783
13003,Georgia,Atkinson,73.462140342,4.8631776536,4.4399411888,87.037037037,35.566037736,36.5,12.267062994,28.2,38.392034023,,,34821,74.074074074,100.0,16.099256773,0.9110525054,24.814193239,56.808918725,2120,36.068220463,,,78.017664377,,,15.884476534,7.0495408097,10.4,23.552668782,
13005,Georgia,Bacon,72.577063482,4.3312008624,4.0207623553,84.671532847,42.101740295,42.7,5.4763518652,28.9,36.434163209,5.0,1.0,38417,70.719478566,69.286229272,16.043820125,0.6007597844,8.905380334,72.877462673,2988,31.690497921,,,47.545419405,,,10.126582278,2.8791334094,10.4,19.999158482,
13007,Georgia,Baker,76.226225682,3.903933324,3.7861305052,90.0,49.513212796,40.0,30.546437141,27.4,37.56049167,,1.0,37286,69.341408024,100.0,44.59375,1.09375,5.6875,47.3125,719,,,,36.474164134,,,11.627906977,0.9282970551,10.8,18.219631253,
13009,Georgia,Baldwin,75.244220557,4.7027278202,4.2507282802,88.813559322,52.376672658,32.5,9.319845124,23.9,38.61825744,26.0,60.0,40358,55.137783221,35.139982502,42.199260678,1.7191466619,2.2803188883,52.373847593,10014,15.711363401,,,17.80926848,23.3,,20.025031289,0.671776167,11.4,24.107592829,8.1282051282
13011,Georgia,Banks,76.073007594,4.1198983089,3.9798975804,90.434782609,44.464325654,19.4,1.4446703779,27.8,34.255782053,3.0,,49481,74.217907228,93.829845067,2.5115380487,1.2021036814,6.6437694537,88.086293871,4471,27.173280125,19.810539207,,31.679764244,11.9,,14.569031274,1.9629225736,10.4,19.476914701,
13013,Georgia,Barrow,76.658556198,3.9647396049,3.8077804705,84.254807692,56.075706318,15.7,5.1055513539,30.5,36.036047252,16.0,13.0,60028,72.921750447,30.06184497,11.634054717,3.7958032405,10.971275344,71.546021426,21874,14.719240177,16.842505301,,28.777874673,12.5,,15.237691002,2.7096848269,11.1,18.116681998,10.220704151
13015,Georgia,Bartow,76.950969462,3.9116058482,3.8248911928,84.914463453,53.35004054,19.3,14.105431701,29.8,35.555309028,48.0,108.0,55067,65.44450431,35.227692523,10.785881547,1.0670702686,8.6222323757,77.525843852,27134,16.347654531,21.501373521,,35.825878526,14.2,,15.938986846,1.902349532,11.2,19.220993735,8.1413750659
13017,Georgia,Ben Hill,73.326789927,4.9378742057,4.4235043134,79.279279279,49.796796557,38.8,13.377035904,30.2,39.315914399,8.0,5.0,32370,60.698003459,34.00249518,35.526006119,0.8649093904,6.1543892681,56.030830784,4183,13.95364108,,,61.687413555,18.5,,19.875292284,0.788917878,10.7,23.262924782,24.977698483
13019,Georgia,Berrien,74.739188982,4.3910586153,4.3062363509,82.0,42.67407091,29.6,9.9191604048,30.4,34.876655175,3.0,5.0,38239,69.29558011,76.143316395,10.559783175,1.1362451788,4.9723756906,81.945168352,4682,11.252559957,,,56.908417152,20.0,,14.870689655,0.8546531114,10.8,21.642741809,
13021,Georgia,Bibb,74.065883188,4.4179393011,4.0958538201,78.152309613,58.972366819,36.7,10.866359674,29.8,40.202572805,195.0,257.0,39047,52.748652279,14.410435431,54.710130706,2.1509596891,3.2833536131,38.297941935,38613,15.820676792,11.320516477,,44.573234984,19.5,,22.185256523,0.8748943069,11.3,21.309159042,8.7278438411
13023,Georgia,Bleckley,74.699605423,4.1433729125,4.0132547,90.960451977,49.105145414,29.4,3.0866772041,29.4,35.81979265,4.0,1.0,44262,71.672683514,51.588455944,26.344505066,1.1067809821,2.8604832424,68.495713172,2682,18.928428272,,,23.378264532,20.4,,13.244228433,0.3223140496,11.0,18.935338584,
13025,Georgia,Brantley,74.825564041,4.4515201504,4.3535305504,82.470119522,33.112733911,27.8,2.3657703384,27.3,35.67417755,3.0,,40906,78.281766296,99.44598338,3.2993433346,0.288292136,2.2476109124,92.061288773,4382,29.410854153,28.807547577,,55.992375506,10.8,,10.106382979,0.3930863056,9.5,22.75139645,
13027,Georgia,Brooks,75.326407846,4.2611469243,4.0436282418,69.117647059,50.280741157,37.6,3.6598132906,28.6,38.097608773,4.0,3.0,36030,73.552154016,71.039832543,34.605761211,0.9302623982,5.7997048823,56.996214794,3562,14.657652211,,,46.439628483,14.1,,22.509505703,1.8036343911,10.7,20.02407498,
13029,Georgia,Bryan,76.091081889,3.6192932764,3.6582530039,85.294117647,69.74789916,12.9,6.287951528,30.9,34.6367368,30.0,24.0,73877,68.85815947,52.343465749,14.263356719,2.1073934161,7.2396114409,73.364813815,10115,17.567267997,11.989633578,,23.478795329,16.5,,14.160839161,0.9895496162,10.3,18.311661059,10.951697752
13031,Georgia,Bulloch,76.545523935,4.5216555962,4.3775448253,82.5,70.747458864,26.3,2.8553609595,24.0,38.222645427,40.0,64.0,42068,53.157855212,48.283179287,29.183574308,1.4891856755,3.8240817345,63.585864555,17807,15.417702645,4.9212158087,,17.369987743,11.7,,23.517030233,0.6449666743,10.6,21.886220222,3.2981530343
13033,Georgia,Burke,74.048892914,4.6565581843,4.2412201568,92.156862745,52.916823485,34.7,4.8235494991,30.1,38.922167751,8.0,12.0,41863,69.248884482,74.9957111,47.247136134,0.5683331853,3.0725512832,47.438060563,5314,30.583711989,16.187182694,,44.465468307,25.5,,15.987654321,0.727705113,11.0,21.97771306,14.481094127
13035,Georgia,Butts,74.710137512,4.1074279614,3.8211387768,84.397163121,34.589502019,25.2,2.6271561848,27.0,37.6994803,6.0,12.0,46062,69.886998634,77.941238639,28.272164263,0.6400931045,3.2669687019,66.336921734,6687,17.551717042,22.387328772,,47.916202362,13.5,,16.398713826,0.6136630268,11.3,19.406012488,
13037,Georgia,Calhoun,75.086006728,4.9540517874,4.2374995444,89.130434783,33.786231884,40.2,5.6939015069,26.7,43.46696007,1.0,1.0,33889,67.399463807,100.0,60.0,0.805577072,5.0038729667,32.842757552,2208,,,,55.088702148,,,17.438692098,0.574071121,10.6,25.69551582,
