FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
21001,Kentucky,Adair,76.445386568,4.948147561,4.6737809882,97.311827957,48.716153128,33.5,5.2635308499,36.0,36.409111431,7.0,36.0,35026,76.045627376,75.455617496,2.9509879394,0.4054400821,1.909160893,93.174236592,4284,24.795437639,,,26.218683239,11.5,,11.560283688,0.3008423586,10.4,23.260391163,
21003,Kentucky,Allen,74.320686077,4.6442806227,4.5106687243,91.555555556,47.593261131,30.2,0.4939387915,35.3,38.701942065,3.0,14.0,40955,71.927319922,78.698135899,1.1178521951,0.2675201834,1.9586299145,95.160750967,4986,20.942554573,19.291363899,,39.316639363,14.6,,12.926045016,1.1091621956,10.6,22.44159831,11.459353575
21005,Kentucky,Anderson,75.016621584,4.2423094189,4.0452519082,98.876404494,58.395989975,14.1,5.9758868164,31.9,35.098162148,7.0,17.0,53113,76.396145362,41.697399748,1.9783534422,0.5455997161,1.8097941803,93.896380412,5586,13.658358916,40.491294372,,37.232960326,13.6,,9.7690941385,0.2276029056,10.9,19.033368844,
21007,Kentucky,Ballard,75.134173846,4.6602949801,4.4422992963,92.173913043,59.73524545,23.7,1.6672695833,34.9,37.488328176,,1.0,44010,78.511627907,100.0,3.3959447692,0.4104988183,1.3558900361,92.337355392,1813,33.064754712,,,42.22972973,34.2,,10.334346505,0.0129349373,11.1,20.300450262,
21009,Kentucky,Barren,75.975568523,4.6766699739,4.6177099384,95.343137255,51.064649774,32.8,3.6929609844,32.6,39.982899051,37.0,67.0,41477,66.207833639,63.275081213,4.0455697359,0.8561448369,3.1848587932,90.34268624,10379,20.830646841,16.747358485,,48.068576389,14.7,,13.869257951,0.4697953562,10.8,23.322344202,9.8748882931
21011,Kentucky,Bath,73.266711853,5.2876644009,4.7367714275,91.447368421,46.913580247,34.0,0.0617440532,34.6,39.59638796,1.0,33.0,40507,73.142603682,100.0,1.3491678785,0.226207788,1.6076910648,95.2900307,2835,30.716884835,29.783662307,,53.864168618,26.2,,17.811408615,0.2110817942,10.0,24.528404022,
21013,Kentucky,Bell,71.186342532,6.3672367605,5.474542088,96.214511041,42.244958482,45.5,11.856749498,39.6,40.320129594,11.0,5.0,28150,64.964295399,62.479523195,2.4429240723,0.3755484495,1.0671525247,94.177139883,6744,19.080131395,55.317893495,,64.801178203,24.1,,19.026149684,0.1743172574,9.7,29.847046851,13.47792409
21015,Kentucky,Boone,78.349919797,3.7945024475,3.8224514263,95.615866388,74.95191467,8.7,6.177190637,22.5,37.931945216,81.0,122.0,78163,73.511226814,13.272340103,3.273973441,2.6222385411,4.298237562,87.758552108,34314,8.9479478618,36.953196064,,20.913076762,9.1,,12.055468575,1.4043693357,12.0,17.354910258,5.7047992756
21017,Kentucky,Bourbon,76.416513215,4.6807691538,4.4345504309,93.115942029,56.918442006,23.0,7.7161122947,31.4,38.299776586,14.0,23.0,46281,62.333661902,44.748561421,5.7017324879,0.4643267262,6.6353787009,85.176494084,4647,18.555391412,24.927295388,,32.814371257,,,13.668150032,2.5710491368,10.5,20.820374091,9.7067745197
21019,Kentucky,Boyd,74.357729984,4.7469756127,4.4937235475,93.581780538,65.18004625,28.5,9.4672465414,28.7,39.394765921,47.0,289.0,40752,69.878131701,25.317912075,2.9971445841,0.5856728986,1.8508097293,92.957335501,12108,10.270435232,54.695505276,,45.639597172,14.9,,13.077121486,0.0416000701,10.4,22.453963309,8.5274930103
21021,Kentucky,Boyle,77.16111061,4.6699779218,4.3800040435,96.815286624,58.99864682,19.5,12.471479234,28.1,39.158189113,27.0,69.0,48290,66.51954023,34.819921216,7.5959096377,0.9457291806,3.3986098115,85.747226307,6651,14.099709254,37.882586266,,33.606774279,15.5,,12.856496152,0.8433137269,10.5,20.526828347,
21023,Kentucky,Bracken,72.438750429,4.6313968463,4.4225276741,94.444444444,51.317122594,20.7,0.2217718029,31.0,37.220325711,3.0,3.0,49416,72.424861395,100.0,0.5443328898,0.0725777186,1.6571912423,96.213862344,1974,28.903208256,44.021130142,,35.834266517,,,12.102874433,0.1799254595,10.5,22.645222675,25.060827251
21025,Kentucky,Breathitt,70.426037115,6.0057642224,5.1627125403,85.95505618,50.283836271,44.5,8.9299232239,31.5,41.697552268,8.0,25.0,27372,73.08124298,81.503098429,0.5252587672,0.5870539163,0.9887223853,96.678510737,3347,50.985182431,25.180037266,,59.860448035,25.5,,13.193812557,0.1604621309,9.7,27.254681632,
21027,Kentucky,Breckinridge,75.05629696,4.6114764073,4.3303625591,94.186046512,41.058987459,25.5,4.0207666581,27.1,38.09536925,5.0,20.0,43148,78.090263828,100.0,2.0038784745,0.338123415,1.377355676,94.490577296,4306,34.913962022,,,32.928176796,24.0,,12.474297464,0.8894536213,11.8,22.491224734,
21029,Kentucky,Bullitt,77.644415231,4.1217169591,4.1485639191,91.291291291,57.1372298,12.2,9.0660911077,25.2,40.158465188,14.0,72.0,62550,81.619218308,30.413487803,1.1153203898,0.5769757994,1.9801610049,94.565461207,20309,13.97282286,30.239522216,,26.026770392,14.8,,11.144525031,0.3007680327,12.4,20.022477767,8.2012578616
21031,Kentucky,Butler,74.386211915,4.9778941167,4.6382990113,93.023255814,42.976485149,23.0,4.288699898,34.3,37.554735058,1.0,9.0,47146,72.826086957,100.0,0.4676174889,0.296157743,3.2109734237,94.93414387,3232,41.134420616,31.076811519,,46.389673255,20.2,,12.367149758,1.5265265265,11.1,23.177577979,
21033,Kentucky,Caldwell,76.203630266,4.6051894851,4.404969287,94.326241135,62.43902439,24.6,4.293119113,26.5,38.49539127,7.0,3.0,42857,72.89508382,54.636475662,5.5542368858,0.3243927526,1.6298757813,90.774586597,3075,23.50465616,,,54.321966693,20.5,,10.009442871,0.0,10.9,21.077786225,
21035,Kentucky,Calloway,77.530794576,4.541803792,4.4043993326,96.19047619,64.083597511,20.6,4.7756973389,19.5,37.555662582,20.0,27.0,43554,63.583384157,48.718776048,3.7693671472,2.2970785478,2.6388139469,89.619466071,8517,17.988509839,12.100363875,,18.441497293,16.2,,17.35760027,0.5238601948,10.7,21.056059362,
21037,Kentucky,Campbell,77.043593591,4.0885963129,4.2024730259,97.690531178,70.73511868,11.7,7.675752511,22.2,34.423073404,57.0,138.0,61384,68.790075272,15.296227418,2.9009168757,1.1223077588,2.0121529279,92.243318052,24309,9.1981404166,67.205029538,,26.863482167,7.8,,12.529950669,0.2405820234,11.7,18.898532113,5.157856094
