FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
36001,New_York,Albany,80.116296374,3.3016227846,3.7922725925,84.406104844,76.604722984,13.2,4.779734781,21.7,33.831885887,325,1035,65659,56.848200613,9.6961249688,12.657455137,7.0003746625,5.9626241877,71.942301978,75122,5.343928252,12.609946338,,12.027287205,4.3,,15.52855407,1.8195224863,9.1,15.148554099,4.0974639483
36003,New_York,Allegany,78.48667987,4.0092399707,4.3331262791,87.848605578,59.542064909,25.0,2.9916992658,29.2,35.835428795,19,90,46491,74.282719047,78.739835737,1.2624216318,1.3306606389,1.5822919777,94.400136478,9521,8.0738488037,7.0704856717,,15.30847905,12.6,,14.711512168,0.5807485203,8.5,20.913046565,6.1351157794
36005,New_York,Bronx,80.359789932,4.8556322572,4.29356554,67.511864407,50.688124468,39.3,0.000919861,30.9,39.8962651,837,2744,37377,19.714710229,0.0028156649,29.34935697,4.5208542919,56.158133718,9.2287718535,413152,4.0140677636,20.879332519,,28.71661208,4.4,,39.414312229,15.912338997,10.3,16.172936865,10.202720231
36007,New_York,Broome,78.542777191,3.973344473,4.0305174598,82.947845805,66.510187061,21.2,3.2406715699,22.9,35.331159097,168,373,47910,65.679197168,26.056829511,5.278378839,4.6684810395,4.2543082747,83.130980846,41965,7.2594543504,30.911637121,,16.954437386,6.0,,16.194869203,1.2174783189,8.9,19.910217799,3.3537496265
36009,New_York,Cattaraugus,77.761956154,4.4109154195,4.5792004185,85.014409222,55.056311591,23.4,2.5839365013,26.3,37.611782808,39,86,47875,71.295274722,61.752804512,1.4505869576,0.8403578632,2.0892589337,90.498784713,17048,10.55065314,21.893392059,,26.282051282,10.5,,15.078236131,0.817446092,9.3,23.391523833,8.9244320816
36011,New_York,Cayuga,79.50527294,3.6199655797,3.7392963573,83.070866142,60.276254972,19.7,1.6861754579,24.0,34.833329021,24,132,55460,70.812651139,55.781870892,3.9379920879,0.6146669588,2.9805548755,90.202698349,18606,10.701161892,24.384818098,,21.188419332,2.6,,12.221504682,0.5096483561,8.3,20.36139907,6.8702290076
36013,New_York,Chautauqua,77.461471004,4.293203947,4.0983210063,83.497698882,58.008628128,27.5,6.7504729865,26.8,37.726073401,73,192,45840,70.018685239,43.862718209,2.1449715605,0.700525394,7.5662941897,87.382793732,28975,9.2154007778,25.942069561,,26.590950063,7.9,,16.238677748,1.2273458142,9.6,23.687541527,7.4731252428
36015,New_York,Chemung,77.200768803,4.0994167007,4.1832517641,75.774336283,60.554699538,23.7,5.7984371079,27.4,36.545545277,66,236,50562,68.108123702,24.178768434,6.0532744252,1.6094533469,3.1195577218,86.236076534,20768,8.3200511602,24.329021047,,31.79508669,5.5,,13.834778899,0.2213200949,8.3,20.633339511,10.399087799
36017,New_York,Chenango,77.305242755,3.7623042381,3.9956941264,85.273972603,56.80608365,18.2,1.6152908549,23.6,31.906234593,18,92,48161,74.927600255,83.412247162,0.864968765,0.6079852914,2.2355472912,94.663936653,10520,13.361760964,12.389356166,,28.106095859,9.4,,13.976578411,0.4870656998,8.2,18.873450969,10.35639413
36019,New_York,Clinton,79.669144898,3.9243219396,4.0734343361,87.066974596,53.735837501,17.3,9.9285943145,26.0,37.601322264,55,187,56436,67.998737374,64.155951685,4.1269449247,1.5337120277,2.9883921956,89.673993579,19594,10.173189786,15.618321113,,14.699545128,7.6,,14.169278997,0.8012218958,6.7,20.687016047,3.9325842697
