FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
5001,Arkansas,Arkansas,74.104079317,4.7918783696,4.6816468788,82.278481013,54.739843193,24.4,17.82182264,38.2,36.1572473,10.0,106.92779999999999,43887,63.707367873,34.707397865,24.458326299,0.8329112499,3.2753672126,69.45804491,4209,27.206442486,,,56.30387931,19.78522044,29.444444444,9.694209499,99.9054205828,10.0,20.0832304,14.757103575
5003,Arkansas,Ashley,74.877804053,4.7899218165,4.8799598555,90.217391304,53.380217786,28.8,12.004846939,47.4,33.270379387,8.0,74.8279,41127,73.670246368,51.681691301,24.498653098,0.2544148459,5.5123216602,68.302903322,4408,26.132284374,,,44.782905206,20.466439912,36.19047619,12.290167866,98.5692068429,9.6,20.452066927,
5005,Arkansas,Baxter,77.062365179,4.410894575,4.6638369435,85.875706215,61.727600412,23.0,4.4191340205,29.8,31.74083172,31.0,273.91336,39686,75.824714208,65.84202539,0.3508013167,0.5237992263,2.5156779356,94.461664144,7768,16.322221489,20.961656293,,36.346976176,23.307080497,34.0,10.132890365,99.8683477644,9.7,16.242815884,
5007,Arkansas,Benton,79.857051954,3.8326523218,3.9625852472,90.446280992,61.882773715,12.1,5.3032876628,23.8,30.302485455,161.0,224.49818,68978,66.379739858,25.160048613,1.7893825566,4.0831523653,16.864875572,72.970712525,74932,9.4953424492,13.296554562,,28.120271986,10.238971387,20.283018868,11.106061467,96.6658492691,10.4,16.513156719,8.9567430025
5009,Arkansas,Boone,76.812035712,4.4465595267,4.6404371332,92.592592593,59.392393321,21.5,10.356405747,30.2,29.649116161,28.0,117.39594,44482,71.54001345,62.198195269,0.3628601921,0.6883671291,2.6120597652,93.601921025,8624,18.751961302,9.8069807872,,41.822462263,19.830316803,5.3846153846,11.891165603,99.9514285714,9.4,19.902994421,13.619402985
5011,Arkansas,Bradley,73.654388065,5.1837839541,4.861078714,90.163934426,46.542553191,29.8,5.1734806802,40.8,38.025598255,6.0,27.530509999999996,37729,62.508265374,49.59158846,27.23685418,0.4588418831,15.710746077,55.272093237,2632,30.90991049,,,42.963612451,,27.5,17.802197802,96.9705825054,9.8,21.76763047,
5013,Arkansas,Calhoun,73.695576481,4.8048741615,4.7398127023,91.666666667,53.210202287,21.1,32.550601099,37.1,35.63525329,2.0,,44969,83.574380165,100.0,21.224180406,0.2842524161,4.0742846314,72.238014023,1137,27.287363222,,,29.288702929,,0.0,12.019230769,100.0,9.7,20.624855656,
5015,Arkansas,Carroll,76.207376847,4.7391568775,4.5278291208,82.278481013,45.073848827,24.8,3.8132992535,33.5,34.326817751,16.0,77.95061000000001,45023,75.978854941,72.833928441,0.5491974631,1.5448393155,15.242887007,79.194274174,5755,24.655972139,19.090117285,,44.752544753,12.925370348,18.275862069,15.724137931,96.0539308773,9.4,18.372733646,
5017,Arkansas,Chicot,73.779280375,5.1812714982,4.990559468,86.554621849,47.481420314,44.1,33.39104809,35.6,37.483875288,11.0,593.98352,31787,64.275766017,54.279661017,53.41061506,0.7472695919,5.7865491473,38.915501054,2422,18.183235057,,,48.701298701,18.441338103,63.0,17.331812999,98.8796068796,10.0,23.103409519,
5019,Arkansas,Clark,75.638718913,4.8202560614,4.6832680925,84.293193717,62.012692656,26.4,21.455667302,38.3,33.236006879,10.0,253.84162,45408,62.680776014,54.377038487,24.110421105,0.6391369385,4.8819183174,68.437514165,4412,24.066016884,,,18.383628165,,,14.968696642,99.2027925846,10.1,19.33947371,
5021,Arkansas,Clay,73.195824757,4.8571488879,4.9261715864,93.081761006,49.955843391,29.3,4.306306956,31.9,32.407685638,2.0,67.35367,37687,69.461263779,58.857178387,0.747625783,0.195325655,2.1351114703,95.177476931,3397,35.849056604,,,55.030934549,16.018367728,22.0,13.013168087,99.8804500703,10.8,20.333190979,
5023,Arkansas,Cleburne,75.71160271,4.4408061284,4.5759302338,92.045454545,45.816812054,23.8,3.2608803105,34.3,30.658296193,14.0,88.12337,44902,74.57832448,75.521755872,0.3645103144,0.5007009814,2.419387142,94.700580813,5044,26.98569758,13.284270096,,38.253728118,20.573201032,,10.714285714,100.0,10.1,17.409398052,
5025,Arkansas,Cleveland,74.505046371,4.6537272138,4.6735157552,95.652173913,50.675675676,21.0,5.5162997873,32.9,33.301691389,1.0,,47600,75.394896719,100.0,11.46171115,0.1621351958,2.3946121227,84.297829883,1776,34.222549238,,,25.806451613,,,7.9341317365,99.5763255874,9.8,19.038559786,
5027,Arkansas,Columbia,75.559910047,5.1719808077,4.9571337364,90.650406504,56.908665105,27.6,7.2379852963,34.3,37.422757772,14.0,186.93971000000002,40909,68.745815666,57.486151841,35.344351447,1.066406084,2.8975655351,59.136678421,5124,22.056763379,,,27.483610691,17.630465444,12.380952381,9.9264705882,99.078525641,9.8,20.476424943,
5029,Arkansas,Conway,74.916093065,4.6835566534,4.6648802061,85.520361991,51.305057096,26.5,6.300562421,38.3,34.077686284,14.0,253.69776,44565,68.271386431,70.516617308,11.3110909,0.4643147767,4.0208702312,81.317313676,4904,27.819620296,,,45.242537313,14.306697442,7.2727272727,13.755980861,99.0848078096,10.2,19.000933819,
5031,Arkansas,Craighead,76.832532885,4.7798509163,4.9287783847,92.592592593,62.565095473,24.9,8.565899244,34.0,31.389580497,124.0,383.20529,45615,57.463235294,32.168223718,16.029219403,1.248180696,5.1806407635,75.597376518,29956,16.584361632,9.9530960349,,34.300894636,17.033195806,17.413793103,14.754098361,99.1028744635,10.8,20.762920838,4.5985970382
5033,Arkansas,Crawford,76.376156601,4.7092909036,4.7792006058,90.337601863,55.69579288,22.8,7.8368922521,31.0,34.107474445,25.0,50.46841,47363,76.714062698,51.961322399,1.4036526512,1.654417563,8.0449799703,83.816988928,15450,13.772365748,17.490949759,,40.011037528,15.060771816,13.698630137,13.821656051,98.798532298,10.3,19.004177141,11.656441718
5035,Arkansas,Crittenden,72.888538347,4.9128084939,4.8389930599,89.081225033,55.116828136,29.0,4.9532027225,37.8,36.322186929,17.0,213.06524,42606,57.960119428,20.887195002,53.661412436,0.672293244,2.6209093542,41.475321666,12283,21.183674062,19.818625407,,55.09140541,24.097566554,30.847457627,18.167072182,99.5140269494,10.1,23.311338002,9.3522422384
5037,Arkansas,Cross,72.67955455,4.8442034379,4.8444909307,92.09486166,48.18573966,27.6,6.4161126151,36.5,34.316685462,7.0,83.95299,41214,67.433522558,56.787912703,22.721276085,0.7555768769,2.0028783881,72.739266011,3941,25.765055935,,,48.064085447,18.804282675,39.444444444,12.900820283,99.9370277078,10.2,20.48800941,
5039,Arkansas,Dallas,74.645275664,4.5335801548,4.5443712804,86.956521739,49.907692308,34.2,18.307766575,44.6,36.294003811,3.0,236.70287,37259,67.919551599,52.63676688,41.214146477,0.2367028683,3.3695349485,53.06321359,1625,31.881176978,,,25.030525031,,,9.9378881988,99.3204983012,9.9,19.211906124,
5041,Arkansas,Desha,72.200352515,5.5866071277,5.1846780359,86.995515695,40.448157995,36.1,20.006678734,36.8,39.953250751,5.0,60.80612,36132,59.38172569,31.419126691,46.890201529,0.6341209173,6.4107018763,44.51876303,2633,34.347573758,,,48.928571429,18.524443846,20.0,15.119617225,97.2773834127,10.0,24.25184846,
5043,Arkansas,Drew,74.678673126,4.9864509893,4.8398505677,88.127853881,66.819941917,27.3,10.788221716,30.1,36.778302222,13.0,605.63073,42494,68.253063551,48.608784915,27.848101266,0.676560454,3.8738542121,66.117415976,4132,25.296273016,18.009581097,,32.627361191,21.522501776,39.444444444,15.856236786,99.9021864212,9.8,20.831699776,
5045,Arkansas,Faulkner,76.736489996,4.3027188613,4.6228021422,93.313298272,66.739759403,17.2,5.5647170659,30.2,35.051579557,61.0,138.61513,53882,62.626148089,38.760299195,12.001826835,1.3084306844,4.1384228322,79.98012916,32835,15.270923809,13.488468708,,24.62691347,15.334245775,16.717557252,15.431530495,99.325125558,10.6,20.535015324,4.3969245555
5047,Arkansas,Franklin,73.964128144,4.7663149256,4.8103070085,97.252747253,58.52073963,23.2,3.6394647708,37.0,32.613727898,5.0,5.61482,43696,72.470588235,82.604137931,0.887142055,1.0443571028,3.419427288,91.482313307,4002,24.8174715,26.253609871,,37.084398977,16.885616832,40.5,14.82300885,99.5828118481,9.8,21.150183953,
