FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
19001,Iowa,Adair,79.731910733,3.1776072173,3.5922847417,95.555555556,61.122112211,13.0,1.288695076,26.9,26.680199025,3,,54282,76.658163265,100.0,0.4813818491,0.3822738213,2.2228514795,95.879937704,1515,19.668004091,,,14.256619145,,,7.7399380805,99.940652819,8.7,15.583571389,
19003,Iowa,Adams,78.404216362,3.0939695904,3.4330614241,97.916666667,69.806451613,20.3,1.289802956,24.7,27.130893607,1,27.43484,51577,77.330895795,100.0,0.329218107,0.7407407407,1.4540466392,96.241426612,775,,,,23.80952381,,,7.1428571429,99.828522435,8.7,15.63671211,
19005,Iowa,Allamakee,79.701410662,3.249647615,3.5884545686,91.139240506,63.927927928,18.1,2.162304794,22.9,28.91731125,8,21.68884,53359,77.723686419,73.963712491,1.6700404858,0.4916136495,6.954887218,90.015905147,2775,18.38047585,,,25.06546951,,32.857142857,10.024855012,97.9692687823,8.9,16.187211296,
19007,Iowa,Appanoose,77.494255873,3.4517920598,3.7714682258,90.977443609,71.439480718,22.5,5.0909526829,41.1,28.940275565,11,112.56733999999999,44298,73.319793205,58.252502522,0.7075661333,0.6754040363,2.1629010211,94.886226582,2619,22.770484897,,,31.183255019,,40.833333333,12.523020258,99.6953541508,9.2,16.839793466,
19009,Iowa,Audubon,75.440839246,3.175190687,3.494764865,96.666666667,67.166979362,18.1,2.6467009649,29.4,27.328556614,4,,51210,77.698916698,100.0,0.3632401017,0.4722121322,1.5982564475,96.403922993,1066,37.395293179,,,18.775510204,,30.0,5.8161350844,99.7566909976,8.7,16.186632591,
19011,Iowa,Benton,79.931699597,2.9597959646,3.5092253213,91.570881226,69.778565102,9.0,2.9550015523,25.2,28.442408022,4,19.49926,62799,82.335680751,80.656542414,0.5966773263,0.3704859215,1.5014429452,96.314640044,5645,23.909211719,,,13.457742688,10.910139416,17.142857143,8.0256031512,99.6888999502,9.9,14.930812749,
19013,Iowa,Black Hawk,78.417547741,3.3554076954,3.4499558737,89.01734104,70.748915181,18.8,10.919016933,23.7,27.376421142,126,165.39786,52320,65.695786771,13.480814707,9.4767687753,2.4930517793,4.4506374237,80.782127968,32033,8.3990360491,11.056387577,,17.272987683,8.7308373174,38.048780488,14.846205123,98.2599548728,9.4,18.266057458,4.9506157786
19015,Iowa,Boone,79.406075916,3.2471573923,3.6681817876,93.959731544,68.28775637,9.8,4.478477985,25.0,29.040248296,13,72.11721,63099,76.846435101,50.634836159,1.1538753511,0.5275943217,2.7214757458,94.211645032,6436,13.513732655,,,16.857198217,9.8159138616,35.0,12.014618547,99.513137247,9.1,16.036672467,
19017,Iowa,Bremer,82.23970025,2.8714654012,3.3931775513,94.164456233,79.445559001,6.4,1.7076412195,21.8,26.815239269,13,136.28893,74646,81.982263954,64.48755973,1.1624644246,1.0863029623,1.6715436726,94.985368982,5483,8.0830475399,,,5.3542009885,8.0580826598,32.307692308,9.3097913323,99.5979813532,9.3,14.066598691,
19019,Iowa,Buchanan,78.946765503,2.8510243547,3.45390195,93.867924528,71.648216482,15.0,4.8972867353,30.5,28.359482632,6,103.77848,59724,78.324633358,68.537074148,0.4953063824,0.6085192698,1.6604556819,96.018680126,4878,11.532382251,,,14.419925716,,26.538461538,9.5815645846,99.8984307552,9.7,16.15845209,
