FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
26001,Michigan,Alcona,76.845122069,4.0042130063,4.3900287103,94.642857143,54.733932274,31.6,4.2644059573,21.7,31.339324059,6.0,57.90388,39862,87.819488818,98.921586547,0.4535803899,0.3763752171,1.5537541015,95.715112913,1447,,,,22.566995769,21.207681036,31.666666667,11.658291457,99.8009157874,7.5,16.050088064,
26003,Michigan,Alger,80.135048232,4.1241563031,4.1913962762,79.220779221,38.361845516,18.5,14.032856465,25.8,34.691406703,7.0,65.95581,47441,84.938590821,69.044891157,7.233153787,0.4506980323,1.5609541607,83.522040233,1929,16.834501546,,,16.227180527,,40.0,11.935953421,99.6843647841,6.4,17.608933881,
26005,Michigan,Allegan,79.133354588,3.8979333197,4.2424568477,87.049300957,57.594100814,13.6,0.8315203154,20.4,32.265225135,27.0,87.78882999999999,62247,82.311627907,64.467542726,1.3142754865,0.897491626,7.4254008029,88.209022646,27258,14.332647028,12.023290832,,21.386459096,9.6920355698,27.652173913,12.103575246,99.2608285381,11.0,16.273922329,7.5187969925
26007,Michigan,Alpena,77.992790879,4.0950827228,4.2942931524,79.885057471,67.164179104,22.6,2.2872271465,24.5,35.235210242,21.0,296.19182,42792,77.526146104,51.827826204,0.5042313117,0.5818053597,1.4210155148,95.599435825,5963,7.4389264141,17.538526296,,22.616247512,10.466308951,68.181818182,12.075769534,99.7136353624,7.5,17.356943389,5.9347181009
26009,Michigan,Antrim,80.485174326,3.9842749361,4.3224542969,92.653061224,58.528988979,18.7,0.0593319661,29.2,31.244003921,14.0,34.23925,56456,86.078531362,100.0,0.2867536914,0.2953135031,2.4438262358,94.560239675,4174,17.791629345,,,20.506912442,16.34802361,24.444444444,13.821138211,99.454611016,7.4,16.385554035,8.190091001
26011,Michigan,Arenac,76.704584873,4.3012537839,4.4415670009,90.131578947,50.283806344,24.1,12.237593147,30.6,34.344107508,5.0,199.45482,42540,82.49551167,100.0,0.4720430822,0.3191277176,2.0011967289,94.514992354,2995,17.792594535,,,27.07516922,21.102054813,30.0,11.818879509,99.7029360967,8.3,18.485783597,13.479623824
26013,Michigan,Baraga,75.413379091,4.2107187158,4.4080653411,86.666666667,39.317953862,21.0,5.4265981854,24.1,38.229603081,9.0,132.21153999999999,43435,80.961791831,100.0,7.9206730769,0.2524038462,1.5865384615,72.331730769,1994,,,,23.3672858,,38.333333333,13.682432432,99.9015384615,6.0,19.338342617,
26015,Michigan,Barry,79.459166737,3.7257957491,4.228558758,86.962750716,57.303370787,10.8,1.0164865528,27.3,37.560050462,20.0,107.91896,64121,82.315436242,77.128082064,0.5919191589,0.485635332,3.12474451,93.99578135,13350,16.741325004,12.676017526,,18.429366632,12.664978003,28.928571429,11.439195101,99.6652926047,11.2,15.997102557,8.5648904871
26017,Michigan,Bay,77.491961023,4.0461538844,4.1597508016,87.925998053,66.296731338,24.8,7.7437063087,25.5,36.197226091,43.0,249.22298,50576,77.69930054,30.311493816,1.6685430559,0.609104818,5.4222838063,89.894441077,24689,10.426342629,25.886120246,,21.46294514,11.815217619,44.555555556,12.524305158,99.7088499573,9.5,17.791812576,9.2757833575
26019,Michigan,Benzie,80.465840727,3.7112711102,4.1336096482,83.13253012,68.784610901,15.7,,30.0,32.010258297,9.0,129.55557,51905,89.662854597,100.0,0.6365121388,0.4506280629,2.5798456599,93.510955895,3431,17.105573973,20.794737041,,21.591610117,,29.285714286,13.458856346,99.7248474698,7.5,15.681946188,
