FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
35001,New_Mexico,Bernalillo,78.506776048,4.1229807349,4.5770902299,67.757733693,68.057918456,22.2,6.5770302279,17.0,31.149903211,698.0,457.78627,51372,62.827254693,4.1955192253,2.494618396,2.8663579397,50.346323344,38.48233611,187505,13.523953457,27.110444803,,26.726759637,19.529270713,28.301886792,18.93379552,96.0650789272,6.9,15.209989631,7.1207339878
35003,New_Mexico,Catron,83.503607769,4.0570118152,4.3365221087,85.309090909,60.744985673,40.2,45.474197098,20.1,27.458487575,3.0,55.897149999999996,34777,92.396813903,100.0,0.6148686417,0.2794857462,18.725544997,75.377305757,349,52.104208417,,,,,,8.4210526316,99.4820143885,4.3,14.479116819,
35005,New_Mexico,Chaves,75.661416457,4.6843043763,4.5752628159,66.753840993,52.021614749,24.1,13.190911135,26.4,33.880286794,44.0,125.21449,43527,69.027579956,24.248609947,1.4190975282,1.1624851211,57.199833047,38.697460156,15730,18.118868509,24.122728229,,47.779685967,23.278679486,78.875,16.065644569,93.957233282,7.4,17.439444818,7.6835902085
35006,New_Mexico,Cibola,76.542064761,5.6879862752,5.3513506065,68.156134157,49.173325985,34.3,22.05752659,29.4,34.163814436,14.0,332.76004,38097,69.795279114,55.344871936,0.990802363,0.6318701862,38.443131683,19.057055261,7258,28.35642982,20.965394766,,44.886938913,18.41430718,33.928571429,19.749573136,98.1865903126,5.2,23.253058172,10.320956576
35007,New_Mexico,Colfax,77.650114333,4.61900906,4.7036878535,80.884529148,56.826568266,30.2,28.898795354,28.4,32.174584072,5.0,924.85549,41592,68.93272279,52.356363636,0.5697770438,0.8257638315,49.298100743,46.771263419,2439,21.603674899,43.791225333,,38.779956427,25.960961205,67.0,17.734447539,98.7643800597,4.6,16.948099829,
35009,New_Mexico,Curry,76.529998633,4.3998486492,4.4604687189,77.929672131,61.560372377,25.6,15.335998745,30.4,31.895363813,24.0,582.55962,47202,57.429111531,14.068959815,5.679956308,1.8670226753,42.708902239,47.053826082,14394,13.089303194,18.056698032,,60.898661568,16.740003826,62.592592593,16.889860618,94.6719085992,7.1,18.999062719,12.002743484
35011,New_Mexico,De Baca,78.133954356,4.4942014382,4.557889022,88.1,39.876033058,36.3,6.7914372101,29.6,30.214813188,1.0,842.2234699999999,35087,66.382978723,100.0,0.3930376193,0.2807411567,44.30095452,52.105558675,484,,,,,,,4.2477876106,99.1304347826,5.9,16.493202636,
35013,New_Mexico,Dona Ana,80.210093501,4.6797744737,4.5088270152,82.575017532,61.118427518,33.3,19.489991583,17.2,31.297688142,134.0,294.68284,38409,61.80909713,19.290456094,1.6099520968,1.3405540589,68.573293736,26.931528765,50875,12.107632865,14.830652487,,37.439994685,12.182884628,43.966942149,18.602480331,91.3127413127,7.8,16.428989415,7.2085248642
35015,New_Mexico,Eddy,75.383382246,4.1776065623,3.9888420143,75.4281433,51.203073398,17.8,13.043863297,27.7,32.410128496,19.0,120.8981,58320,70.809819413,20.854929499,1.2953367876,0.8739205527,49.791018998,46.065630397,14837,23.966839985,24.924935369,,56.768233629,25.829781738,59.076923077,13.085004776,96.60526859309999,7.5,15.530870366,13.307863738
35017,New_Mexico,Grant,78.319169904,4.2616593951,4.1252866451,85.671860465,59.356521739,30.3,15.063129078,19.1,31.455845746,23.0,522.9284,38341,70.282429393,42.352781731,0.7130841805,0.9361515395,50.716741022,45.589848607,5750,10.013317713,33.608200401,,37.408603979,31.201690564,44.230769231,14.405360134,98.8188529245,6.0,14.353432204,
35019,New_Mexico,Guadalupe,76.740381717,4.364276973,4.0181428842,86.811111111,50.477707006,29.4,16.418257158,26.5,31.077743568,2.0,1589.49551,29515,65.384615385,44.079368466,1.5203870076,1.2439530062,79.24441373,15.917991246,1256,35.325476091,,,29.232643118,,102.5,6.4102564103,96.7083133109,5.5,14.932569973,
35021,New_Mexico,Harding,,4.2370528217,4.2344624908,,76.811594203,20.3,40.788723734,30.3,29.167178829,0.0,0.0,37544,62.559241706,100.0,0.3053435115,0.3053435115,45.496183206,53.58778626,69,,,,,,,12.307692308,99.7716894977,5.0,13.742185854,
35023,New_Mexico,Hidalgo,77.163894253,4.738674518,4.524524616,86.313142857,44.827586207,36.6,15.819884944,28.6,31.661333058,,212.26415,39882,70.336565887,100.0,1.0141509434,0.5424528302,57.735849057,39.221698113,957,,,,28.776978417,,35.0,14.447592068,95.7472660996,6.1,17.024888149,
35025,New_Mexico,Lea,76.180185966,4.3701414507,4.1739916578,85.567330271,41.237712715,18.2,4.4898564746,30.3,30.12773029,24.0,113.48781,51656,67.708239125,21.03140884,3.3873956702,0.6895461924,59.362744394,34.995905819,18922,27.289755178,19.219773303,,63.992138274,18.036175415,40.989010989,14.298978644,93.2898055173,7.6,16.779396195,11.872360394
35027,New_Mexico,Lincoln,77.138705583,4.0658981363,4.2910237596,82.453341902,55.90146183,29.3,17.664121983,25.2,27.165264472,13.0,521.57906,45095,76.992962252,53.183392692,0.5880548169,0.659644099,33.769687053,61.050317038,3694,20.30162413,39.397053786,,41.755562329,33.844071134,60.0,18.652526513,96.2243912904,5.6,15.914026166,
35028,New_Mexico,Los Alamos,83.369206874,3.0900325391,3.5360246383,86.6,87.808820134,3.1,4.6983898543,12.8,27.188686338,28.0,204.17779000000002,124947,74.150918462,11.242339833,1.3978325742,6.4656300717,18.229412073,71.430815141,4331,7.8486774978,21.433929911,,4.7709923664,,11.428571429,7.448912327,99.3162098489,5.0,11.4489648,
35029,New_Mexico,Luna,75.78579767,5.3739347678,4.8378281544,68.084426773,35.193466848,37.8,16.656450845,27.1,30.670147889,9.0,154.40471,30570,60.498614958,40.613668061,0.9556399449,1.06414055,67.625088678,28.93627676,5143,18.088247307,23.451187044,,83.404255319,27.119869825,53.703703704,17.525773196,87.221257845,6.9,19.216084489,21.802091714
35031,New_Mexico,McKinley,72.225791685,5.8011676781,5.3206566925,66.300635647,48.005546075,42.8,41.30636648,25.6,36.416231783,57.0,168.7647,33976,71.081547179,57.378447938,0.4675612118,1.0457877991,14.412781851,8.4396182045,18752,45.075806673,12.285179978,,39.421034432,10.523958196,21.368421053,30.021085925,96.8786764158,6.0,21.621669653,21.591650359
35033,New_Mexico,Mora,82.876837221,5.6650266777,4.9973416781,73.1,71.008939974,31.8,16.030306439,22.0,33.182543421,,110.96316,34491,75.244299674,100.0,0.3550821127,0.5770084332,80.980914336,17.2436751,783,62.192922445,,,17.584994138,,,20.454545455,96.3796704572,4.3,18.682486789,
35035,New_Mexico,Otero,77.603083131,4.3407272889,4.3076708898,75.484685653,59.042521558,29.6,15.28397821,23.0,34.171176512,28.0,266.54287999999997,42701,65.324270018,29.59386805,3.3287911232,1.5213908148,38.719096749,48.370045372,16815,17.642869123,18.181083593,,50.945136007,23.209508569,68.615384615,14.536775873,94.059115229,6.7,19.321365567,8.2363747704
35037,New_Mexico,Quay,74.049730038,4.5990708921,4.5355851201,70.38919598,50.161987041,37.7,7.3869751993,27.4,32.118788727,3.0,1429.78311,33085,63.594771242,41.566198429,1.5509511693,1.235914213,45.910577972,49.024597116,1852,18.546306756,,,48.567870486,28.653295129,57.5,7.4015748031,99.0336935791,5.9,16.822770856,
35039,New_Mexico,Rio Arriba,74.013201621,4.9566894233,4.575294741,72.780252101,53.644608666,28.7,22.649349668,23.3,32.442376789,16.0,492.23195999999996,41511,77.012421358,49.763951697,0.4153207199,0.7665487361,71.237758294,12.73137466,8931,27.354168091,77.830887018,,39.076576577,20.765066068,45.12195122,14.162607718,97.9416014613,5.4,17.932582658,
35041,New_Mexico,Roosevelt,77.939924933,4.7241357065,4.6800826324,80.99958635,52.736770384,27.6,13.732310348,29.5,30.957677644,7.0,272.10158,41700,61.032461032,36.460747758,2.0754414982,1.4245318252,42.906685162,51.101744651,4403,20.633446817,,,38.090485695,19.931184961,45.5,20.464135021,93.9753588787,6.9,17.930805607,
35043,New_Mexico,Sandoval,79.277759967,3.9302578548,4.3431532376,77.313276434,62.428089665,15.9,13.206084136,12.9,30.688072337,87.0,335.44795999999997,57036,78.323400874,17.058246745,2.0271526874,1.6607085047,39.37001908,43.110918246,35287,12.156800248,19.315307265,,20.587690598,14.008515479,41.481481481,16.081178531,98.1506133285,7.0,16.191236811,9.9220220489
35045,New_Mexico,San Juan,76.029294207,5.2285679528,4.9050394656,66.650210236,56.30621146,26.9,17.552302578,23.9,33.178051705,71.0,223.12324999999998,46578,71.836602216,33.663990649,0.5742024743,0.637380741,20.524139696,37.981334421,33245,31.806542201,17.708855518,,40.401292297,19.357908034,42.025316456,17.253564031,97.8265091575,6.5,21.621046021,11.20664947
35047,New_Mexico,San Miguel,76.918894821,5.1733263994,4.6935838301,73.311520737,57.03125,34.1,27.734777956,22.6,35.373326158,16.0,993.07745,35292,71.209705987,46.895519341,1.5766010656,1.5113624008,77.463665688,17.842774818,6144,16.7736623,43.321820961,,30.850472485,19.381931733,60.8,19.755409219,93.0404165262,5.4,18.35512046,
35049,New_Mexico,Santa Fe,81.621654475,3.9926981556,3.8829593812,68.170833333,56.443169383,17.7,11.043850881,12.1,26.310768952,167.0,709.06861,60187,70.309171884,25.160574322,0.8223596524,1.5734125926,51.080263368,42.984619076,33811,10.114583785,27.041704566,,25.290304196,15.047554302,31.439393939,18.275271274,94.6480794106,6.1,13.676491996,6.7690472641
