FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
40001,Oklahoma,Adair,73.204924993,5.769635249,5.5285376362,82.81358885,35.138162808,34.9,3.8033213932,25.4,39.486644785,8.0,235.48592,35156,68.574011883,83.295860336,0.5343718866,0.8015578299,6.8155058419,39.575219636,5356,21.323477148,31.775333263,,60.508953817,11.788282447,,15.428571429,99.1718224777,9.8,27.744408618,14.108251996
40003,Oklahoma,Alfalfa,79.405877339,3.8194812617,3.997353076,,44.864148443,18.5,21.074137645,28.6,32.409935062,2.0,17.37921,52952,77.936670072,100.0,4.3274244004,0.3823427181,5.5787278415,83.646159194,1509,34.432720923,,,28.513238289,,,5.4187192118,99.1859623734,8.4,16.869086679,
40005,Oklahoma,Atoka,75.25864151,4.774257418,4.8755536604,80.181818182,43.82183908,27.8,17.919680615,30.4,34.344640457,2.0,1170.68941,39702,73.745756318,100.0,3.8372597196,0.6720624368,3.5409741292,70.949559185,3480,24.734873079,,,50.619082302,24.593484173,22.142857143,12.403846154,99.7320471597,9.5,20.874302968,10.824742268
40007,Oklahoma,Beaver,78.251289984,4.0681250556,4.2664989505,,50.652528548,17.0,14.055327523,27.9,32.870209037,1.0,,52550,77.602368032,100.0,0.6956194773,0.451212634,24.609889077,71.291596165,1226,42.01018747,,,25.437201908,,,8.3932853717,95.287446226,7.0,15.451707136,
40009,Oklahoma,Beckham,73.774204731,4.1333435647,4.276039389,86.378676471,51.886493342,21.3,4.0873034361,29.0,33.995195175,16.0,304.02137,47825,64.982808781,32.655183327,3.869362937,1.0825003455,14.864802616,75.171587821,6308,27.466010812,31.808061071,,59.35334873,19.386676066,32.608695652,7.7896138482,98.9792495328,7.8,17.958902168,
40011,Oklahoma,Blaine,73.208046731,4.4784328826,4.521708761,,42.603550296,23.4,17.657315415,31.8,31.53339919,3.0,379.54665,49513,76.765609007,57.431131207,3.0152872957,0.3584607275,11.396942541,71.955719557,2535,27.990159249,34.93327744,,51.084337349,,43.636363636,8.0862533693,95.9255588592,8.4,18.273601379,
40013,Oklahoma,Bryan,75.482947298,4.525137266,4.7924245557,84.207489879,56.818378098,22.0,8.0169214501,32.0,33.060145777,19.0,853.9583,43445,61.89893338,61.330629951,1.7820817088,0.5445838278,6.0730632311,70.706899474,11579,23.72689396,25.883638664,,45.681795902,12.256296672,30.625,15.389239555,99.1886836568,9.9,20.252155188,8.4779975777
40015,Oklahoma,Caddo,72.804316798,4.6998383984,4.8879423675,85.102539063,45.702422145,25.9,14.653005218,33.7,34.530374862,5.0,44.86317,48533,71.712913031,79.969594595,2.7090451047,0.4762397764,12.937847258,57.072850882,7225,33.0676574,27.36383641,,47.370039988,21.179637487,20.909090909,11.234329797,96.4482076094,8.9,20.359450479,9.9059561129
40017,Oklahoma,Canadian,78.621820184,3.7785243729,3.9878829489,93.008958567,66.335637964,8.8,5.5088375975,27.3,33.364383969,55.0,203.53486,70942,75.78025228,22.508027453,3.1312522932,3.2074047921,9.3362963578,75.697660734,39775,13.83306811,12.829498343,,22.646125364,12.86803682,12.335329341,10.798936293,98.6464511568,9.7,14.520999536,4.8540841766
40019,Oklahoma,Carter,74.564171443,4.6608383961,4.5261033084,85.483231707,53.568782415,24.0,3.4990523374,37.1,34.598905866,26.0,471.17918999999995,48660,68.586387435,56.077969594,6.5716005563,1.3512672022,7.5845320381,69.4563796,12147,25.368058075,26.910842309,,52.937966163,22.686680444,18.214285714,14.222468179,99.0195860968,9.5,19.705636305,9.0947546531
