FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
1001,Alabama,Autauga,77.162581316,,,,60.499930372,15.9,11.991125,30.6,38.443332143,26.0,28.63842,58233,73.290648222,42.002162321,19.864325476,1.1741753029,2.9909252,73.77078523,37367,19.82604576,8.3845389102,80.567369257,23.764040651,16.562431365,,13.630966516,0.8032513467,10.4,19.810765873,
1003,Alabama,Baldwin,78.213404894,,,,67.108646737,13.5,5.424426597,24.7,36.377960482,153.0,98.5513,59871,75.245273693,42.279099114,8.6075597803,1.066145838,4.7188152342,83.207307131,151112,17.238937835,12.5404506,81.81638453,26.006904488,14.350620359,,12.996650686,0.7084582457,7.2,18.513318262,6.471330164
1005,Alabama,Barbour,74.05474119,,,,35.613772455,41.0,10.739666573,28.0,40.889589302,8.0,12.15264,35972,60.898876404,67.789634702,47.828728834,0.4699019687,4.5248318885,45.511626023,17964,26.482174187,,60.524344569,37.114261885,21.211240386,,13.710554951,1.890721306,9.4,25.53076754,
1007,Alabama,Bibb,73.408783662,,,,40.139023602,25.9,2.6016270077,33.4,40.110058479,12.0,26.79289,47918,74.415904803,68.352607462,21.072608734,0.2143431276,2.7819951773,74.408323658,16168,27.265925203,22.234739557,69.206211,37.786445636,20.410336504,,9.255242227,0.335253565,10.0,23.084812535,
1009,Alabama,Blount,74.370873779,,,,55.750957311,21.0,2.8801498232,33.3,38.847109058,12.0,17.29326,52902,78.778721159,89.951502041,1.5079721924,0.3199252931,9.6530972227,86.770656798,39791,28.666961574,21.879444262,73.008106682,31.23977756,21.449130964,,10.125664572,1.6184630131,10.6,22.95495894,17.561983471
1011,Alabama,Bullock,74.44035871,,,,32.165725047,39.9,19.743350741,42.4,44.652713757,3.0,29.70003,31906,71.116160182,51.374381528,69.082269082,0.2079002079,8.5536085536,20.997920998,7101,47.939295155,,60.096563476,45.50209205,25.190869279,,20.29972752,0.6490830414,9.2,24.905712949,
1013,Alabama,Butler,74.153846183,,,,40.304026294,34.6,2.9261219306,40.3,41.971169992,5.0,56.56109,39944,69.950814633,71.23215735,44.631838749,1.4345948169,1.486013986,51.095228301,13819,34.367705812,,64.586535506,36.930455635,21.189647344,,11.843971631,0.1606081696,8.9,22.826806546,
1015,Alabama,Calhoun,73.45688939,,,,58.838427645,24.6,9.178566583,31.1,38.268704745,73.0,122.35377,47747,70.068377985,33.696825557,20.998195502,0.9013687778,4.0614409577,71.708111439,79108,20.980939623,19.847640174,75.146284049,32.317142966,27.058119094,,12.594235033,0.884177391,10.8,21.234317808,6.3683304647
1017,Alabama,Chambers,75.022109614,,,,49.799095932,30.4,10.328558281,28.7,40.510510836,14.0,3.00716,42015,67.45984533,49.148034488,39.787694713,1.1246767306,2.6192337764,55.124195585,23789,21.538435549,10.93635044,69.422962522,42.288174689,24.918717517,,14.859437751,0.319448398,10.2,23.216156424,13.633169361
1019,Alabama,Cherokee,74.47838936,,,,48.005963474,23.3,0.2211124003,30.4,37.863971675,10.0,22.90426,45982,77.340039117,85.736273039,4.0807756909,0.3931898,1.7140021377,91.670484043,18874,35.73215179,16.648524044,70.727391264,32.679738562,27.762996553,,11.672070403,0.4450558343,10.3,23.559697438,
