FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
6001,California,Alameda,83.076697263,,,,76.100478971,9.8,1.0025394993,14.6,33.208587265,1835,647.7479900000001,107589,53.517551808,0.3886057535,10.168793816,32.333011633,22.320859627,30.642321171,1172662,5.9771701724,11.357110751,88.889023644,9.9083379077,7.3969575457,,23.464600137,7.931572756,8.7,11.115114309,4.5439425188
6003,California,Alpine,,,,,51.869158879,29.6,12.47481688,20.2,34.502971515,0,354.29584,58112,84.0,100.0,0.354295837,1.5943312666,12.311780337,61.293179805,770,,,82.571428571,,,,27.868852459,2.1105527638,5.4,18.476940783,
6005,California,Amador,80.480824812,,,,62.346926644,12.5,3.5713585722,24.4,33.318217003,25,241.49728,62640,76.504042757,60.423722139,2.5005031193,1.6728718052,14.472227812,77.334473737,30295,20.346186597,21.229439288,84.630670138,16.126205083,17.694969945,,18.36446951,1.1950571785,9.0,15.898455233,15.264187867
6007,California,Butte,77.918689419,,,,68.525523389,16.1,7.4378920032,23.1,35.484897721,140,716.7428600000001,58394,58.990857947,18.901818182,1.6086793865,5.0112689679,17.214146889,70.905532288,147509,14.128750296,23.538550261,85.37037037,15.830989023,14.310815001,,22.369871758,2.5103896773,7.6,16.64906956,5.8448459086
6009,California,Calaveras,79.586577113,,,,56.255924171,19.6,2.7477156635,26.8,32.379307118,19,165.55930999999998,68248,77.753511982,75.409188644,0.9149330138,1.8712558545,12.998584032,79.886722579,34848,26.871947268,19.682599853,82.251210011,12.970658607,21.569179843,,20.943290286,0.7635513162,8.0,15.591759436,
6011,California,Colusa,79.861198843,,,,51.018909491,15.3,2.9514419336,26.2,33.458026847,6,167.07662,59048,61.02117061,31.724170129,1.0210238084,1.5640228338,60.416763355,34.083631132,13677,23.205548115,,80.98796181,25.54673892,,,19.730305181,14.855619278,6.6,15.590407719,
6013,California,Contra Costa,82.511618398,,,,71.929477684,9.9,2.9685104702,16.1,33.107596957,1190,350.57727,106555,65.923109464,0.7927361121,8.7382512401,18.30197152,26.043626238,42.685903915,787178,7.375044768,12.778238168,91.66170596,10.186162286,8.1917686028,,20.477675535,6.4392525274,8.1,11.21125472,4.8231119769
6015,California,Del Norte,76.445154574,,,,42.061534467,25.8,14.001309659,32.8,35.824785742,17,427.87286,48979,63.076923077,33.67354072,3.2971379261,3.0957859917,20.120811161,61.973248957,19644,22.799226899,16.845144989,79.728506787,38.369304556,14.502842557,,20.185854414,1.6523514232,5.8,19.192435604,19.328419328
6017,California,El Dorado,82.322915574,,,,69.454817028,9.1,6.0570052179,18.2,30.399179664,150,345.87722,86202,75.731958182,34.699930409,0.879471902,4.8313913391,13.159928024,77.214625369,137028,13.002817022,17.117664731,87.213627526,8.9187634043,10.927396468,,18.337372402,1.5826074389,8.3,13.467937459,3.5762635379
6019,California,Fresno,78.886867336,,,,55.631434291,29.0,4.1619960533,22.7,37.965800284,666,373.93617,56926,53.303280871,10.805201784,4.6315637758,11.145319642,53.766335936,28.630638944,604137,14.856873921,12.270531012,80.151085071,30.489813959,9.6606968826,,26.820177255,11.620626151,14.4,15.73731263,9.2303876408
6021,California,Glenn,77.787796822,,,,45.937591993,18.1,3.5679583203,21.4,34.467207515,4,109.18184,55682,59.375309866,40.871915227,0.8452787659,3.1345754235,42.542175888,50.484274293,17951,18.317720868,13.012515674,71.621219633,25.168276266,19.909553742,,21.036738802,9.9433023489,7.6,17.105685193,11.668681983
6023,California,Humboldt,77.131811707,,,,68.443382973,20.5,6.1924808289,16.2,32.278084099,87,483.18800999999996,51134,56.837176978,29.758659367,1.2437480636,2.8991280485,12.064208678,73.826701486,92463,20.308093775,27.649656826,83.520181422,14.638027049,17.472814356,,24.256462522,1.5042150655,6.1,17.089817834,8.5706462212
6025,California,Imperial,81.937947169,,,,52.90659431,30.7,9.2047670666,27.2,33.641586739,45,152.30527,48102,58.346159852,17.417835534,2.4203294429,2.1096487598,85.030488646,10.021797313,110125,13.068054468,17.220154175,77.512324611,35.374417536,5.292487094,,26.438053097,20.650762886,12.5,15.684410386,6.485628966
