FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
25001,Massachusetts,Barnstable,79.730695687,,,,65.935255598,10.1,9.7177261426,17.2,32.695951561,200,530.07183,82686,79.818283982,7.483046765,3.1865345791,1.5906850087,3.3968730926,89.510305648,165855,7.8752769695,38.134116437,87.738939601,7.0042317233,3.5565339144,,17.098200189,0.894719695,5.9,16.125400584,5.5739956507
25003,Massachusetts,Berkshire,78.246562329,,,,65.629618402,16.3,5.9717446074,19.6,37.998669982,149,905.2055300000001,58805,69.195263897,31.593747857,3.2102381867,1.6663465232,5.1399026764,87.657670636,92628,10.441976296,36.546126243,82.389214237,11.562124319,6.4838946383,,14.655407246,1.2397376811,6.7,18.631535533,4.755495738
25005,Massachusetts,Bristol,78.728437992,,,,63.755495917,16.0,4.5020999062,24.4,36.187451387,298,508.65420000000006,69857,62.643635963,9.8343015038,4.9991419225,2.4693170941,8.5928059489,81.799025861,392815,8.152746172,46.66645374,82.096901502,13.307067621,4.205547188,,16.829160974,3.8980467427,5.5,19.484053979,5.0012038661
25007,Massachusetts,Dukes,81.947010369,,,,64.873587951,11.6,1.3729309494,18.9,33.702999245,9,703.9003,76036,72.328159645,39.026307832,4.3157165936,1.0904684976,3.8714516501,86.908608354,12824,,19.227441404,79.03917221,5.0632911392,,,24.429967427,0.6296473975,5.5,15.311994295,
25009,Massachusetts,Essex,80.241408538,,,,67.023137222,11.9,4.413227733,19.1,34.598665574,584,594.14423,83253,64.174954623,4.2440446795,3.4941460064,3.9068024952,22.246823331,68.996139583,542962,4.7142305009,38.352946052,85.825725182,12.183401176,3.2398471608,,18.777000617,6.5564327035,5.3,14.964390523,5.8425834912
25011,Massachusetts,Franklin,80.270501051,,,,69.336799468,11.5,5.6828649041,20.3,33.676837862,48,839.2704500000001,60143,68.628348981,54.431709914,1.3322884013,1.7070390425,4.1992020519,90.379025363,53146,8.8904873806,25.962378154,81.922863031,11.848341232,4.5347874885,,15.896427401,0.9168332963,5.4,18.212868782,
25013,Massachusetts,Hampden,78.210057745,,,,59.722763025,20.2,4.9328121643,26.1,36.32188193,316,985.69382,59918,61.122598552,8.5708429524,7.7515373993,2.7338691002,26.333484858,61.436149683,317450,8.5943302411,40.736643642,78.922434693,20.231991185,6.9913584252,,18.850947298,4.9941491613,6.4,18.52086817,8.4294455776
25015,Massachusetts,Hampshire,80.569191943,,,,77.938250015,9.9,9.9802933774,16.6,33.574566395,223,959.3981200000001,74142,66.86325164,27.443699393,2.9248274576,5.7004290244,5.8633339551,83.320897842,100133,4.6999898906,26.032035932,87.849688977,2.098694612,4.2124721388,,16.408642395,1.028958758,5.0,16.08669768,1.4259832856
25017,Massachusetts,Middlesex,82.368555871,,,,81.822520442,7.1,2.9933657061,17.4,32.769159695,2037,602.15958,106543,62.359030021,3.0277063506,5.2628933815,13.078372575,8.3248795215,71.207216732,1123325,3.5318255224,22.238971624,89.659388733,4.7813315,1.7115857992,,16.064737237,4.0724029707,7.3,12.328644303,3.0160003776
25019,Massachusetts,Nantucket,83.268328741,,,,78.860348391,5.8,1.1506619503,19.5,33.301308881,7,403.54416999999995,96030,70.535954754,18.895005899,9.8956048776,2.0352662514,15.150451794,71.085182911,8192,,,91.731753299,11.933174224,,,19.946808511,1.0512232416,5.2,13.159836977,
25021,Massachusetts,Norfolk,81.903612013,,,,83.100243616,5.5,3.4768689156,18.0,34.956388832,896,629.76195,106851,68.920844327,1.240366699,7.3241130487,11.982879983,4.9656538502,73.757277776,491428,4.994120651,23.952832801,90.149641915,2.7350209897,1.9682293552,,15.109120366,3.5160362872,7.4,13.240863373,2.8518884497
25023,Massachusetts,Plymouth,79.849434226,,,,69.934595167,9.3,5.8246572615,22.4,36.942313732,326,555.6387000000001,90584,76.488850955,10.307747328,10.994201864,1.6197174992,4.1709356449,81.145314101,359125,8.4184211781,36.539644227,88.226821722,7.5129708241,3.4904907397,,15.50802139,2.4636810945,6.0,16.603165986,3.220617803
25025,Massachusetts,Suffolk,81.627877666,,,,75.768685943,23.9,0.2115041909,18.8,37.667446876,1203,864.65225,75843,36.086224035,0.0740973625,20.083044432,9.317868858,23.318617701,45.183211491,553283,4.0042182619,31.381039709,84.86657802,10.519124981,5.8416965697,,24.465300074,10.156645641,8.6,15.753367146,3.2512545717
25027,Massachusetts,Worcester,79.332210617,,,,68.766606918,11.9,5.020361978,22.2,38.64678385,837,520.69413,77795,65.1090011,18.390286418,4.8311987884,5.4058284033,12.170758781,75.685209397,568517,7.0276635976,34.853192484,85.642891941,10.821837468,3.5384254831,,15.868943541,3.3292108551,6.3,17.61507813,4.2563684707
