FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
24001,Maryland,Allegany,76.689062147,,,,53.442039727,20.8,13.117136328,28.6,41.282241224,43,312.42899,48170,68.830979233,27.252387231,8.1046921154,1.1318450352,1.9256987048,86.679163826,49921,9.9179389729,45.069152982,75.448009051,23.723599361,12.022456831,,14.247118156,0.2682026029,7.5,20.249267812,7.529208135
24003,Maryland,Anne Arundel,79.339655834,,,,74.318891791,8.1,5.024142473,20.4,35.461814077,391,203.71731999999997,100916,74.169025899,5.3041349859,17.519344514,4.2188476505,8.4245745243,66.688937459,393584,7.669257367,44.373734452,90.956275558,12.835318282,8.004079634,,13.079675747,1.5021563302,8.2,13.955724887,4.5375678938
24005,Maryland,Baltimore,78.095620473,,,,70.828254255,11.0,2.8665751614,23.3,37.785287557,829,326.69785,76972,66.063938709,6.5338018879,29.555337999,6.317125349,5.8104596493,55.794384616,575300,7.8270963386,50.074971798,86.272602298,13.568837826,12.528843446,,15.590040274,2.3177571053,8.7,15.215350232,5.317968215
24009,Maryland,Calvert,79.514429844,,,,72.79856387,7.1,5.2128059666,21.2,35.083318138,47,196.70359000000002,111056,84.665186251,38.709895534,12.868954337,1.8913807079,4.3966495542,77.502296677,62546,12.050587427,40.575299786,90.1541926,9.9651443382,8.0807904323,,11.760966306,0.3484280358,8.2,14.844278026,4.1443585168
24011,Maryland,Caroline,76.828699724,,,,45.108098204,19.6,2.2669752545,30.7,40.178542031,11,44.90211,60143,72.845974717,75.999516119,13.638268575,1.1973896905,7.8069807819,75.142190026,22557,24.722093311,43.041750498,80.131403859,20.771091194,13.911402511,,17.924135056,1.8363402062,8.0,21.154308055,
24013,Maryland,Carroll,78.629543228,,,,71.761042799,5.7,3.2443411338,23.2,33.719703666,75,223.80927,101810,82.002370058,39.506025106,3.7335185548,2.0837414736,3.8635297749,88.325111163,116607,12.251836499,41.216113122,86.68323513,7.4988638085,6.0718622759,,10.838987258,0.5007180107,8.8,14.96022258,6.0096682048
24015,Maryland,Cecil,75.702779294,,,,57.976047904,13.6,6.5048305556,27.5,39.0357396,43,216.81007,75307,73.034162664,42.102504253,6.7658353993,1.4291964416,4.6862087405,84.593845705,70955,13.933243046,67.438972593,84.475686761,18.969586321,11.686520767,,13.324342549,0.8314913132,7.8,18.580138558,9.4347133758
24017,Maryland,Charles,78.609571236,,,,66.021264144,9.2,4.5034589117,24.9,41.574464887,63,168.44607,102510,76.850672328,29.503722254,48.935727105,3.3964852962,6.2545557005,37.249857587,106804,12.749865719,26.214754572,87.480537863,14.342274312,11.900541537,,14.257137661,1.0563121826,8.3,14.994224042,8.7239881088
24019,Maryland,Dorchester,75.586125688,,,,54.290127791,24.2,5.9359424315,32.4,38.624022943,15,256.81982,48709,68.034590002,56.220491753,27.8931379,1.2308559617,6.1041686241,62.332049234,23058,13.718695927,38.505968425,77.1144656,33.677833215,14.931780428,,17.890262751,1.6457240856,7.9,20.586906939,
24021,Maryland,Frederick,80.553798625,,,,74.324176596,6.6,2.8479082088,20.5,33.036542044,161,233.09844,102951,75.237230616,25.207704008,9.9419372984,4.9563277557,10.543755081,71.728819828,170910,7.6208419139,31.021210427,88.803147223,10.123007299,7.1421202574,,13.419240169,2.2605197209,8.8,14.343041111,4.5261352621
24023,Maryland,Garrett,78.328352408,,,,55.616309952,17.7,1.490645795,26.6,36.683490788,16,161.99076,59253,78.639839034,83.898727448,1.0856827738,0.4135934377,1.1925277452,96.229406493,21472,16.030078256,26.312778858,76.90945674,23.099850969,12.987456851,,11.715128529,0.251689918,5.7,18.361256608,
24025,Maryland,Harford,78.968719995,,,,74.720627723,8.8,3.5104066943,24.4,38.107998869,140,198.87176,91492,78.653610771,17.757100961,14.272180269,3.0801633254,4.7819261591,75.097967828,174831,8.3985974342,41.625249325,88.561545421,9.8347543129,9.4229138342,,12.998546746,0.7026725076,7.7,16.414126,5.232424126
24027,Maryland,Howard,83.152097621,,,,85.831300521,5.6,1.8592997292,15.5,34.36605392,620,308.57564,121329,73.154068494,9.2516153752,19.642911972,19.288280267,7.3327397218,50.256685806,215300,5.057552235,16.082490807,93.851274415,6.2615955473,4.4357090825,,13.055193785,3.3015801038,9.7,9.089189504,3.9995159436
24029,Maryland,Kent,79.001511172,,,,61.566231602,18.2,0.004163292,27.1,33.490344609,17,185.35681,65615,69.246105919,72.585037382,14.432087324,1.3953248893,4.484605087,77.793224179,13933,16.73092311,24.059530152,74.604361371,11.086913482,,,15.713346483,1.4554566295,6.1,17.339879094,
24031,Maryland,Montgomery,84.603949377,,,,77.385665258,9.3,1.9081125192,15.9,33.764591693,1455,329.30803,110012,65.408276048,2.3837773481,18.666530883,15.594067887,20.06047466,42.945860236,717900,4.8812806725,11.859338755,91.858471492,10.942996436,3.3739709389,,16.900931643,6.5429308869,6.5,9.2100913267,4.4674586252
24033,Maryland,Prince George's,79.597792991,,,,62.237975515,13.0,4.0427560294,22.9,44.565134215,498,159.34861999999998,85357,62.073982714,1.9667137662,61.700136475,4.4165630186,19.544894191,12.25521732,616274,10.041797207,16.987681368,87.15564506,20.675068213,10.55182761,,19.018894993,6.8857082938,8.6,13.044388812,5.9924628318
24035,Maryland,Queen Anne's,79.764929286,,,,67.725862555,7.4,2.702718665,21.4,33.121990533,18,105.19838999999999,101350,80.992625289,54.487635466,6.0796728926,1.1968797761,4.2635120383,86.314285147,35106,14.469434766,34.574008324,86.720137805,10.82271813,10.473946059,,11.86440678,0.8743818842,8.2,16.380088866,
24037,Maryland,St. Mary's,78.662704766,,,,66.68347113,10.6,3.7422486609,23.4,39.05921343,42,120.69421,89123,71.0470507,50.417970347,14.439256453,2.9037089243,5.5871729363,73.464892961,74327,11.751841973,30.692861844,83.542118761,13.526427994,7.8174830903,,12.336091661,0.6866773187,8.0,16.692223452,6.1758100738
24039,Maryland,Somerset,75.50218047,,,,41.301338256,32.7,11.997545582,32.5,41.757295067,9,292.78576,38731,65.022160019,45.791462032,40.810430981,1.0071830106,4.0365396627,51.393660212,17025,11.047465435,27.198901682,73.711219967,20.920502092,,,24.5215311,0.7964059628,7.5,21.811287306,
24041,Maryland,Talbot,80.357188917,,,,68.273852877,13.1,2.3706893118,20.6,33.5089607,37,486.80778,75714,70.295970522,54.655656133,12.261639009,1.4469756058,7.1972243888,77.442779914,27939,9.9382300777,29.662388092,86.116724117,15.282810777,6.987669451,,16.151515152,1.433560525,8.0,15.725251215,
