FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
23001,Maine,Androscoggin,77.136498091,,,,66.85425741,15.3,3.5495686489,22.6,40.398877374,94,488.56174000000004,58958,64.341442034,43.366882695,4.3453364981,0.9364869732,1.9394700629,90.192746382,74726,11.948969932,26.884461708,81.663379356,20.68691155,9.8483905314,,14.326742516,0.7321917334,5.6,21.815805488,5.1617593602
23003,Maine,Aroostook,78.647157756,,,,65.195936139,20.2,4.6834771793,30.7,36.83601388,74,565.20767,40675,71.981298279,80.265757618,1.1110282604,0.5115203937,1.3511296697,93.736484975,50280,10.671509998,13.378324142,69.20653205,18.380711415,14.775151741,,12.950242922,0.7385226444,7.4,22.976318309,6.1100447857
23005,Maine,Cumberland,80.230610457,,,,78.452612248,9.2,4.5013448241,15.1,30.332258924,492,731.51798,75254,69.276549186,36.098468442,3.1023413321,2.3921790626,2.1579441565,90.144845985,211601,6.0893833075,29.282909223,87.237657903,7.1332303343,6.9032546453,,15.33605488,0.9548383387,6.5,14.33444271,4.2637546081
23007,Maine,Franklin,78.117115281,,,,62.504007695,16.6,1.0385353272,21.5,33.544210305,32,294.71175,51136,79.422687373,82.998569943,0.5165733965,0.5298188682,1.344415378,95.576012451,21589,16.123907487,16.651125616,77.532072924,13.147303461,17.324555559,,10.971922246,0.1539322698,6.4,19.709707925,
23009,Maine,Hancock,79.645812665,,,,64.719986299,14.2,1.7730615164,18.3,30.442203087,78,403.73179000000005,58926,76.311229449,90.113565364,0.9220361176,1.2439303835,1.5676432611,94.496881081,41572,14.363538549,14.60786999,82.211233676,14.715359828,10.608216612,,15.142555438,0.0824117906,4.6,18.312718758,
23011,Maine,Kennebec,78.067466226,,,,67.417374545,13.9,2.5049943169,22.3,34.358833088,147,512.6653699999999,55358,70.534497649,62.830431188,0.7350656571,0.9869012772,1.6810845285,94.354957401,87875,12.249258272,37.13756738,81.92879762,14.215031807,11.866404068,,13.554010381,0.3772444751,5.7,22.086858605,4.2185683441
23013,Maine,Knox,79.003567624,,,,60.68827813,17.5,5.0086410381,17.1,31.952544739,40,535.55265,55910,77.238542891,67.930843568,0.8071004727,0.6512119079,1.568942975,94.953736297,30014,11.863760884,20.111788022,84.776733255,16.792125072,12.064424024,,15.246768508,0.1263124655,6.6,18.253442796,
23015,Maine,Lincoln,80.234647918,,,,57.337278107,16.4,1.3800496498,19.4,33.649914766,39,213.66287,58619,79.212310902,100.0,0.5688052203,0.7824680949,1.3483859791,95.69498181,26321,16.275566202,26.167861989,80.177360459,17.508663141,12.254544394,,14.238845144,0.182731841,6.6,18.537373112,
23017,Maine,Oxford,77.460707338,,,,55.896245297,17.6,2.2902843646,23.9,36.296337887,35,258.73221,50344,80.804199081,83.111718223,0.645105649,0.8106942648,1.5075463562,94.996119017,42832,14.926635586,20.227472375,77.256537632,19.440194402,13.219644392,,13.731630932,0.1527217192,6.9,21.736847844,10.068912711
23019,Maine,Penobscot,77.661295856,,,,67.306348438,13.9,5.4524878258,23.5,36.696129779,196,560.63833,50702,69.378660145,57.650253698,0.9214711991,1.2073770276,1.4696216841,93.435339275,107888,13.033567531,35.588674014,81.639745157,12.563031264,13.03147694,,14.227970897,0.2667883111,8.0,21.925266535,4.6260171664
23021,Maine,Piscataquis,76.670672121,,,,49.043367347,23.8,1.9693490236,26.5,37.506562265,10,220.43491,43509,75.900355872,100.0,0.5361930295,1.054512958,1.5013404826,94.709562109,12888,18.599617862,21.843599825,68.868327402,20.171957672,16.640517282,,13.97993311,0.1303052867,6.1,24.429359293,
23023,Maine,Sagadahoc,79.958779902,,,,67.756128221,11.4,2.8439224979,18.4,31.157529575,22,220.32575,65841,74.524405507,61.675119712,0.8450468541,0.8701472557,1.8574297189,94.447233378,26547,8.8938478829,14.034168522,83.423028786,15.458167331,15.792085909,,14.389626818,0.3921801652,6.6,17.944073734,
23025,Maine,Somerset,76.517093425,,,,55.967741935,22.6,7.1729722708,27.0,37.88104844,28,174.31265,45333,76.122133108,80.47598989,0.5684969495,0.7388479518,1.1785912368,95.434196973,37376,18.227757229,30.981793253,75.962665916,24.531449318,21.282465613,,15.661524077,0.3778520564,6.8,25.768432734,8.2445576656
23027,Maine,Waldo,78.62322548,,,,65.469174977,18.6,2.9889325679,19.5,32.461661774,29,261.86579,51073,79.188906939,91.34223689,0.5514289311,0.6269671409,1.6492509128,95.258718368,29220,16.319070466,17.611392055,80.27384544,20.087220827,14.158576052,,13.506340313,0.201356507,6.7,19.503039606,9.1415830546
23029,Maine,Washington,76.608900113,,,,54.482200647,24.6,5.4866120928,27.3,37.595784138,18,592.75312,39068,76.52091944,92.378865352,0.6150610281,0.5035214634,2.5654099876,89.30494917,23107,15.798857968,40.227816476,74.345587702,24.028966425,15.234516336,,12.5579736,0.490065342,5.5,24.597564859,6.7149440421
23031,Maine,York,79.160834304,,,,69.874714067,9.9,3.2789042824,20.5,33.856290268,154,414.65799,66803,73.87533113,56.843418843,0.9651273111,1.3720796952,1.8445297412,93.90919905,150281,11.04300865,34.462617768,85.447874909,11.558583769,9.788825664,,14.365436544,0.4755302213,6.6,16.970614251,6.0566305893
