FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
37001,North_Carolina,Alamance,77.315144441,,,,61.598938125,21.8,10.020748263,23.2,38.241969219,73.0,146.89486,57963,65.168609072,28.558005968,20.111026553,1.7450400864,13.055353993,62.932351675,109872,13.8485712,24.080138702,77.626902962,20.778856929,12.617910082,,15.872134528,3.1368648255,9.2,20.955162565,9.9156118143
37003,North_Carolina,Alexander,77.142902607,,,,46.280898876,16.7,2.9540791634,28.4,36.146520756,9.0,53.3376,54960,75.714588185,72.77810635,5.7017894765,1.0267488066,4.7683814705,86.652265515,26827,19.141613485,10.701291289,73.950172913,26.540154015,20.868001862,,12.73190251,1.2137845179,9.3,24.139540474,10.716332378
37005,North_Carolina,Alleghany,77.819241692,,,,44.569120287,26.3,1.7857548184,24.5,36.37274739,12.0,233.45605,41420,76.260162602,100.0,1.4546107569,0.7991380084,9.8500493849,86.728921613,8421,20.824656393,,76.422764228,40.512820513,18.17719126,,11.919831224,1.7721758908,7.7,25.218263313,
37007,North_Carolina,Anson,74.335236727,,,,43.539033457,31.1,3.6341530972,37.2,41.885487731,11.0,81.81298,40826,66.138010713,78.510464598,48.089667021,1.4726335597,4.1151926696,44.342632742,18013,23.105490654,17.493339075,74.624514232,35.87801475,26.290421523,,15.966822188,1.1293721028,8.4,24.973931109,
37009,North_Carolina,Ashe,79.184347031,,,,60.652920962,22.6,2.2911759069,30.9,35.162899611,12.0,169.09900000000002,41542,75.858602781,84.864924306,0.7499172885,0.5072969893,5.1097305444,92.287615337,20356,12.137843686,14.765777849,70.363544982,26.677782409,16.270624866,,10.421008754,0.6181719218,7.7,22.090203959,
37011,North_Carolina,Avery,77.418277428,,,,57.285208149,24.4,0.1795912807,29.2,35.825253413,5.0,432.87578,45823,75.255686155,88.784626622,4.4882383095,0.6094435268,5.0521159651,88.528791935,13324,12.166535538,,70.920470157,19.773266544,13.666958988,,13.234200743,1.016788839,8.0,22.979422913,
37013,North_Carolina,Beaufort,76.12952752,,,,59.946976649,29.5,3.8571458958,31.1,39.067041816,24.0,153.21105,49410,69.869549769,65.600201009,24.032855258,0.5298548751,8.020172788,65.936076946,34170,17.803957307,33.295315278,69.301050708,27.001067236,19.463649519,,14.383561644,1.5458398394,7.3,21.835889609,
37015,North_Carolina,Bertie,76.761895645,,,,44.756921735,32.4,2.5291537099,31.3,42.856241651,3.0,52.7788,37899,74.434188899,83.24405601,60.658679474,0.7652926585,2.3539346598,34.665118488,14396,30.501089325,,58.186875711,35.318155283,13.367609254,,20.400500626,0.2317434654,7.3,24.672844489,
37017,North_Carolina,Bladen,75.678069022,,,,51.477635783,29.9,2.9323777536,30.7,38.803858305,7.0,73.34515,42260,71.369903197,91.233304916,33.283417884,0.3331092232,7.756249618,54.944685533,23971,36.716761835,24.147298521,70.233206219,33.646209386,20.304689786,,17.818687044,1.5736088729,7.9,25.014942852,12.082405345
37019,North_Carolina,Brunswick,78.887265324,,,,61.177884615,21.0,5.5311905983,24.5,34.910627653,60.0,95.22476,63712,80.67468246,42.960597965,9.7451337348,0.7491947906,4.9306819773,82.314801848,103981,15.989873825,27.530021123,84.511916655,28.388928318,11.360555243,,15.44110724,1.0147791038,7.0,19.284497622,6.3377192982
