FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
32001,Nevada,Churchill,75.404820542,,,,59.8359225,17.4,9.2387857761,27.7,37.451875714,13.0,228.83295,56335,65.422535211,34.7147968,2.1879641897,2.9989160544,14.47669517,72.499899635,16818,14.70337413,28.540752117,85.191146881,29.411764706,22.135320593,,15.562403698,2.6968381897,6.5,20.459331269,
32003,Nevada,Clark,78.962419557,,,,57.969201309,18.7,3.8417043145,23.4,38.721058817,1270.0,205.67208,62131,53.763764735,1.3060731247,11.87723203,10.356529162,31.643942887,41.673434905,1489158,9.9996980848,20.887912329,82.813927844,24.008318193,15.756992724,,19.655002267,6.9438104506,10.8,17.884922356,9.4941709221
32005,Nevada,Douglas,80.709248556,,,,63.480392157,11.9,12.52202659,19.7,34.746800723,28.0,130.86596,76296,71.409285955,31.553077856,0.7995092526,1.870974338,13.182701155,80.184030263,37096,9.2244059929,15.787920182,89.176028157,12.828270604,19.054641255,,15.288343558,1.1623651979,6.9,16.743907651,
32007,Nevada,Elko,79.383226954,,,,54.728050801,14.3,8.8561761909,23.6,37.688017878,20.0,75.78914999999999,83287,71.24273457,37.85079274,0.9985221115,1.2372579484,24.665580355,66.529614612,33383,15.79778831,11.400558627,84.350954885,33.016954652,29.772128707,,9.6476510067,2.4952608588,5.4,21.582097161,13.785046729
32009,Nevada,Esmeralda,,,,,46.118721461,13.8,51.590417211,33.8,39.855253611,1.0,0.0,50675,58.248472505,100.0,3.4364261168,0.5727376861,19.243986254,66.323024055,803,,,53.564154786,,,,6.0606060606,1.7003188098,4.4,23.734918649,
32011,Nevada,Eureka,82.384298864,,,,44.87534626,12.6,27.487461204,25.0,36.636906136,,,71541,73.772609819,100.0,1.0349926072,1.0349926072,13.208477082,80.335140463,1346,,,81.65374677,,,,8.4967320261,0.0,4.4,19.632410078,
32013,Nevada,Humboldt,78.221747932,,,,50.271916467,15.2,8.9860308203,18.4,38.126231827,8.0,101.0041,73106,71.415384615,37.875121007,0.8377398847,0.9090368962,27.544412097,64.725803577,11114,15.132917458,21.806791824,81.015384615,34.410296822,29.654583412,,10.54313099,3.8819377607,5.8,20.811323734,
32015,Nevada,Lander,77.255080452,,,,47.136273864,14.9,5.9029121661,20.0,39.118645662,1.0,54.229929999999996,81239,73.430391265,39.047619048,0.704989154,1.1569052784,23.156182213,69.125090383,3871,32.141620927,,85.805277525,44.226044226,,,9.1533180778,4.7815488468,4.5,21.920230859,
32017,Nevada,Lincoln,83.077030715,,,,51.724137931,17.4,32.37320649,30.0,36.806386502,2.0,38.587689999999995,58782,74.826560951,100.0,3.0291337063,0.73316612,7.8140073317,84.545629944,3713,,,76.065411298,11.049723757,,,10.880829016,0.3008423586,4.5,20.77892192,
32019,Nevada,Lyon,76.967582471,,,,53.636292774,16.6,8.6984143088,23.4,37.736704349,9.0,146.06154999999998,59406,70.720656945,36.937283571,1.1563206399,1.5927664754,18.078595027,73.794122761,39089,19.652104634,32.250358337,84.798716315,27.310527311,22.327637956,,14.285714286,2.2175105526,6.9,21.33439388,12.418300654
32021,Nevada,Mineral,73.383684225,,,,47.418478261,23.4,34.266464767,31.0,40.139607276,3.0,88.79023,43771,70.60546875,31.91533948,4.0399556049,3.4406215316,13.185349612,60.887902331,3245,31.728908208,,68.017578125,35.802469136,,,16.666666667,0.1170138076,4.9,24.156827054,
32023,Nevada,Nye,74.237498799,,,,44.862715865,26.9,21.070123355,26.9,38.75178404,15.0,174.10743,48490,70.814124057,35.270559323,3.3381338263,1.8764911979,15.327902328,75.059647916,34141,19.898874572,34.540791205,72.78394803,30.266180246,28.832595249,,14.965421853,1.9853635505,6.0,23.841259042,
32027,Nevada,Pershing,78.725113495,,,,38.457965629,18.7,5.6654152544,28.4,37.964488844,1.0,74.34944,58562,66.786447639,100.0,4.312267658,1.4126394052,24.802973978,64.208178439,5195,23.570755121,,74.948665298,34.547152194,,,15.841584158,2.8202676864,5.2,21.251178601,
