FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
39001,Ohio,Adams,73.642232049,,,,43.111321052,29.5,4.0487522603,37.8,43.729630545,12,155.24587,43145,70.823573503,89.026269702,0.4729583363,0.364647267,1.0397862662,96.162177775,18987,18.431952814,48.106989946,64.208751054,40.0,12.942284601,,15.697137581,0.0842750431,8.7,30.316207914,
39003,Ohio,Allen,76.918383914,,,,60.955518946,19.6,4.6435344998,26.8,41.875792355,70,227.648,58271,67.067650677,25.890850269,12.241209172,0.7992105597,3.3414426825,80.598137781,69145,10.320386065,23.036092041,81.04797048,28.597114603,10.070122914,,13.566468254,0.4098953063,8.0,24.49846349,6.0662385941
39005,Ohio,Ashland,77.92160195,,,,54.087995843,19.1,1.3640488316,31.1,39.004069899,24,226.23588,52554,73.786550424,61.937559984,0.8170667863,0.721711166,1.5069927455,95.450975993,35487,16.318887105,14.920084298,79.154626047,18.387050973,5.9763486004,,12.435991222,0.7821782178,8.9,23.637120284,5.9578107184
39007,Ohio,Ashtabula,75.150358012,,,,44.88308669,26.5,10.413622589,30.7,43.200786767,32,174.82338,47388,70.522309156,46.368858193,3.4728149649,0.4874487099,4.4405137751,89.255560926,68608,15.979314052,38.627064241,75.433495454,29.819899616,13.690121045,,14.590932777,0.5902868036,9.1,27.536168394,15.584690209
39009,Ohio,Athens,77.953617543,,,,65.018880879,25.3,14.332842322,22.9,40.764745931,48,534.23546,43621,57.84457153,43.170622481,2.7477153398,3.1135671315,1.9364122032,89.707165491,36984,10.235013327,13.654155415,75.608458572,7.7194530216,9.0960359475,,20.835184363,0.6439190682,6.5,24.208751596,2.2315837413
39011,Ohio,Auglaize,79.484725146,,,,64.473428071,9.2,1.9010360719,30.0,37.723650949,19,48.18644,64227,75.730622618,39.136869138,0.5935693009,0.6308042755,1.7763273173,95.669791484,31012,10.599528009,,85.054002541,22.811405703,8.296653392,,10.332606325,0.1189781873,9.5,22.925397643,
39013,Ohio,Belmont,76.593167502,,,,58.295263284,15.7,4.6153858235,31.1,40.332940148,24,201.47449,50166,76.41884332,54.664772727,4.174253052,0.4984628242,1.1312419783,92.445452646,50312,9.386752997,29.130048386,73.930321386,28.377230246,13.514823705,,8.2497212932,0.1159357561,8.3,23.860481464,4.9162418063
39015,Ohio,Brown,74.670763171,,,,54.222309505,18.0,3.7017713915,31.1,39.532687026,12,73.67839,58441,72.359638791,76.559782366,0.9486093203,0.2947135752,1.2387179959,96.161816172,30383,17.939384451,53.594671158,75.175276235,30.802965438,15.123185218,,13.239111624,0.153433999,9.1,24.703414228,9.8533455545
39017,Ohio,Butler,76.685268636,,,,64.466382188,14.1,6.8764528695,23.4,37.422801981,207,240.90788,68611,68.118723628,9.3428951729,8.7679506387,3.8764505369,4.9885940689,79.848825737,243427,8.9210247385,54.444750793,86.8229425,17.530664198,11.421016565,,13.250009163,1.4129463097,11.6,21.411857049,3.8669250113
39019,Ohio,Carroll,76.669224491,,,,47.973089529,18.2,2.3616593651,32.8,41.761524616,6,52.017540000000004,56999,78.651088688,70.952975447,0.6353570632,0.408709222,1.2744296649,96.169279929,19651,16.035422766,22.118456623,74.057355284,23.290633838,12.421452579,,11.085661933,0.1540357363,9.5,25.260344202,8.6438152012
39021,Ohio,Champaign,77.1905555,,,,47.593220339,11.1,0.5804660608,34.7,38.978775432,8,108.0108,62077,73.164456758,70.82325361,2.0496335348,0.514337148,1.6947409027,93.241609875,26852,13.929823018,33.482430309,83.633485058,26.041069175,16.476754903,,10.016366612,0.1414465631,9.1,23.665399419,
39023,Ohio,Clark,74.245917792,,,,57.061043432,21.0,10.806098043,29.9,42.692668333,58,167.0607,50832,65.988372093,23.605358085,8.7184803443,0.7211950807,3.6179083105,83.893558468,92132,15.527769885,56.544113088,82.731826825,34.004186121,16.172826684,,13.248837421,0.8030291078,8.4,26.226279548,7.2255856804
39025,Ohio,Clermont,77.867099326,,,,65.548318542,11.7,9.0795807865,28.7,36.715122267,141,107.54355,68724,74.163237575,22.71651728,1.6485166741,1.3743290639,2.0699711279,93.208285698,140729,9.2066729403,41.875775026,85.538848082,20.792285761,10.478864522,,10.893689671,0.2651582111,9.7,22.355466012,6.3104272793
