FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
41001,Oregon,Baker,77.47576174,,,,61.899409947,22.0,19.062370432,25.1,34.843697895,13,669.80898,48530,70.697876029,41.006569976,0.6325973704,0.9302902506,4.7196725378,89.717191764,11974,15.134653906,,76.347348649,26.44320298,27.415013458,,14.712153518,0.5450128045,6.3,21.068303169,
41003,Oregon,Benton,82.986503515,,,,85.15496014,11.4,7.0751312073,13.9,31.682680155,105,991.90784,69148,57.220449073,18.7639491,1.0682084404,7.0239540907,7.7934080578,79.816878553,55359,8.3071206402,4.708353706,90.49778823,4.219858156,8.6080933735,,21.912293314,1.2901159732,7.0,14.684941158,
41005,Oregon,Clackamas,81.096280548,,,,73.56812933,7.2,2.9729319937,15.8,32.848716395,379,329.51766000000003,80539,71.079614759,18.07857614,1.0196395392,4.859787607,9.0100840055,81.134994632,290221,8.803604266,8.5008508871,87.836704615,9.811135639,10.794982375,,16.112989208,1.8800602402,8.2,16.887832922,6.1454526738
41007,Oregon,Clatsop,79.12035975,,,,63.711072664,15.5,6.0921829434,20.6,34.010069333,26,328.16229,59339,62.189873418,38.972434461,0.7259347653,1.628381066,8.6416070008,85.103420843,28475,17.014917644,17.621884703,82.962025316,19.683413627,12.779030123,,16.306729264,1.5530629853,5.1,18.214593246,13.097345133
41009,Oregon,Columbia,79.71862742,,,,57.24404909,11.6,3.8611580364,22.6,37.311428548,18,387.74497,72285,75.400335519,43.612084862,0.6513351415,1.1384039424,5.5697749933,87.84429079,36756,12.369939921,13.417415806,84.764373952,16.985335066,15.95964157,,13.869372886,0.6512583462,6.4,20.676114983,13.147914033
41011,Oregon,Coos,76.829092261,,,,54.504202931,21.9,5.0062503838,25.1,34.197513486,58,424.89184,49504,65.857539315,38.353187507,0.4574565416,1.274675516,6.8106750198,84.922542528,47579,18.676741606,12.969226619,77.772432932,24.356617647,19.083611245,,18.016997167,0.4460819139,6.0,21.768833075,7.3361823362
41013,Oregon,Crook,78.948285793,,,,58.936338474,17.1,8.0396795366,22.6,35.833464313,7,467.13653,58739,72.22569879,48.016970159,0.3728896902,0.6966071136,7.6462874939,87.997869202,17124,18.423577096,,80.997079683,26.689107959,24.222710521,,19.239013934,0.3663674666,6.8,20.809988711,
41015,Oregon,Curry,77.854907867,,,,54.56097561,19.9,5.0922169605,25.9,34.208084266,18,423.11887,51267,71.363550161,38.731890538,0.4580152672,0.8462377317,7.4460196292,85.718647764,18304,24.008541987,16.080225708,76.986535179,21.50893448,33.449820867,,17.53371869,0.8518672008,5.7,19.540421964,
41017,Oregon,Deschutes,81.652565733,,,,72.914449447,11.3,5.2545676735,15.5,33.89418489,197,469.41706999999997,71880,66.950280253,27.643549543,0.4653703741,1.277239342,8.2572891164,86.842664347,135615,10.791820273,8.3251960324,88.640670995,13.01945571,13.502825949,,18.662932644,0.9309722293,7.0,16.309009338,8.634667353
41019,Oregon,Douglas,76.888625745,,,,57.37508042,17.6,11.054918517,21.1,36.54469631,71,293.74662,48940,68.167018655,41.17789109,0.4577401334,1.1047035502,6.0659578302,87.47792395,80569,18.666477373,14.213652364,81.441393875,27.303225806,21.031071122,,16.451037252,0.6088897909,6.7,22.106376895,9.889224572
