FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
49001,Utah,Beaver,76.830630254,,,,57.689768977,12.4,3.9754011007,19.1,33.590613985,6.0,74.51565000000001,58309,74.145486415,56.524362649,0.2086438152,0.8196721311,12.414307004,83.845007452,3829,,,74.145486415,31.764038571,30.775859416,,11.879049676,3.1832035218,4.9,12.985304937,
49003,Utah,Box Elder,78.963193466,,,,63.409456888,9.1,6.5286511918,18.3,36.551047537,18.0,462.1204,69380,77.779042632,31.099549775,0.4139456875,0.8385968669,9.6902544339,86.687720801,31879,11.539813699,16.961986976,86.601400194,21.999564365,13.317992978,,9.3924273554,0.9929163892,8.2,11.548164374,7.8658536585
49005,Utah,Cache,81.524425528,,,,75.348145335,11.3,9.7603704621,13.9,33.293323087,57.0,172.2673,63180,62.980230771,15.687579889,0.8324953815,2.3392496629,10.929230098,83.542626414,62670,9.3176780812,11.058597401,87.844138254,10.47170488,7.2192783609,,13.996741787,1.8258154427,8.7,10.253894154,4.0995762712
49007,Utah,Carbon,76.231336098,,,,74.094424094,17.6,10.736899848,22.5,36.258981793,10.0,195.47476,52110,73.738663942,33.71489978,0.4740262914,0.6548404437,13.419342227,82.881297952,13082,15.325350219,34.410998411,80.699961681,21.160022671,21.588734606,,15.49744898,0.6496227997,5.8,14.505255378,
49009,Utah,Daggett,,,,,80.733944954,7.4,20.367278671,20.0,33.315203421,0.0,0.0,63433,87.116564417,100.0,0.2105263158,0.5263157895,4.4210526316,92.210526316,402,,,88.343558282,,,,8.2352941176,0.0,4.9,12.02787224,
49011,Utah,Davis,80.668162883,,,,75.342562013,6.1,6.1405698255,16.0,31.558650293,169.0,216.60792,87610,77.013132347,0.9194757226,1.2144108968,2.0867500654,10.160036683,83.215699292,201625,6.4152530398,14.315089337,91.343937409,11.939998436,9.2317190326,,10.175507789,0.9750678845,8.4,8.3873663689,4.7683605255
49013,Utah,Duchesne,76.386599195,,,,53.731890702,14.8,7.3956052567,22.4,33.659544269,9.0,170.52864,59437,75.145602796,68.210888375,0.351088374,0.5065703681,8.3057478182,84.642391413,11779,21.15432077,20.024028835,84.609784508,32.577079697,25.710245533,,13.308270677,1.021136426,5.9,15.023195434,14.855072464
49015,Utah,Emery,76.45683983,,,,67.937608319,13.6,1.482188448,19.2,33.425332787,1.0,109.86816,61893,76.889495225,73.642492711,0.3096284459,0.5393527767,6.47223332,90.601278466,6312,22.200946315,46.506992659,80.463847203,17.897943641,27.619404605,,9.5371669004,0.6869583598,5.7,13.175674654,
49017,Utah,Garfield,77.470492844,,,,56.901157614,13.1,25.163438389,25.0,34.087353671,2.0,118.78836,54625,79.488636364,100.0,0.4157592556,1.0690952287,6.513561671,88.160760245,3447,,,81.079545455,21.949078139,39.676241866,,12.250712251,0.8964781217,4.9,13.500990519,
49019,Utah,Grand,78.223521767,,,,66.014988596,18.6,9.1996906588,15.5,33.385995371,13.0,235.8007,53535,65.139584825,25.387533875,0.6766454788,1.5275784294,10.580274759,81.863850728,6911,19.381000656,,89.071820568,29.137529138,,,13.032258065,3.0352658587,5.3,12.778092344,
