FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
54001,West_Virginia,Barbour,76.332552385,,,,42.019635344,25.1,4.0750609212,31.4,45.130172573,7,97.31768,39710,72.043010753,83.72415456,0.967094459,0.3041177544,1.1130709811,95.511221945,11262,28.315485997,24.255654599,69.734345351,27.550091075,18.070547417,,9.2930897538,0.411913815,7.0,27.05450836,
54003,West_Virginia,Berkeley,75.683917369,,,,58.045995343,14.7,7.5634124174,27.2,41.710671815,50,172.02172000000002,63012,74.625178083,31.625531588,7.5118946724,1.114365072,4.8023428519,83.581576055,79428,13.319209945,61.500965223,83.347278442,26.690241644,16.648168701,,13.190436933,0.6775618865,8.6,24.564058053,9.8618572525
54005,West_Virginia,Boone,71.45265348,,,,40.737167117,24.8,2.6252553234,31.8,47.59945732,8,27.962899999999998,43697,76.589789521,81.408096147,0.7410169176,0.1258330615,0.6478072424,97.576548446,15984,22.516465165,72.996030841,76.623376623,48.785871965,19.652507928,,13.494623656,0.1316841462,8.4,28.322226753,12.583412774
54007,West_Virginia,Braxton,75.730937449,,,,37.36710444,24.7,8.7795892372,27.3,41.24721119,6,50.15404,39651,80.672119488,100.0,0.6663323064,0.2364404958,0.9099376657,96.639679014,10450,32.955839176,28.38020008,66.625177809,30.686612965,29.507229271,,10.818181818,0.0966111772,7.3,29.355101241,
54009,West_Virginia,Brooke,76.663224201,,,,64.364105875,16.1,7.3794879533,28.4,42.095131082,5,13.67428,50900,76.175420704,42.128879472,1.4221249829,0.5013902183,0.8979443001,95.628788915,16276,8.1159203141,34.542314335,74.390617032,20.671305772,10.627745501,,9.186746988,0.3398193837,9.1,24.273085932,
54011,West_Virginia,Cabell,71.346009233,,,,65.281377674,22.1,4.3712340821,27.6,42.672138447,158,286.04057,42125,61.803706738,21.558570998,4.7343520583,1.2627114036,1.4138887378,90.097340802,62993,11.990407674,126.72823398,71.411017817,27.431871503,17.549126984,,14.67445328,0.1908868378,8.2,25.574155007,7.7636620286
54013,West_Virginia,Calhoun,75.889497519,,,,40.794701987,25.1,7.7945590566,24.3,44.026426317,3,42.20003,37307,78.874734607,100.0,0.3516669011,0.1688001125,1.1253340836,96.947531298,5432,21.337264563,,69.355980184,33.872209392,,,6.7615658363,0.0,7.7,28.958934809,
54015,West_Virginia,Clay,72.734523719,,,,32.362637363,30.5,9.5244608114,29.0,43.673789101,1,47.01457,41923,81.429444105,100.0,0.2938410907,0.094029149,0.9402914904,97.273154678,6075,33.948721265,,73.79352474,38.983050847,34.346163534,,9.3610698366,0.1460564752,7.6,31.429121973,
54017,West_Virginia,Doddridge,80.591258991,,,,46.112730807,22.4,0.8430720046,23.4,42.719656229,1,11.837119999999999,50642,87.672253259,100.0,2.2253787879,0.3314393939,0.6628787879,94.945549242,6360,17.024753992,,67.076350093,33.381712627,23.807823251,,8.8345864662,0.267249757,7.5,25.970085456,
54019,West_Virginia,Fayette,73.167954161,,,,48.605065295,26.8,8.3632660274,32.2,45.627635502,20,54.237610000000004,41430,77.2662118,57.872673168,4.3460831014,0.2876951375,1.2168089421,92.326557563,31426,17.799583166,65.919578115,73.086405596,44.325134224,15.119235791,,10.426674202,0.1485015946,7.9,29.107610166,10.11011011
54021,West_Virginia,Gilmer,77.441293675,,,,46.107784431,20.8,2.908184584,21.0,44.76665523,3,38.34846,40373,68.921530731,60.715518233,10.226255912,0.7669691934,5.5093953726,81.554390899,5565,,,71.086200232,19.828510182,,,10.166358595,0.9666884389,7.4,26.670758265,
54023,West_Virginia,Grant,78.393756585,,,,45.556445156,19.6,9.9562920955,32.8,43.198990714,6,69.15629,47400,81.549815498,78.679735277,0.9941217151,0.2161134163,1.4090594744,96.213692946,8569,24.447486798,31.551170262,71.825482961,41.262135922,,,10.297482838,1.2603137184,6.6,27.36398472,
54025,West_Virginia,Greenbrier,75.262419351,,,,57.020484171,25.6,8.3247519174,24.0,44.888553298,46,100.97513000000001,43564,72.491440611,69.735062007,2.6772834805,0.5914257689,2.0973977266,92.522070279,25887,15.002595043,31.508091851,74.30208059,32.148075986,19.939611462,,11.045558833,0.1289858116,7.3,25.59632759,
54027,West_Virginia,Hampshire,75.652352987,,,,46.398694144,22.9,15.953774967,27.1,42.155724781,7,69.03991,54811,76.302756245,100.0,1.2642934196,0.3020496224,1.5059331176,95.555555556,17132,31.789698915,62.8634292,70.844099914,32.920051304,14.573885312,,10.801033592,0.0,7.2,28.301644618,12.549019608
54029,West_Virginia,Hancock,75.221323794,,,,56.71189146,17.5,9.3951706386,25.5,43.099310642,17,145.78270999999998,51017,72.692853762,30.310340331,2.6345019091,0.4928844151,1.6001388407,93.56126345,21762,14.481560147,52.660500046,77.173055687,24.599329109,12.946571543,,11.637931034,0.1501072194,8.0,24.827574403,
54031,West_Virginia,Hardy,77.177133835,,,,44.385026738,20.6,14.358311882,27.3,44.515668134,2,58.07201,46658,73.827987311,80.520499109,2.7221254355,0.7041231127,4.899825784,89.924506388,10104,25.812580019,29.078220413,79.64399013,34.837688044,20.287208915,,8.4532374101,3.154912321,6.8,26.822714626,
54033,West_Virginia,Harrison,74.951927762,,,,58.422808614,16.5,4.4871200878,25.5,41.950814355,77,220.05471999999997,53909,73.935345782,37.049740228,1.8080171286,0.6482692994,1.733674319,93.961877007,48274,16.126735195,34.053725922,78.762270278,32.255627738,20.015600394,,10.058097313,0.0687274488,7.6,23.97864736,12.894649385
54035,West_Virginia,Jackson,76.303643325,,,,58.975903614,23.0,5.3327708881,24.2,43.285860555,10,83.98656,50808,76.733721546,71.438841532,0.5774076148,0.3394456887,1.0078387458,96.801511758,20592,18.231001572,23.186255188,73.883889183,33.379937085,12.444088021,,9.7757847534,0.0548385917,8.5,26.814903761,
54037,West_Virginia,Jefferson,78.008979392,,,,64.828646749,12.5,1.1822752973,21.3,38.595342549,30,89.24509,75225,76.434828395,48.373770982,6.1089140097,1.5679137647,6.2769047702,83.22017289,39121,11.423320328,43.454006283,85.314250156,15.48200122,11.301629907,,11.893320519,0.6067188495,8.3,21.429109353,7.0690768238
54039,West_Virginia,Kanawha,73.260973511,,,,60.526492512,21.2,7.6983643537,26.0,41.201295767,246,199.29936,48334,69.066649804,25.188151018,7.4947789181,1.0593743684,1.1694100739,87.701825694,132579,14.022198218,71.050120785,78.207917036,34.111411818,22.04171777,,10.66467327,0.3218512793,8.3,25.437100549,11.55772755
54041,West_Virginia,Lewis,72.415765741,,,,45.039787798,28.0,2.2886789535,35.8,43.415361317,11,176.02313,46895,71.508974749,68.989738578,0.6286540517,0.5657886465,1.2447350223,96.096058339,11603,22.851116189,35.301202317,70.292059629,41.890440387,22.245841264,,11.38952164,0.3294892916,7.3,27.387064214,
54043,West_Virginia,Lincoln,71.15254968,,,,46.984256798,25.9,0.0177614604,36.6,45.486768454,8,53.89779,43198,77.814327485,100.0,0.3919839287,0.2057915625,0.7349698662,97.515801852,14738,23.035230352,64.690375689,72.709551657,46.065737052,16.271056662,,11.373523928,0.1221187605,8.6,30.738749946,
54045,West_Virginia,Logan,69.672563026,,,,44.411764706,26.6,2.2502876768,38.6,46.427181087,15,84.32493,38533,72.647654893,70.750891326,1.7926855929,0.2623442331,1.0056528936,95.911802367,24066,20.228156751,85.083699808,79.55269253,49.591868166,14.461490257,,11.981402003,0.0159877214,8.5,29.467273061,14.218958611
54047,West_Virginia,McDowell,69.005889536,,,,23.869926199,44.2,0.6351483886,36.0,47.38197881,5,34.04448,29106,78.67753385,85.990141546,8.125283704,0.1588742624,1.3958238765,88.725601453,13663,28.231168696,58.928604313,65.558038649,54.945054945,38.593895732,,10.324675325,0.3912895543,8.4,34.679921815,19.329896907
54049,West_Virginia,Marion,76.052555728,,,,59.756282168,19.4,5.2985588091,27.4,41.989285299,28,98.08817,51300,74.622699119,41.483214577,3.2030246826,0.6224140391,1.3589670424,92.907333428,38684,12.637751491,30.265984594,81.706359592,23.024943689,16.668499019,,9.9691901408,0.4293057674,7.4,24.776341292,5.1978537894
54051,West_Virginia,Marshall,76.651963812,,,,54.142472738,19.2,9.0588161175,28.6,43.199722088,11,22.927519999999998,53145,80.110497238,48.992660163,0.7500573188,0.3668402607,0.9826078412,96.577249353,22996,11.756619881,24.863252113,71.95320117,28.725920919,14.077567396,,8.4679007483,0.0538394239,9.1,26.453710215,
54053,West_Virginia,Mason,73.401724723,,,,50.509791228,22.1,8.4842542516,33.8,43.408309125,12,22.627850000000002,47753,79.463476527,65.008783487,0.8975712777,0.2866193996,0.8032885805,96.553024589,19272,19.144964608,47.479227838,69.621170926,39.330375151,18.67106806,,11.868231047,0.0,8.8,28.154667238,11.717495987
54055,West_Virginia,Mercer,72.707168693,,,,52.511813886,25.6,8.5093214253,31.8,44.41239158,37,137.85357,41794,69.515387056,40.731401773,5.8970693352,0.5871540897,1.2406821199,90.32472174,42496,17.019546476,51.226624334,71.272208122,45.405315338,24.726504808,,12.74980016,0.7523055954,7.8,26.155527135,8.3816013629
54057,West_Virginia,Mineral,76.463287386,,,,54.499579479,19.1,5.0081553921,26.1,41.883532766,9,85.60369,49704,76.026016856,64.593080958,2.9030817329,0.6290010421,0.9937472086,93.683936281,19369,9.4155062927,34.555103048,78.755954562,26.887107548,16.92520531,,6.6962305987,1.3681640247,7.2,24.699494561,
54059,West_Virginia,Mingo,70.686212475,,,,38.935622318,33.5,2.3895022247,45.7,48.714960228,4,145.15027,34698,73.545376631,89.738812921,1.912568306,0.2860314208,0.8580942623,95.602800546,17248,23.135964278,46.259952899,71.65984192,59.465478842,13.19315605,,9.945004583,0.0306533544,8.7,33.625712147,
54061,West_Virginia,Monongalia,79.552200586,,,,73.200457442,14.2,7.0978715661,19.1,40.638359683,146,273.64315,55652,56.767850808,26.862738983,3.7694580161,3.356626141,2.2270196569,88.300571905,65553,7.7905357292,24.916262434,86.081690569,10.355805899,9.1268634013,,18.003124186,0.4002595199,7.4,20.96478599,1.9915741095
54063,West_Virginia,Monroe,76.953386903,,,,42.064876177,22.9,5.4477516712,27.5,40.346245722,5,60.26365,44655,78.681357118,88.520219227,0.790960452,0.1807909605,0.9868173258,96.218455744,9972,26.624635242,25.026903922,68.485484435,36.241045091,20.9477354,,9.7162510748,0.4066630171,7.4,27.699602144,
54065,West_Virginia,Morgan,75.356313798,,,,48.625618472,16.4,7.4372706485,26.2,40.77983856,9,55.91590000000001,50660,83.270702853,100.0,0.8890628495,0.4137776784,1.6607023037,95.112950123,13213,26.728439059,59.97338681,76.673625609,20.512820513,31.63377131,,14.957865169,0.0946409559,7.8,24.544832084,
54067,West_Virginia,Nicholas,74.627075556,,,,49.684542587,25.1,2.6852105307,31.3,42.85215196,23,61.23449,40023,79.431919754,87.157397172,0.6000979752,0.3674069236,0.7878837361,96.742325278,18297,23.7183614,22.855299068,77.475419605,38.364346428,27.936082244,,9.2314901593,0.0,7.5,27.978827294,
54069,West_Virginia,Ohio,75.841947225,,,,69.74005305,17.6,8.0936078385,23.6,39.748717941,70,318.75588999999997,50390,69.807479788,23.092500506,3.549781459,0.8089638019,1.2967569003,91.951413876,29750,8.3938248309,47.124224247,71.825743035,22.481837817,13.283803722,,9.7506304287,0.2476857643,8.2,21.940009099,6.890684815
54071,West_Virginia,Pendleton,77.697240499,,,,43.859649123,19.3,18.137756712,30.0,43.029542175,3,71.74631000000001,43451,80.497794581,100.0,1.9801980198,0.1865403932,1.4923231454,94.76251973,5277,35.939621436,,58.758664146,42.553191489,,,10.561056106,0.1046963805,6.5,27.873468892,
