FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
48001,Texas,Anderson,73.305890849,4.5209954469,4.5834909142,96.415285451,37.833027721,23.8,15.497338722,26.8,38.046182292,19.0,43.30129,48461,69.592852431,67.063532793,21.01844635,0.9318437689,18.203862475,58.26275223,42073,19.287261506,13.830222494,67.943874798,43.729372937,15.232978013,9.5454545455,13.824328403,97.3815393043,8.5,21.803297552,8.152173913
48003,Texas,Andrews,76.847432645,4.1702195779,4.2829020251,95.0,37.414829659,12.7,11.697018786,27.1,35.772632725,9.0,16.03849,74918,74.107303068,16.502096578,1.5076182839,0.6950013365,56.615878107,39.887730553,10700,36.087765446,,86.183384174,56.350626118,,29.047619048,14.035087719,90.9190172884,6.3,17.323889508,
48005,Texas,Angelina,76.300562504,5.0595738699,5.0769664126,93.831960461,54.832807282,22.6,10.95047622,33.1,37.259660659,51.0,136.07796000000002,51750,66.154341872,43.082366228,14.993945684,1.0644063887,22.718099521,59.905437352,57275,19.580679743,12.231854808,82.274850975,39.186460237,13.252356863,18.764044944,17.329453605,95.8507855011,9.0,20.430679067,10.998271392
48007,Texas,Aransas,76.832802641,4.6349410932,4.7214042938,93.0,44.031954887,32.1,19.935814023,33.8,36.624186921,9.0,80.81667,53085,80.194805195,27.260557907,1.2760527435,2.0884729902,27.903019991,66.822628669,17878,20.199338616,17.839009798,81.755341433,36.754176611,27.431522046,19.411764706,15.267576076,97.1491040041,7.4,19.632204345,
48009,Texas,Archer,80.275143301,3.8625925482,4.4225275019,96.222627737,61.729045862,12.8,5.4338379588,17.9,35.245731445,,,63731,83.661645423,88.988292467,0.8184262832,0.4793639659,8.1725710277,88.273120542,6137,27.842379377,,75.405561993,22.877478393,,,9.552238806,98.7651331719,7.2,18.327784152,
48011,Texas,Armstrong,78.780267152,3.6885234446,4.3040138526,,77.696078431,16.7,19.804288477,21.1,34.008249465,0.0,,64424,88.040345821,100.0,0.7949125596,0.3709591945,9.1679915209,88.129305776,1400,,,81.556195965,,,0.0,9.2857142857,98.9757412399,5.8,17.128596989,
48013,Texas,Atascosa,77.965713649,4.3102571891,4.3276547577,94.638704319,40.764785053,19.0,8.1379763808,35.7,35.88656793,11.0,39.09839,57309,75.331274926,60.711184342,0.8621195238,0.6216644185,64.830997204,32.807459973,31431,18.683785685,8.6410890431,80.219992281,44.666984581,13.323858589,15.925925926,14.893617021,95.6985029744,7.8,16.99105586,16.476868327
48015,Texas,Austin,78.761417954,3.9397727586,4.3312707198,94.201754386,59.235187424,17.0,3.4972102771,26.9,35.721519521,5.0,39.95738,68311,76.214494293,66.344089805,8.5242408098,0.7991475759,27.820324987,61.357884923,20235,18.349598482,,74.250066366,28.21687103,19.446381632,11.379310345,15.108892922,95.153334763,8.5,17.085372038,
48017,Texas,Bailey,79.058526329,4.5100079754,4.3783608787,97.5,44.80369515,25.8,3.634954571,18.9,36.198034679,2.0,28.57143,46174,74.58617332,28.750872296,1.1714285714,0.9142857143,64.014285714,33.028571429,4269,34.330257073,,70.545277507,61.398825414,,,18.834080717,88.632941885,5.9,18.085938419,
48019,Texas,Bandera,78.80727328,3.9578905301,4.3106608479,87.768817204,62.923351159,23.6,13.055285758,27.1,35.197840153,5.0,86.53513,59604,85.022026432,100.0,0.9691934926,0.5668051229,19.751644168,76.748009692,16904,21.593325699,16.108483313,81.819264198,18.776824034,17.964286997,24.375,12.379227053,98.2459440395,7.3,18.006468625,
48021,Texas,Bastrop,78.28675616,4.1685869563,4.4091975229,94.181493249,49.668907394,23.8,11.401628331,27.3,36.734783073,24.0,57.482279999999996,62627,77.673927496,63.85244907,6.5507252911,0.9287332484,39.661643542,51.123158595,55546,29.950797591,9.2144667127,80.403582183,33.119155827,17.464363259,21.208791209,16.701902748,94.6343809729,8.1,17.858328474,5.9430365553
48023,Texas,Baylor,73.765306675,4.0940871908,4.5391013778,,56.107954545,24.5,3.7217347153,24.7,35.829731067,5.0,,41539,72.352941176,100.0,2.5363351382,0.4844685095,14.163579367,80.36477629,2534,,,74.705882353,36.443148688,,0.0,6.0790273556,100.0,6.5,18.863990235,
48025,Texas,Bee,75.879746191,4.8124308496,4.4488341804,91.154929577,38.487443472,27.8,11.472408006,18.8,38.58255696,7.0,46.06172,44171,62.704075463,42.97730768,8.3279594657,0.6417933364,59.315215722,30.81222171,22009,18.77721058,,62.933849317,48.821808101,10.407802178,20.740740741,16.471277843,97.4829045913,7.7,20.253418586,
48027,Texas,Bell,78.216763949,4.0996023887,4.231980682,74.140164078,69.730453547,18.4,12.771133791,23.9,38.476730577,280.0,224.84046,54831,54.309677314,15.186229794,22.229723027,3.1615434636,25.559070219,44.569110888,211519,14.555409399,10.87772963,84.993764722,36.688952563,17.1092194,17.548746518,14.919025731,97.6286952649,8.3,18.135853795,8.0840659626
48029,Texas,Bexar,78.893612819,4.1375770559,4.2194909499,89.702697592,62.836618841,22.4,10.666262098,20.9,37.216789489,1507.0,188.0159,58956,58.526511014,4.5390847652,7.4147240354,3.2664954376,60.681568852,27.085618855,1247428,11.042460305,11.785115483,81.274823378,30.531820626,12.696153526,20.560606061,17.666310978,94.0723130175,7.9,14.578222544,7.7364578925
48031,Texas,Blanco,79.505914163,3.8046100753,4.2271214801,97.5,52.842003854,14.7,1.0159346382,23.7,35.117758545,3.0,8.38153,68404,78.586230716,100.0,1.0812169977,0.9471125639,19.679825664,76.481434917,8650,17.678999874,,85.263642643,16.417910448,22.547914318,,15.130023641,97.78930131,7.3,16.515455682,
48033,Texas,Borden,,3.2610817901,3.8484147423,,85.15625,15.4,15.007429438,22.5,33.379486115,0.0,0.0,71926,75.77092511,100.0,0.9174311927,0.1529051988,17.889908257,78.899082569,418,,,79.735682819,,,0.0,4.0,100.0,6.0,14.226680768,
48035,Texas,Bosque,76.964130686,4.3587664062,4.6506284404,90.99137931,53.105161468,19.7,3.5234113757,27.5,36.045142546,11.0,21.40755,55179,77.367910137,81.215681968,1.7286593524,0.6422263848,18.908215146,77.120685041,13106,27.488709994,21.543212093,74.70531133,28.835690968,10.906314756,12.352941176,13.238434164,97.7016804296,7.9,19.674340918,
48037,Texas,Bowie,75.294840397,4.535809943,4.7181215806,94.586644125,54.360735205,23.3,8.777039207,35.7,38.924148874,66.0,105.09947,51207,63.458152365,35.424836601,24.986862566,1.2268754357,7.8427797737,63.134752534,63248,14.795787624,9.2335775496,72.399929569,47.669120224,17.916942175,17.954545455,15.269822128,98.7538049573,9.2,20.24801343,11.945620682
48039,Texas,Brazoria,79.412858214,3.5247691379,4.1131585756,93.684173948,67.997757349,11.1,6.8551565245,31.7,37.444347894,233.0,71.60721000000001,83704,72.122149717,22.52862699,14.36632965,6.9467007246,31.568892546,45.315606096,235400,13.490621595,10.660200683,87.128362532,25.038482546,10.512175312,22.871794872,13.29746349,96.18267620820001,9.7,15.239160021,8.7392550143
48041,Texas,Brazos,80.966472445,3.7732533177,4.3022241591,87.139633286,71.526418787,19.4,12.433637868,19.4,34.746130923,196.0,98.16282999999999,54471,47.12763814,12.063576784,10.599840322,6.2815484423,26.209475112,55.151367081,118579,9.6294369924,3.9776134025,81.893164761,17.116060961,7.0899517435,24.827586207,26.187403201,95.7333766525,8.4,15.825890529,1.9573662715
48043,Texas,Brewster,81.289649284,3.8979865584,4.0645775325,94.076086957,61.564918315,19.8,13.048238462,21.6,34.570263512,7.0,130.39226000000002,48581,57.80332681,34.867850953,1.3039226339,1.7385635119,45.191785287,49.788112572,6810,15.477240718,,76.54109589,24.484536082,30.334546715,24.285714286,16.79389313,97.500570646,5.7,14.995705589,
