FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
51001,Virginia,Accomack,76.803158062,4.7861115084,4.8979254483,83.0,45.083758194,28.5,2.0922692432,32.8,40.560575274,13.0,114.49437,47335,66.803095699,100.0,28.171803441,0.795271692,9.1440772373,59.883648966,23507,18.31166453,14.392483012,68.492335169,29.916025192,15.319284528,24.0,13.082039911,95.141437433,7.3,23.360403299,
51003,Virginia,Albemarle,82.701359689,3.5103154316,4.0497421478,,78.684030158,7.3,3.6555614593,14.9,33.900104288,154.0,143.60194,86332,63.295257374,45.022734162,9.4036403549,5.5346199579,5.7742614104,76.872770511,72937,8.178917165,7.6745970837,85.304607673,5.2432016115,8.3591693586,18.787878788,13.257528427,98.2385703883,7.1,14.088672154,
51005,Virginia,Alleghany,76.31361389,4.7371502234,5.1144567924,86.0,51.467268623,18.8,4.7272220293,31.4,39.795217249,7.0,26.9179,53341,76.242424242,52.393846154,4.5895020188,0.3095558546,1.601615074,91.406460296,11228,18.493689029,,69.742424242,27.534823453,13.129562523,41.428571429,11.507647487,99.882629108,7.2,24.310334355,
51007,Virginia,Amelia,76.146373876,4.3795194142,4.6901939391,92.5,46.735640385,13.8,5.7564333926,28.5,38.496271628,1.0,60.85964,60096,84.396447315,100.0,20.251046025,0.6085964245,3.179916318,74.012932674,9283,28.699472371,,71.941865159,16.181229773,29.233467705,33.846153846,13.510638298,99.0894175554,7.9,21.852501253,
51009,Virginia,Amherst,77.986062961,4.3736226769,4.6816472354,91.0,61.023565129,16.9,6.1505470916,27.4,38.497436558,8.0,18.98434,56218,77.121710526,63.663338794,18.911564626,0.5695301376,2.4268311976,74.896377156,22723,13.475212347,,69.152960526,20.09832273,13.88783678,26.428571429,12.262592898,99.5607467306,8.0,21.562972388,14.358001265
51011,Virginia,Appomattox,77.385838114,4.5133133151,4.7262196142,92.5,64.551920341,18.5,0.7037307083,30.2,39.717791344,2.0,18.85488,54609,77.770481038,100.0,18.427502985,0.3833825655,1.8854880272,77.06618063,11114,17.454251488,,69.446724676,25.550942191,21.705267996,,10.924369748,99.7299669209,7.9,22.46135804,
51013,Virginia,Arlington,85.922105022,2.7526284937,3.4671844281,85.0,91.077800085,9.1,0.0839652071,12.2,30.9203805,179.0,197.60009000000002,118986,42.746094626,0.0,9.0744040331,10.954560424,15.601540267,61.351027267,172979,2.7154526536,6.7669681727,91.25682039,9.5161236087,2.7384552716,24.670658683,15.584986805,96.2038344187,7.7,10.087906915,10.247699929
51015,Virginia,Augusta,80.839343589,3.8937844336,4.5037579216,92.0,50.439497717,10.6,4.1184775171,25.6,36.940664096,38.0,74.11525,63621,79.318866583,66.437966102,4.4747081712,0.6485084306,3.141957172,90.195611318,55109,15.862580364,15.475837796,75.82518027,17.026578073,12.783977415,24.366197183,10.263980549,99.3372493756,7.7,19.110166495,11.757754801
51017,Virginia,Bath,76.478159406,4.9327332881,5.1739102056,,64.441887227,13.6,9.2154893546,24.9,40.843486644,1.0,24.11382,54385,75.347029428,100.0,4.5333976368,0.4822763443,2.1943573668,91.102001447,3148,,,68.6285397,28.225806452,,,12.466124661,99.0738484036,6.6,24.687761808,
51019,Virginia,Bedford,79.033036383,3.7251359309,4.2990993888,89.0,67.960260789,11.0,1.6812534119,20.9,35.872207119,57.0,54.432449999999996,66591,82.102372513,78.432057779,7.0724204717,1.2342240845,2.3671785004,87.572945808,56691,14.344616539,13.999779397,76.143947377,14.953155054,16.095983158,22.467532468,8.6499595796,99.6450908701,7.8,18.765852855,
51021,Virginia,Bland,77.506590021,3.9770526048,4.5259928191,92.5,42.521631644,15.6,8.5047704982,27.1,38.814154836,,31.84713,49023,81.411068864,100.0,3.949044586,0.5732484076,0.9872611465,93.423566879,4945,22.047313535,,70.764681031,13.278855975,,,8.59375,100.0,7.6,20.654108846,
51023,Virginia,Botetourt,79.32984096,3.6982421694,4.2088001124,95.0,66.063348416,7.9,8.4269564887,18.0,35.663588028,18.0,41.89234,74178,86.301266586,64.097381441,3.1598791107,0.7839851581,1.7534935216,92.65387953,24512,11.609507757,20.022425116,80.179433052,10.065645514,16.820251583,30.9375,10.271903323,99.5426638266,7.6,18.736580265,
