FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
4001,Arizona,Apache,70.134960561,6.6352043765,6.5210577993,78.983827493,54.170324846,44.4,,29.4,39.614527279,31,104.34782999999999,36319,79.674494304,74.061075533,0.4716521739,0.4326956522,6.8173913043,18.106434783,45607,60.961080222,18.554596901,,30.197795561,16.930429811,,28.904143172,5.3305667926,2.5,23.9,15.479009688
4003,Arizona,Cochise,78.247948135,4.2120191378,4.5105917367,88.851665376,65.705117492,20.7,,27.2,34.516592844,75,122.40094,51171,69.094801343,36.30106741,3.9278148293,2.27069439,35.539427226,54.783836799,88371,13.227169284,25.253720978,,30.171242185,20.45450221,,13.847715736,3.6733597475,5.5,17.6,9.8693999008
4005,Arizona,Coconino,77.965251028,4.301769744,4.8431996728,83.514362057,71.555555556,17.3,,20.5,32.562213887,116,221.78395999999998,57146,60.774032969,31.46606557,1.2857854732,2.0886995459,14.611772798,54.018430528,84314,21.169401807,23.55350026,,14.068086429,15.763657732,,24.061343205,2.1014239766,5.9,18.1,2.9214064116
4007,Arizona,Gila,72.677026021,4.7379237476,5.0922396155,71.045454545,52.198680792,26.2,,27.2,39.71523444,22,73.66076,49280,75.18536607,41.061999739,0.5782369298,0.8894536213,19.153637921,61.742445169,39740,27.959365722,30.824240182,,44.255319149,30.453044747,,16.605251036,1.1987443594,5.8,19.8,15.002852253
4009,Arizona,Graham,76.9683221,4.5588167264,4.7516461717,87.152806653,51.281813975,16.3,,30.2,36.166662059,18,40.80488,55419,71.492774057,46.437399248,1.4613246283,0.7956950856,33.546708832,51.036698886,24069,16.116458277,25.835342749,,35.58319739,13.599393258,,16.512059369,1.7979235249,5.3,17.4,10.72319202
4011,Arizona,Greenlee,79.922212028,4.109297607,4.3746443535,92.004504505,54.53100159,9.0,,26.7,35.218952983,5,10.705490000000001,67530,51.047040971,46.568685552,1.6272347714,1.038432716,48.281768547,44.866716626,5721,18.109107372,,,37.621922898,,,7.7519379845,1.809643798,5.2,15.2,
4012,Arizona,La Paz,77.702550268,5.001936598,5.0674201674,88.798882682,37.428493598,26.3,,31.5,39.054591313,6,83.79888,41637,71.807010475,56.327785641,0.8426443203,0.9683426443,28.03538175,56.852886406,16600,37.934435501,28.263668624,,43.9373297,37.283469083,,15.600448934,4.4090569793,5.1,19.5,
4013,Arizona,Maricopa,79.637280503,3.8041558932,4.2786381485,77.270445676,66.603549889,16.0,,24.8,34.96924107,3161,156.53796,71799,63.157383842,2.3637996949,5.7065380586,4.7697343637,31.516760678,54.119396447,2952370,11.152396591,29.075378475,,21.110304403,14.515093495,,17.543473186,4.5054194644,10.1,14.3,7.9280313744
4015,Arizona,Mohave,75.46716119,4.4794046413,4.9556276616,77.819484241,51.304753029,25.5,,31.1,39.250596367,114,75.50436,46678,70.433455366,22.963643811,1.1187536256,1.325009438,17.173098349,76.39614007,162227,18.020067366,22.850453175,,27.252696277,28.438651456,,16.27770954,1.6552845206,6.3,21.0,15.929778934
4017,Arizona,Navajo,71.398138372,5.6708666653,5.8263556992,76.376221498,52.305020524,31.5,,28.4,36.778262487,64,91.87241,46698,69.691809042,54.138242329,0.7893891822,0.632403311,11.890787784,41.908091908,71918,36.288387326,23.689505549,,36.875118799,23.711995192,,24.008138352,2.8925338597,5.6,20.7,13.796644985
