FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
21001,Kentucky,Adair,74.732247889,5.580665348,5.7982468618,97.5,48.500114495,33.3,,39.1,42.793032898,7.0,230.12017,42429,77.299384923,75.455617496,2.8892866275,0.5113781642,2.3676809,92.513423677,13093,27.413905518,,,20.861244019,12.404767566,,11.680911681,0.16883612,8.4,28.7,
21003,Kentucky,Allen,74.731032952,5.3553538453,5.675820764,96.0,54.515050167,23.1,,36.3,41.271453959,3.0,61.02427,49980,75.460593654,78.698135899,1.1688494578,0.3004271699,2.3189222175,94.742524527,14469,20.501886174,29.808597427,,29.425612053,24.690420117,,12.670565302,0.2338348922,8.3,27.3,
21005,Kentucky,Anderson,75.368695274,4.8041361821,5.3274383654,93.0,62.911229553,13.1,,31.3,42.819126748,6.0,70.07402,65443,75.482471166,41.697399748,2.1372574782,0.7576752945,2.1503963562,93.137126089,15532,13.391832258,45.425904488,,31.926065953,14.166187082,,11.246376812,0.2463287541,9.0,22.9,
21007,Kentucky,Ballard,76.500034974,5.1532501106,5.5443987464,97.5,59.616502034,22.4,,32.8,42.584079378,,12.871669999999998,48623,78.73525557,100.0,3.475350753,0.4633801004,1.4802419874,91.980949929,5615,33.81926274,,,36.40776699,,,9.886547812,0.0532410488,9.3,24.9,
21009,Kentucky,Barren,75.271012283,5.6016290245,5.787083353,90.071320182,49.2384328,25.2,,37.8,43.31108016,35.0,162.52822,45298,65.564627415,63.275081213,3.8916478555,0.8442437923,3.460496614,90.047404063,30068,21.481787675,15.068751177,,38.808566148,18.592502233,,16.209843796,0.0,8.6,28.1,
21011,Kentucky,Bath,71.950647869,5.5316247028,5.8252248893,92.5,40.561677924,33.3,,37.4,43.852492646,1.0,296.4506,41778,71.566018424,100.0,1.2418876693,0.4967550677,1.6585209518,95.080522394,8288,27.744702496,37.469221711,,42.045454545,19.333322593,,11.567567568,0.0086437894,8.4,28.0,
21013,Kentucky,Bell,70.609986475,6.7276114178,6.5492525233,97.203647416,41.012461059,38.3,,44.0,44.33530163,13.0,31.39471,30202,63.099771516,62.479523195,2.4605603956,0.4159799074,1.2322423672,93.85056118,18692,23.503143545,40.98203194,,52.840683353,16.654806426,,17.68738574,0.0,7.6,33.8,
21015,Kentucky,Boone,78.931718039,4.0712393261,4.7091246168,94.259710145,72.409364236,8.0,,26.8,39.910000128,84.0,119.64903,82393,75.86672575,13.272340103,4.0481254985,2.5377411445,4.4964400721,86.648054595,86983,8.9725451062,34.705750169,,16.888132487,9.3971572084,,10.602305786,1.676853918,10.1,18.1,
21017,Kentucky,Bourbon,75.234794455,5.1136825577,5.3964918939,90.931558935,55.299845098,21.6,,35.1,41.684588826,16.0,130.6467,52368,62.941176471,44.748561421,5.6379076428,0.5326365509,6.8941259233,84.829908045,13823,25.71061277,55.116663605,,26.561731431,14.009526478,,12.300123001,1.6469073548,8.9,24.9,
21019,Kentucky,Boyd,73.763759745,5.0335027514,5.4137009392,95.0,63.216409549,21.9,,34.4,45.728025829,51.0,778.22685,54694,67.638499973,25.317912075,2.6077048757,0.6298907903,1.9735144896,92.991658784,33923,8.9889795111,69.763799707,,35.69023569,16.484561574,,12.473404255,0.2485222998,7.9,24.9,
21021,Kentucky,Boyle,76.729622031,4.8890486424,5.2669869754,95.139945652,60.425909494,18.3,,32.5,42.180612796,20.0,250.27168,53374,68.923188013,34.819921216,7.8374551322,1.0406032865,3.3885467778,85.217505845,20112,13.810576044,28.720713157,,24.960380349,15.950129263,,12.790168411,0.589919017,8.7,23.4,
21023,Kentucky,Bracken,73.747377836,5.2425249789,5.6228636219,92.130434783,51.818634778,19.9,,36.3,43.258088657,2.0,24.1371,55112,75.883640913,100.0,0.6758387642,0.1086169442,1.8102824041,95.522568187,5744,25.763457112,,,25.743707094,24.099289071,,13.185185185,0.0,8.8,26.4,
21025,Kentucky,Breathitt,68.438239357,6.2831603773,6.2561404228,87.895683453,47.230864966,37.0,,41.4,45.722567484,7.0,247.01194999999998,33852,71.747775043,81.503098429,0.5498007968,0.6454183267,1.3147410359,96.175298805,9105,43.942040449,42.209676568,,52.810902896,26.506174379,,14.379699248,0.0,7.9,30.7,
21027,Kentucky,Breckinridge,76.020141511,5.4308566271,5.7172509616,89.774907749,51.376146789,22.6,,37.5,43.293388675,5.0,97.38521,50292,81.813478205,100.0,2.1570823392,0.3749330477,1.9525734041,93.553099284,14083,31.121799406,17.914725905,,32.400932401,15.767585786,,12.247557003,0.5332775657,9.2,26.9,
21029,Kentucky,Bullitt,78.087145584,4.6358183298,5.2280844403,92.0,57.618639222,11.2,,31.6,40.990579067,15.0,94.91129,71835,81.402805611,30.413487803,1.3883818841,0.6376092088,2.5370519092,93.552116035,56737,15.686805792,40.828491755,,19.931629874,17.06552171,,11.029787234,0.2334133111,10.0,23.6,8.6481349489
21031,Kentucky,Butler,73.028691085,5.4401027581,5.7092753337,92.5,48.084170854,22.2,,34.9,42.059628919,1.0,78.72156,44933,72.1957288,100.0,0.6533889632,0.3385027159,3.5031095017,94.261198142,8960,31.165477555,,,44.045676998,20.302982977,,10.610610611,1.5759192863,8.9,27.3,
21033,Kentucky,Caldwell,74.263581935,5.1796950683,5.5666452083,97.5,57.1019678,23.3,,33.6,41.993040938,5.0,63.05667,47670,74.324065197,54.636475662,5.5332229842,0.4729250414,1.7655868212,90.454796248,8957,22.532164665,,,43.065981825,17.36220721,,8.8888888889,0.0835631319,9.1,25.2,
21035,Kentucky,Calloway,76.771849361,4.9636591156,5.3331552789,95.205438066,68.463862422,17.6,,32.9,40.402205969,17.0,76.33587999999999,47438,62.806609863,48.718776048,4.0127226463,1.7557251908,2.8066157761,89.51653944,24464,16.211217426,17.030552812,,15.722034431,17.967883691,,16.905737705,0.2670911347,8.9,22.7,
21037,Kentucky,Campbell,77.32893924,4.3073330095,4.8973109613,96.678787879,75.021093656,11.5,,27.1,39.240967416,60.0,151.0317,64151,70.446541388,15.296227418,3.0450967879,1.1040204212,2.1761327377,92.003828973,64375,8.3159570897,53.427175198,,21.155522922,9.2382722282,,12.971633159,0.3739249657,8.7,20.8,3.1332082552
21039,Kentucky,Carlisle,74.716070899,5.4195649616,5.705577503,,46.481481481,23.3,,36.1,43.076844429,2.0,,46935,81.714285714,100.0,1.4279624893,0.3836317136,2.3870417732,92.732310315,3299,38.488867835,,,38.662486938,,,11.633663366,0.3389064618,9.2,26.7,
21041,Kentucky,Carroll,71.305341881,5.6300106025,5.7709566509,87.5,45.326409496,23.9,,38.3,43.342198501,3.0,65.23765,52640,65.828544061,52.22458607,1.7054986021,0.6150978565,6.7660764212,88.490214352,7127,23.998720068,46.731883606,,56.21956618,,,15.829145729,0.0301053688,9.1,27.9,
21043,Kentucky,Carter,73.508295567,5.7925579604,5.9846600529,97.0,47.691292876,23.4,,40.9,44.688111035,5.0,203.45112999999998,44720,78.730257689,79.37950938,0.7083113556,0.2788034059,1.4241579384,96.47728129,18403,22.761679918,48.541876704,,41.637871458,9.6630566478,,13.390170512,0.0831913798,6.3,28.9,16.46090535
21045,Kentucky,Casey,74.474327529,6.0130557072,6.0800222639,97.5,38.538295577,32.9,,40.1,45.505566709,1.0,118.26217,35069,76.587301587,100.0,1.0145649197,0.3734594796,2.8507406946,94.441678078,11128,26.037691804,29.098164737,,44.032796842,22.590928487,,8.4518167457,0.8254010517,8.5,30.0,16.382699869
21047,Kentucky,Christian,73.761769347,5.3316350244,5.4038136333,91.0,64.875710042,21.8,,33.8,43.541283192,45.0,503.65147,46950,46.901942752,28.555202488,21.221914435,1.5697137581,8.2333025546,65.115140323,40563,17.065659131,18.257572211,,57.085887305,20.203324008,,16.452492212,0.8514517948,8.2,26.4,8.7585481326
21049,Kentucky,Clark,74.057131362,4.8997563199,5.3455689396,97.0,62.918955274,20.9,,32.0,42.216381464,17.0,90.5027,58340,68.996981339,27.467497824,4.6293503003,0.6938540438,3.2471272249,89.630584428,25570,17.039488023,65.152557926,,36.388888889,11.059500111,,12.374350087,0.9273706833,8.9,23.7,12.622720898
21051,Kentucky,Clay,70.746153731,6.77842017,6.4606884834,87.5,32.571428571,47.5,,44.1,47.14497927,7.0,66.22179,26866,68.918191604,78.568798896,3.6574805155,0.2037593602,2.09872141,92.720696857,14396,21.689090388,31.859416134,,51.75506021,21.832111066,,16.918032787,0.0899375727,8.0,33.5,
21053,Kentucky,Clinton,74.08252664,6.2383488259,6.230137316,92.5,44.041666667,31.7,,41.6,44.102016373,5.0,168.15035,37428,69.873228934,100.0,0.5736894164,0.3758654797,3.0365974283,94.569732938,7209,28.040265822,39.300451955,,44.604316547,,,11.47327249,0.6363446693,7.7,30.6,
21055,Kentucky,Crittenden,73.221859691,5.3385252994,5.6958248987,92.5,46.007789679,26.9,,36.1,42.796755927,4.0,11.303270000000001,46844,82.692307692,70.821256039,0.983384198,0.2373685995,1.3676952639,95.659545609,6327,30.040950559,,,39.049235993,,,11.934156379,0.3784295175,9.3,26.4,
21057,Kentucky,Cumberland,74.895690967,5.6316452155,5.8738809023,,46.889952153,31.0,,37.3,43.454812581,3.0,229.95554,38275,72.293716881,100.0,2.7901272421,0.1379733252,1.42572436,93.683887782,4879,32.089679959,,,40.096230954,,,12.093862816,0.4487898702,7.9,28.1,
21059,Kentucky,Daviess,76.462269489,4.8272975877,5.2699959716,89.735449735,65.838360433,16.0,,32.9,41.482108521,55.0,309.87075999999996,54948,66.598722315,27.016429399,4.8108415541,2.0533840632,3.4272097903,87.338445547,67995,12.53248834,14.773812924,,33.474732571,17.636299865,,14.343129867,1.0107551998,9.1,23.4,7.6271186441
21061,Kentucky,Edmonson,76.080121311,5.629986775,5.8675249578,97.5,52.448275862,22.0,,37.1,42.70566529,1.0,57.21291,44459,84.38743039,100.0,1.8798528811,0.4250102166,1.5937883122,94.278708623,8852,30.581399452,,,30.682800346,,,14.227226203,0.0,8.7,28.8,
21063,Kentucky,Elliott,77.497490624,6.2804861636,6.0971934747,92.5,29.770992366,35.5,,41.6,43.875742059,1.0,230.60227999999998,35030,77.611940299,100.0,3.6489419425,0.203472599,1.2615301139,93.78730331,5498,18.929355645,44.648836898,,54.054054054,,,12.233009709,0.0981904895,7.8,32.2,
21065,Kentucky,Estill,72.167381128,6.0956764574,6.1727976578,97.5,40.722745217,28.8,,39.6,43.965952096,3.0,77.96442,39719,69.609929078,76.124591058,0.3969097739,0.1204904671,1.2899567652,96.81054646,10264,13.023572667,70.733029967,,39.650782103,23.944673719,,14.804722979,0.8109515661,8.3,30.9,
21067,Kentucky,Fayette,78.078245361,4.3569422091,4.7382079442,88.0,76.705948922,16.3,,28.1,39.475608786,412.0,450.82914000000005,60215,54.646899775,3.0669060152,15.306018754,4.2594731088,7.2705436741,70.321646881,210053,8.6262380663,39.21096425,,17.474247457,14.081230712,,16.625907379,2.2760231368,8.7,17.3,4.1689766049
21069,Kentucky,Fleming,74.590898238,5.5232242193,5.8262806312,97.5,58.558832472,23.9,,37.2,44.096741201,6.0,34.23954,44691,72.886247878,80.519933092,1.3764295008,0.2807642265,1.4996918441,95.637882627,9906,14.741869859,,,32.726150046,,,13.497453311,0.1334123925,8.4,27.7,
21071,Kentucky,Floyd,70.278617953,6.1313506168,6.212673174,93.0,45.019002649,40.9,,39.4,44.794649882,20.0,2764.9110800000003,35087,71.408163265,83.871131277,1.1236918854,0.2859266884,0.9635729399,96.806198891,25281,23.07815672,39.470716487,,57.242108443,17.798641741,,16.023738872,0.1507849688,7.9,31.0,17.653890825
21073,Kentucky,Franklin,75.581570488,4.4941084143,4.9877885427,91.413284133,68.15694134,18.3,,29.3,40.433193725,18.0,150.63187,59911,62.364883918,27.554022522,10.282092414,2.1792714895,3.7892718807,81.17101608,35705,9.8807534216,37.273416861,,28.244209076,17.718697951,,11.041916168,1.7272746283,9.1,21.0,
21075,Kentucky,Fulton,69.129645896,6.0385876142,5.9460232817,,40.242261104,38.4,,39.9,45.503256413,1.0,,36421,65.882352941,64.435637751,23.840725806,0.7392473118,2.7385752688,69.640456989,4382,27.962250961,,,32.513181019,,,13.663366337,0.455102398,8.8,30.3,
21077,Kentucky,Gallatin,72.804761053,5.2616768345,5.572558643,92.5,42.759562842,19.6,,35.1,44.483716594,4.0,68.34491,55650,73.186528497,100.0,1.401070737,0.444241941,5.1714318259,91.137942818,5905,26.190865936,56.64652568,,36.806635562,,,12.195121951,0.3909590715,9.2,26.0,
21079,Kentucky,Garrard,76.06590616,5.136633171,5.5502483435,92.5,60.810476896,18.3,,34.1,41.336336003,4.0,28.2183,54951,85.012538723,77.891438032,2.1220159151,0.3273322422,2.1784525086,93.825836672,12608,18.87489229,37.77504958,,34.925373134,21.649954421,,12.600732601,0.4867203461,8.8,25.6,
21081,Kentucky,Grant,73.639798735,5.1713900045,5.5475077483,92.506493506,49.086499596,18.1,,36.5,41.970219464,10.0,78.78048,56274,70.0,64.990673911,0.9414267145,0.4293536062,3.0684996258,94.30811045,16151,22.842001873,59.54192413,,39.775624681,11.953715215,,15.141242938,0.1888736264,9.1,26.1,
