FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
36001,New_York,Albany,79.423543274,3.5423134985,4.3557974539,86.038461538,77.917481114,12.5,,24.2,38.612948603,308,399.46781999999996,70629,56.062971231,9.6961249688,12.879461492,6.9701041317,6.5251898542,70.941268681,205082,5.5754646104,20.845224752,,9.2523375939,5.7338889124,20.054644809,15.221014205,1.9865522519,7.9,15.2,4.4585027866
36003,New_York,Allegany,77.886721412,4.3107961096,5.129024443,87.748565966,64.942218382,21.0,,28.9,39.64930921,21,247.87768,53371,79.132460617,78.739835737,1.278873363,1.2503564613,1.7943712023,94.27687718,29906,8.5554438595,10.861065253,,12.500868116,15.081071532,16.25,12.909494725,0.4800800892,6.5,21.7,2.7464443355
36005,New_York,Bronx,77.995462018,4.8879380936,4.6499746922,68.660265386,52.829415919,30.6,,39.1,42.446548414,896,231.23995,44906,20.05841591,0.0028156649,29.144226638,4.6761855686,56.441103043,8.9240062749,930184,3.6934206675,32.059416472,,21.667224479,4.6250111968,3.2943294329,38.782942789,14.955711251,8.3,16.5,9.1070172239
36007,New_York,Broome,78.079694685,4.0772515561,4.8411489389,83.420438957,66.52177063,23.8,,27.2,39.279833596,163,235.45559999999998,52510,65.109143949,26.056829511,5.7053109492,4.4894942456,4.654207581,82.28117411,127556,6.054091089,28.693049109,,13.879181228,5.6218377163,17.580645161,15.668935683,1.4148171338,6.9,18.5,4.4060103303
36009,New_York,Cattaraugus,77.107615052,4.4585132179,5.2359517708,88.342783505,56.256015399,22.0,,30.8,37.334452379,35,148.95272,51824,72.158504953,61.752804512,1.3273928002,0.8133082003,2.337107681,90.138802842,52725,9.6230894929,18.792063631,,20.1256463,9.639307533,11.355932203,14.092571974,0.580415135,7.3,22.0,5.9912323429
36011,New_York,Cayuga,79.050232092,4.1085319635,4.9150678117,82.852417303,58.290030535,15.3,,28.5,36.973836995,20,206.50015000000002,59335,70.897311305,55.781870892,4.015573005,0.6878954083,3.1803653869,89.628957372,55612,9.2195639146,24.374319913,,16.060756972,4.6727273671,11.153846154,12.928,0.438608477,6.4,20.8,9.0450928382
36013,New_York,Chautauqua,77.770513033,4.3535043172,5.0390550785,83.809175532,59.892597662,19.4,,28.9,38.130917603,68,181.69989,50062,68.615384615,43.862718209,2.1383458169,0.6617367018,8.026532944,86.737495239,89393,7.314997074,27.830726172,,22.7322748,8.4451005905,23.103448276,15.2748716,1.2237182463,6.6,21.5,7.3180759216
36015,New_York,Chemung,76.350188735,4.1346641368,4.9452061058,77.692496925,59.996098132,20.1,,29.3,39.08343777,65,311.05517,54705,67.201701235,24.178768434,5.8785795551,1.4451356781,3.4542857834,85.788288833,59312,7.8720111481,32.357029864,,26.235075036,6.8686036129,21.475409836,13.309090909,0.4607192759,6.2,20.5,9.8508922024
36017,New_York,Chenango,76.616390684,4.2909246793,5.1229787282,84.418706294,55.286575447,15.7,,29.1,40.83135876,16,196.87567,52545,74.75280791,83.412247162,0.8474213567,0.5777872887,2.3881874599,94.54953991,34132,12.493121347,15.550670446,,21.283064761,10.928272702,8.7878787879,13.145767645,0.6334600253,6.5,21.2,12.13683224
36019,New_York,Clinton,79.056376248,4.109320819,4.8984713934,86.913118527,55.112704918,13.1,,27.6,39.429794002,59,304.59525,59741,67.880343505,64.155951685,3.8494321743,1.4214445085,2.9732507709,90.00350974,55208,5.3013461885,12.450302542,,11.430883617,5.7070402545,7.7551020408,13.521261347,0.4141354759,7.0,20.0,
36021,New_York,Columbia,80.359645513,3.7804466762,4.6165394805,84.006622517,62.282250019,16.0,,26.2,33.830647436,24,199.88578,66068,73.17458437,73.297831875,4.5688178184,2.1449927772,5.319649276,85.821547351,45705,11.788699353,15.650239505,,12.166634222,10.648776722,,15.50802139,1.2506296573,7.0,17.6,15.758343895
36023,New_York,Cortland,78.107197373,4.0592641026,4.9252019946,88.277096115,64.293388026,15.7,,27.6,36.398405109,18,375.21464000000003,60165,66.218020022,44.273958164,1.8061179064,1.1468424734,2.9275220995,92.05265724,29953,8.3345487884,21.742637312,,10.560859189,4.1940503202,15.3125,13.3729149,0.3026019349,6.1,19.6,
