FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
47001,Tennessee,Anderson,74.660458762,4.8472127698,5.557801503,94.579439252,61.523211631,17.5,,31.5,41.659343426,36.0,100.5699,53002,67.622871204,34.661715183,3.8874132907,1.4002423992,3.3742489492,88.809665025,54754,13.84502552,52.376871066,,31.534304672,15.135264906,47.435897436,12.383139249,0.8212132943,8.4,23.1,
47003,Tennessee,Bedford,74.098789573,5.1108226504,5.5727083044,91.0,46.945107399,20.2,,35.3,42.630117937,14.0,75.72889,58593,71.046312178,55.60166896,7.5310388808,1.0841188545,13.340241934,75.985970227,32547,18.324707913,27.529711945,,38.968320718,15.131005885,44.915254237,14.958530806,2.6481797871,8.1,24.4,12.814748201
47005,Tennessee,Benton,72.033755825,5.585714508,6.1022757388,97.5,50.324174128,24.5,,36.0,41.614283369,3.0,49.59395,44759,75.775480059,78.458366184,2.5540884012,0.6137251255,2.578885376,92.281941603,11764,34.590107229,33.006704487,,41.414141414,28.580304442,21.333333333,14.001473839,0.0,8.1,27.8,
47007,Tennessee,Bledsoe,77.40541041,5.5350110423,5.8636383778,92.5,29.310344828,25.8,,37.7,42.370224873,1.0,26.276030000000002,45780,76.648693488,100.0,7.4755304473,0.2824673192,3.0020363923,87.361229718,11751,22.358968377,,,40.109389243,17.4651369,,14.521112255,1.8488913603,7.6,27.2,
47009,Tennessee,Blount,76.734427462,4.5739275449,5.3780008083,94.164502165,57.918507609,12.8,,28.6,39.832756411,92.0,149.90612,67576,76.606077154,32.631493375,2.8712217349,0.9432212006,3.7706584738,90.480219071,94763,11.959898132,39.079331042,,24.318813716,14.290340186,,10.964912281,0.7512607594,7.4,22.5,5.1781906793
47011,Tennessee,Bradley,75.969641845,4.8770449282,5.5339760073,92.675303644,58.539330057,17.0,,32.5,38.901194277,50.0,116.43791999999999,49802,66.81070464,32.971918798,4.8326319553,1.2771497465,6.751565494,84.996928606,73177,11.605562033,26.859478617,,27.233940747,11.798680795,41.621621622,13.59186747,1.3442460317,8.7,21.9,
47013,Tennessee,Campbell,71.663304975,5.6670867468,6.2085512286,91.0,43.416102333,25.0,,36.7,43.041577998,16.0,52.71481,42331,66.423668064,55.02259554,0.4342696488,0.3790446068,1.6316489696,96.091573161,28724,19.044607501,32.701111838,,43.755697356,21.145480909,,10.94619666,0.0931966449,8.1,28.6,
47015,Tennessee,Cannon,73.082380217,4.9999336652,5.7143415087,92.5,41.383156721,18.3,,32.7,42.263153612,1.0,13.47073,50628,76.80587919,81.131802043,1.8185492019,0.3771805752,2.3843200647,93.534047282,10293,27.046790948,47.741378134,,30.496987952,23.5359269,20.714285714,10.244786945,0.0809061489,7.7,24.3,
47017,Tennessee,Carroll,73.017956708,5.2033007096,5.8069975505,93.531626506,59.071452091,22.9,,35.2,43.069566038,12.0,43.198100000000004,47390,73.628672792,83.058691536,9.8491666367,0.4823787753,3.0922639404,84.124698513,19318,24.515061441,,,27.3276136,17.202081452,18.888888889,11.934900542,0.1483284524,8.2,24.5,
47019,Tennessee,Carter,74.069925607,5.4201351097,5.9918725181,88.474336283,55.546419495,20.9,,33.9,42.3134579,19.0,31.90471,44786,71.975159421,40.965449986,1.6129604027,0.4058988266,2.0968485235,94.335141267,42217,11.377369653,27.193189879,,26.737451737,19.493177388,,13.117185844,0.3706792698,7.1,27.1,
47021,Tennessee,Cheatham,73.848599716,4.5804097651,5.412123135,92.0,54.540251812,12.5,,29.8,39.451579006,25.0,75.42396,78330,77.449892277,82.961258151,2.2748838228,0.4574097954,3.8368896134,91.362740566,28562,23.765438667,74.463819585,,23.532125966,17.78506746,19.302325581,11.906354515,0.5716970789,8.3,22.0,
47023,Tennessee,Chester,75.263762846,5.0207591579,5.731043833,96.0,53.283395755,20.6,,33.5,42.85933923,4.0,80.31206999999999,42839,77.169559413,65.24429397,9.138366223,0.6769160165,2.9313905461,84.809545663,11283,22.235581872,,,18.857459789,17.325617658,33.888888889,9.9832214765,0.3804614629,7.8,23.9,
47025,Tennessee,Claiborne,73.070466822,5.4445554874,6.0309703831,93.0,55.567117586,22.0,,37.5,40.89858518,20.0,18.736530000000002,43365,70.850232284,71.554962282,1.117946476,0.8618805234,1.5145364269,94.953627081,22841,19.334097705,38.647141156,,29.331416247,20.112630732,20.714285714,14.99244713,0.4441498177,8.7,27.2,
47027,Tennessee,Clay,73.417967219,5.8679949246,6.2864072297,97.5,35.829567463,30.1,,38.9,43.293254984,2.0,,37683,77.865239295,100.0,1.4025429283,0.1048630227,2.3725258881,94.599554332,5557,18.534994069,,,30.16924209,31.23698459,,12.440944882,1.1293210302,7.7,28.4,
47029,Tennessee,Cocke,70.954450499,5.7034479911,6.2176371903,92.0,36.697018835,30.3,,37.5,42.301499265,16.0,46.928920000000005,41576,69.606943758,67.531265773,1.9654934438,0.4775707384,2.7632850242,92.833678399,26080,20.857232245,27.777006194,,44.89554008,20.696058799,,11.91819464,0.3450411395,8.1,27.8,10.694529809
47031,Tennessee,Coffee,74.066183382,4.9282681044,5.6126070987,90.364825581,45.814659534,19.9,,32.8,39.66395977,35.0,230.77457,55177,66.764999546,47.289567391,3.8468212104,1.1313159356,5.0284564131,87.416712937,38230,19.098351348,29.437392554,,39.200680272,14.665483889,,11.74566474,0.8146949653,8.1,23.7,
47033,Tennessee,Crockett,72.856336581,5.3765484856,5.7796997481,96.0,48.287064383,20.4,,36.2,43.343261898,,7.05219,50046,70.139748806,67.379679144,13.74471086,0.3808180536,11.177715092,72.877291961,9829,28.743891923,,,35.294117647,19.547066544,25.0,13.120899719,1.9106386142,8.0,24.8,
47035,Tennessee,Cumberland,76.450158977,5.024913279,5.7183767209,91.0,43.97632312,20.5,,32.1,40.059873269,42.0,35.71255,52529,79.082193338,60.892369722,0.644449134,0.6476957291,3.1930263137,94.172361736,45906,19.964256764,19.252348787,,40.878520387,22.368451803,32.083333333,12.744130992,0.2184359983,7.5,24.4,9.4356659142
47037,Tennessee,Davidson,76.320111921,4.280587299,4.8782157719,78.778977453,73.699960356,17.3,,26.9,38.650257865,667.0,356.10566,64418,54.424238652,3.4119432375,26.659521505,3.9158657171,10.424445674,56.536670815,478719,11.636630698,48.488471614,,26.574390317,18.746962298,41.24137931,16.946438531,4.6780422636,9.2,16.9,5.9558594964
47039,Tennessee,Decatur,73.970838472,5.3159447808,5.8861062119,92.5,51.396877568,24.4,,34.5,41.283067845,4.0,94.81941,47232,79.685141255,100.0,2.7066632187,0.6378760452,3.4824584088,91.569692268,8466,19.556077051,31.455533314,,25.079799362,17.096939648,,10.27027027,0.0,7.8,25.8,
47041,Tennessee,DeKalb,73.269459569,5.2382137736,5.7206237789,92.5,38.716229941,22.5,,35.1,42.533348681,8.0,43.1924,51002,68.285787715,78.368851146,1.4109516725,1.046215866,8.4081201708,87.574986802,14344,17.25030188,50.435207028,,37.645811241,16.8855162,10.476190476,10.754843019,0.7815800591,7.5,24.5,
47043,Tennessee,Dickson,74.730677121,4.9411496675,5.6644043461,94.0,54.216608053,15.6,,32.4,40.115626797,17.0,115.85994000000001,60309,76.133749169,67.752587283,3.8399293806,0.6841253494,3.964984552,89.221347653,37114,24.399831912,46.980280645,,31.082730773,20.990055961,19.824561404,11.485774499,0.495158231,8.1,23.4,6.6233238521
47045,Tennessee,Dyer,72.252860699,5.2124897009,5.8100182427,95.161290323,55.525666891,22.4,,35.2,41.004019341,13.0,59.95694,50906,62.327287015,42.864223295,14.555909847,0.7031313875,3.6083176628,79.091379827,25213,20.978674224,16.191127262,,35.722935335,18.782567631,40.0,12.977602108,0.5148299631,7.4,24.4,
47047,Tennessee,Fayette,77.298042924,4.5644008205,5.2774727326,91.0,58.824172222,16.2,,31.1,41.853831808,15.0,14.41615,73132,78.472568579,79.043552964,27.400288323,0.7856799616,3.0514175877,67.431523306,30079,19.924429485,13.791984423,,21.680979868,17.251067102,36.0,9.474367294,0.4217335058,8.8,21.4,10.829103215
47049,Tennessee,Fentress,73.00988824,5.5998615028,6.1309909112,94.261904762,44.963019638,24.4,,36.1,42.091614518,9.0,31.936980000000002,43931,75.963626493,100.0,0.4258263693,0.5429286209,1.7512109437,95.83222441,13212,25.888850535,27.013885137,,35.230352304,14.177281452,,11.478730587,0.1212261156,7.3,27.0,
47051,Tennessee,Franklin,75.154701785,4.7875101279,5.513184951,90.0,46.899182561,19.8,,30.7,43.358881626,25.0,51.782979999999995,49491,73.492150088,69.616583845,4.9570436625,0.9415087678,3.7401435801,88.087560315,28857,16.052680114,22.119873917,,22.132228292,18.577178651,35.75,12.172854534,0.4982847986,8.2,22.9,
47053,Tennessee,Gibson,72.810617915,5.1062185318,5.7215625463,93.806907378,55.06805309,18.6,,35.5,41.300717209,18.0,28.479020000000002,47850,65.591507604,47.714509993,17.909233304,0.3946378079,3.0106389471,76.628898065,33392,21.756788118,22.397632638,,30.099410898,20.744440693,37.962962963,12.691807542,0.4204685841,8.2,24.4,
47055,Tennessee,Giles,74.004627899,5.0135060072,5.6932237655,93.0,44.558359621,19.1,,32.0,40.98034867,10.0,64.34134999999999,51332,70.435897436,73.745972528,9.9153403319,0.5113443955,3.3694547917,83.657297663,20709,29.755516966,22.599636146,,31.150159744,23.097041541,46.206896552,9.9608525446,0.2097269933,8.1,23.5,
