FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
56001,Wyoming,Albany,80.779391653,3.5622182532,3.9370114447,88.0,84.7626414,10.4,,22.8,34.608275888,29,575.0962800000001,59179,51.97372498,11.939722857,1.270860077,3.5815147625,9.8228498074,82.49550706,21681,10.789252416,9.4476556931,,7.683963117,15.542511359,10.0,21.404056162,0.6304283125,5.0,14.9,
56003,Wyoming,Big Horn,76.436483074,3.8287880032,4.2519069933,79.229957806,64.149474504,15.0,,27.5,35.286400653,4,198.7041,54684,74.637023593,100.0,0.656587473,0.5269978402,9.3304535637,87.334773218,7972,30.080977993,,,12.798339675,21.975421336,3.5714285714,11.123470523,1.1935979745,5.4,18.1,20.977011494
56005,Wyoming,Campbell,77.443823131,3.6215007192,4.1371459724,80.0,59.602896171,7.6,,26.6,35.585431207,23,216.38529,85022,74.580143951,29.072464396,0.5013283058,0.7584197446,8.685405776,87.156140201,30198,20.196417698,12.935030218,,30.96217911,14.944364267,14.561403509,13.093196112,0.1426402245,4.9,19.6,
56007,Wyoming,Carbon,78.491098871,3.7849855447,4.0390713204,79.166666667,57.336400818,12.4,,27.6,36.715103623,8,299.09591,66589,70.639254738,41.630468996,1.0672286044,0.9516688193,18.5031609,76.922031133,10363,28.085680048,,,35.220994475,26.524143602,10.0,11.277602524,2.4212389381,5.0,18.3,
56009,Wyoming,Converse,79.102088412,3.6000799496,4.1417971548,83.121301775,65.633546035,11.0,,28.4,34.038118952,8,260.79397,79304,76.487822743,55.360370129,0.4563894523,0.7099391481,8.3019414662,88.452622428,9477,16.39361059,,,30.252659574,27.430485375,11.333333333,7.182320442,0.2715704531,3.2,18.7,
56011,Wyoming,Crook,78.782302339,3.5444669907,4.1755280114,92.5,62.45912361,9.8,,27.4,33.782079347,3,65.85013000000001,67443,79.299363057,100.0,0.8165415514,0.2370604504,2.5549848545,94.23152904,5188,21.075623168,,,26.372059872,,10.0,11.794871795,1.2576818637,4.8,17.5,
56013,Wyoming,Fremont,73.02782814,3.9240642245,4.3518274617,71.520787746,63.250240719,19.0,,26.5,32.682155703,34,241.62575999999999,52010,69.994606984,51.424370062,0.5137726683,0.5035989521,7.4827682682,69.440699952,26661,29.730775293,22.860239271,,40.701164606,29.774821603,10.217391304,12.895701433,0.1997193134,7.2,19.8,11.875309253
56015,Wyoming,Goshen,77.884951454,3.5986257567,3.9930311868,87.5,70.346020761,13.5,,26.6,33.321057591,10,574.2349800000001,51398,72.430263661,45.995924221,0.8613524745,0.8764639214,10.902908954,85.515678126,9321,23.532683689,,,17.914267434,,10.833333333,10.364683301,0.6825116428,5.0,17.2,
56017,Wyoming,Hot Springs,72.298919859,3.817599167,4.2974796339,,73.219978746,12.9,,27.1,34.226343873,4,271.18644,48864,71.101966164,31.483790524,0.6779661017,0.6327683616,4.4745762712,90.689265537,3398,37.122969838,,,18.604651163,52.705551651,,8.8235294118,0.1635896237,4.7,19.7,
56019,Wyoming,Johnson,79.900213413,3.4264011822,4.0259355299,92.5,66.267123288,10.3,,24.7,31.444919547,11,291.10387000000003,62671,70.891189094,49.025557241,0.6637168142,0.7452258966,5.1117838845,90.789473684,6211,,,,12.970168612,,8.8888888889,15.143603133,0.0492489535,4.6,16.7,
