FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
12001,Florida,Alachua,78.600526679,4.3954180011,4.9352690945,88.455895795,77.520840069,15.1,7.2112684015,24.8,36.02477967,429.0,669.20337,51995,54.615165867,21.193437268,19.985399199,6.1448723905,10.729007662,60.454689585,164360,12.170160382,11.725253852,85.95985448,10.852852237,9.8459188294,39.126213592,19.70633694,1.3521011479,6.2,16.1,5.9135630763
12003,Florida,Baker,75.486281929,4.8351564344,5.5100016914,79.0,48.037941788,17.3,17.074924923,32.9,43.223216867,8.0,114.99696,61514,76.529225193,59.491056611,14.114185213,0.7407156869,2.9391869039,80.058174931,19356,22.237496462,19.510851477,80.992297236,42.41034878,17.439710919,27.5,10.434782609,0.1817979446,7.9,24.1,
12005,Florida,Bay,76.065170742,4.5378619018,5.2361295339,83.0,65.010849679,20.0,10.336153069,30.9,39.815944675,107.0,279.59048,61332,67.278611836,11.999857864,10.726585027,2.3733087403,6.8823618683,76.307771331,127857,17.626447929,28.043680385,87.842689295,32.274872801,18.356768808,44.0625,15.961538462,1.3290586179,8.1,22.1,5.4619703931
12007,Florida,Bradford,75.494264096,5.3822900928,5.7042761744,87.5,33.279782501,22.0,0.3741817202,35.5,41.449961356,7.0,111.9155,48260,65.96909208,75.529453015,19.878991362,0.6435141468,4.6759696429,72.566712132,20265,30.709972934,17.746018976,76.057093797,40.591966173,15.163549715,34.166666667,16.509171762,0.3145130731,7.7,26.8,
12009,Florida,Brevard,77.448794168,4.2653311753,4.9422568766,88.0,69.596142719,13.5,12.056888393,26.7,40.653730663,441.0,171.74534,65871,75.62085549,5.0743867966,10.036009,2.6601628047,11.206999979,73.417272158,442889,14.681082742,51.238068889,88.824389314,16.125338728,16.366766122,23.745173745,15.066188999,1.1374911285,5.4,18.0,6.305495795
12011,Florida,Broward,80.935217259,4.2290475937,4.5462194727,86.785109262,67.869868735,14.1,2.3787990307,28.2,41.258750576,1444.0,207.85402,63901,62.789988396,0.0169329991,28.639986109,3.90198687,31.390757901,34.310672819,1378777,12.580424726,28.317289428,86.489810509,12.63099979,11.07373739,17.25161987,24.171297043,7.400533809,9.2,14.9,6.3444383761
12013,Florida,Calhoun,75.418296576,5.1775508881,5.6384259248,87.5,32.186234818,28.7,20.480070874,33.9,40.971638263,5.0,35.51641,43994,78.22616408,67.514529915,12.288677369,0.8594970877,6.0733058673,77.475493678,10524,22.846925598,,71.862527716,37.205770691,,13.571428571,12.733260154,0.3500072918,8.0,25.0,
12015,Florida,Charlotte,80.841090993,4.4337577655,5.1075127014,86.0,56.240462756,15.8,13.804222709,25.0,39.828658778,113.0,112.98797,58368,81.602727193,8.8843465977,5.4619410306,1.4303249431,7.9707874748,83.445722122,154111,15.345799894,11.431204374,87.030793718,19.327129563,14.422295577,28.148148148,15.44977019,1.5262775786,7.5,19.2,10.930493274
12017,Florida,Citrus,74.517331538,4.8516430821,5.5012357561,89.0,47.175508492,23.1,15.663662434,29.2,42.90971576,75.0,79.0798,48574,83.492982158,34.518819564,2.8743219397,1.7083850729,6.285863669,87.206064963,118265,23.522516439,36.396239647,84.828461336,25.899210921,22.031075982,23.269230769,13.456022945,0.6952864903,7.9,23.3,8.615320739
12019,Florida,Clay,77.473651914,4.3036509808,5.006759595,93.0,66.764437967,12.9,8.5847232863,28.1,40.963421943,112.0,111.37665,72520,76.985138004,14.968695151,12.008837985,3.1613834153,10.7192136,70.877034766,148058,16.943431889,29.523934171,92.241242038,16.177813864,14.197757126,14.291497976,13.317438692,1.8969297168,8.5,19.7,6.0017497813
