FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
30001,Montana,Beaverhead,81.571431831,3.8993524494,4.5194266369,97.5,72.843287392,15.6,7.1374086501,21.7,31.674088242,15.0,200.35854,52613,63.906733286,50.151416829,0.3690815143,0.5799852367,5.335864178,89.612991669,6463,,,83.154889365,10.158472166,,,17.106918239,0.1439167497,5.0,17.4,
30003,Montana,Big Horn,66.185033494,5.7468084911,5.797313164,61.405405405,54.265402844,35.6,23.667413124,29.5,37.362402758,7.0,84.2073,42823,64.88128106,71.908278274,0.3827604685,0.7195896808,6.0399601929,26.494679629,7545,94.677611972,,73.246824959,72.585309427,28.604549629,41.0,24.287652646,0.2382908792,6.8,27.4,9.0804597701
30005,Montana,Blaine,70.167188346,5.502067239,5.6639747869,,60.872235872,23.0,18.420228171,28.2,36.962925793,5.0,228.38002,45936,58.232596915,100.0,0.3958587089,0.2283800244,3.5322777101,43.331303289,4151,38.65896351,,75.281367236,45.400238949,,31.111111111,16.163793103,0.277324633,6.4,27.5,
30007,Montana,Broadwater,81.333729232,3.9109365908,4.6488981669,,63.839285714,13.2,3.8207479299,20.8,31.544681034,2.0,77.59156,61641,84.277504105,100.0,0.5121042831,0.3258845438,3.1967721912,92.752948479,4358,28.704700395,,77.750410509,18.565400844,,,8.2644628099,0.1554672655,5.4,18.4,
30009,Montana,Carbon,81.591514916,3.6508716684,4.439309194,,64.222737819,13.2,3.3414548536,19.3,33.002581737,6.0,91.56671,62465,74.226348364,100.0,0.677593627,0.3845801667,2.5638677777,93.883344016,8213,21.527656311,,82.294429708,10.95890411,28.029000673,,12.362030905,0.6983511154,5.9,16.9,
30011,Montana,Carter,,4.07172538,4.8345379018,,73.275862069,18.9,34.268155673,23.2,32.665295071,0.0,,48286,68.153846154,100.0,0.2429149798,0.0809716599,1.2955465587,95.627530364,979,,,78.923076923,,,0.0,12.8,0.0,5.4,19.1,
30013,Montana,Cascade,77.092733898,4.1151501999,4.7482213713,83.120451694,65.995289141,16.4,9.8691567818,21.8,35.93296603,67.0,350.35526999999996,53357,66.573751452,19.821215586,1.4899318959,1.0891746367,4.994713938,84.692547882,55745,15.199533182,15.960385505,79.401858304,26.933563876,20.354911174,79.113924051,12.803019306,0.2140765159,6.4,19.5,6.5167243368
30015,Montana,Chouteau,79.078877951,4.5080703914,5.0330052785,,59.018867925,21.1,22.463795793,25.0,34.430521859,,87.73469,50607,66.05823555,100.0,0.1930163187,0.4737673276,2.7899631514,76.609931567,3974,29.803298232,,73.09865276,,,,9.534368071,0.2585410896,6.2,20.3,
30017,Montana,Custer,77.45888457,3.9815454706,4.6980087148,92.5,69.574621485,13.4,4.5418035142,23.4,33.311551462,9.0,363.08891,59804,67.190407277,17.907513463,0.6818986893,0.859015232,3.7194473964,90.692525682,8247,14.607069822,,79.863551788,27.631578947,,86.0,11.349693252,0.6312322752,6.1,18.5,
30019,Montana,Daniels,82.264336731,3.7792789477,4.5548592054,,63.939393939,13.0,5.2158852855,21.4,32.972755571,0.0,,50312,78.387850467,100.0,0.1831501832,0.1831501832,3.2967032967,91.391941392,1305,,,76.518691589,,,25.0,11.695906433,0.0,5.9,17.5,
30021,Montana,Dawson,79.253437274,3.8763957465,4.6039678728,86.824324324,60.935576529,12.8,11.99763896,22.9,34.475699886,5.0,210.40327,55845,65.801644399,27.57082311,0.5143191116,0.5961426067,3.2261835184,92.051431911,6458,,,84.712230216,19.648397104,,,10.579345088,0.0241575069,5.7,18.1,
30023,Montana,Deer Lodge,74.822852937,4.6083896081,5.060277978,77.5,54.900181488,20.8,2.7436247222,25.7,34.234611678,9.0,532.3772299999999,47362,67.043499631,33.641643364,0.4671881791,0.4997827032,3.900478053,89.602346806,7211,17.199593464,,76.210371099,17.593244194,35.03700784,,13.618677043,0.0,5.5,21.9,
30025,Montana,Fallon,78.996463864,3.7575076736,4.5848777328,,73.651960784,11.0,5.0251012808,21.4,33.57006986,3.0,,62597,72.056514914,100.0,0.2830856334,0.813871196,1.6631280962,94.692144374,1970,,,81.083202512,,,,5.7692307692,0.0,5.4,17.9,
30027,Montana,Fergus,77.740377691,4.0394749057,4.723475759,89.21875,76.438779452,14.6,11.923042102,21.1,31.794521385,9.0,270.17291,49576,70.476567135,47.436561367,0.3512247839,0.7474783862,1.9902737752,93.50684438,8175,21.562658549,,83.508008701,17.382413088,26.799592646,,13.768844221,0.0,5.3,18.4,
