FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
38001,North_Dakota,Adams,81.109815509,3.2760766759,3.4789081854,,63.023255814,11.4,5.6616768552,28.5,31.746516818,9.0,91.40768,50673,72.58979206,100.0,0.9597806216,3.2906764168,2.1023765996,91.13345521,1618,,,79.584120983,,,,10.526315789,0.0,5.3,18.1,
38003,North_Dakota,Barnes,77.028414094,3.3259821465,3.5010269819,91.913265306,71.952259165,11.2,6.2716308621,28.2,32.36421471,11.0,86.52182,52327,70.569557452,39.553587566,1.5285522015,0.9901941934,2.2880215343,92.376466064,7511,,,80.035721373,11.354737666,,,9.9311701082,0.0,6.6,17.9,
38005,North_Dakota,Benson,68.358323035,5.3001692966,4.703958432,,53.091397849,34.5,15.114067982,39.0,40.908061411,,59.1541,51189,72.317880795,100.0,0.3845016267,0.2661934339,3.9781129843,40.550133097,3973,48.1000481,,64.150110375,84.498834499,,,14.879649891,1.4378029079,6.7,28.9,
38007,North_Dakota,Billings,,3.1960828693,3.3259077282,,67.521367521,13.6,18.181818066,28.1,31.860501452,0.0,0.0,76478,76.775956284,100.0,0.4494382022,4.2696629213,2.4719101124,91.460674157,637,,,76.775956284,,,,11.688311688,0.0,4.4,17.4,
38009,North_Dakota,Bottineau,77.323395088,3.3379189186,3.5161578819,,74.629195941,11.2,10.461652457,29.5,34.37831839,2.0,15.905840000000001,61841,78.581363004,100.0,0.6998568475,0.6998568475,2.5449339908,90.186098298,4466,,,85.292072323,13.229571984,,,8.1566068515,0.0,6.2,18.2,
38011,North_Dakota,Bowman,78.790117352,3.3039617753,3.4841579492,,71.068249258,11.6,2.9321406302,28.4,32.331004033,1.0,,67067,80.952380952,100.0,0.2679169457,0.1674480911,4.9229738781,92.431346283,2098,,,85.789871504,24.390243902,,,8.5714285714,1.0045029442,5.2,17.8,
38013,North_Dakota,Burke,83.344547445,3.2554154275,3.4618275802,,76.181102362,10.4,16.243966624,29.4,32.866797768,,,73567,78.631578947,100.0,0.8026440038,0.8498583569,3.3522190746,91.831916903,1529,,,82.947368421,26.595744681,,,6.8571428571,0.0,2.8,17.7,
38015,North_Dakota,Burleigh,80.307500626,3.0586787632,3.3156783418,90.879699248,77.860525512,9.4,4.604923262,25.5,32.305444115,103.0,284.78776,72170,69.845496797,18.547990358,2.2128216854,0.8824263086,2.723153037,88.206252858,64456,10.149639006,7.6625416651,85.41138048,16.516737944,11.539397601,,10.469679706,0.2581601042,8.6,16.5,7.0759417979
38017,North_Dakota,Cass,79.922493125,3.0688774761,3.2736436296,86.644057971,80.332420025,8.5,3.2617305275,22.8,31.257030602,186.0,312.66313,61338,52.497176315,10.434776803,6.3022011484,3.2919349226,2.9335957891,84.123238211,114123,6.376645013,10.962047564,87.09153933,12.125680004,9.2183402767,,12.492419648,1.1916850845,7.1,16.1,2.2264230204
38019,North_Dakota,Cavalier,81.033214111,3.359992723,3.5472805972,,81.845688351,12.2,8.248739338,27.7,29.132713726,1.0,53.864799999999995,54270,80.25871766,100.0,0.4578507945,0.5925127929,1.9122003771,94.074872071,2702,,,80.31496063,19.431988042,,,6.0518731988,1.5558698727,6.7,18.3,
