FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
50001,Vermont,Addison,81.344859424,3.3826295166,4.3122808361,86.762048193,67.653522948,7.5,1.51469455,18.3,29.986619647,42,317.49478,73049,75.285714286,78.430786779,1.2971154107,1.7855689126,2.4721174459,92.344848172,25678,9.2886446319,9.9456605275,85.170068027,7.1496663489,7.5948268379,9.6551724138,14.014251781,0.3163752436,6.7,15.1,
50003,Vermont,Bennington,77.721940297,3.7578939749,4.6232065694,81.048951049,68.831900803,13.6,2.7851632114,20.8,34.338571642,36,495.21761,65528,73.356187864,64.511784512,1.2819061633,1.3073744977,2.3147886128,93.392382138,25445,9.9607149403,32.882683979,81.810078848,15.683890578,14.027291498,28.125,15.27638191,0.0559448796,6.0,17.7,10.303752233
50005,Vermont,Caledonia,78.403965867,3.9214310234,4.7724068382,89.975961538,63.321640994,10.7,1.6712330391,23.4,31.180692842,25,393.87309000000005,52203,75.051513711,74.390751593,0.7641811143,0.9156707625,1.8414408349,94.512708298,21560,9.8936200285,33.333333333,79.949278808,11.509324009,18.605022027,7.1428571429,14.695047073,0.3137637707,5.9,18.6,
50007,Vermont,Chittenden,81.721401328,3.3472572789,4.2238330956,87.206391876,81.469424081,6.8,2.4980935409,17.4,29.482938794,306,698.08771,80539,62.900508439,25.986138171,2.397964773,4.8427933247,2.5586405852,87.850108943,108277,5.3580776974,15.426710944,86.81969975,4.3026174256,6.7356148698,14.776119403,17.339449541,1.6392390851,6.5,12.9,2.8323358341
50009,Vermont,Essex,79.801556867,4.3032790989,5.1209235305,,53.852889667,18.3,10.024634399,26.7,35.400512052,1,65.32745,50956,83.032616239,100.0,0.5062877674,0.702270129,1.437203985,95.165768414,4750,27.758501041,,76.474670368,10.721247563,,,15.426497278,0.1182432432,5.8,22.7,
50011,Vermont,Franklin,78.789052471,3.795649135,4.7187767792,81.141975309,62.889495663,9.9,1.8801226407,23.0,34.338495497,27,259.6357,62763,77.511157784,71.714908055,0.6983999195,0.9218073865,1.7892724162,93.301801348,34513,12.213243227,18.854203141,82.257810449,17.892447608,11.76718821,26.326530612,14.397201292,0.3296845371,6.9,17.6,9.6673189824
50013,Vermont,Grand Isle,80.490815904,3.3665576252,4.3020923075,,66.419919246,10.6,0.4448035957,19.9,30.958953365,5,27.89789,79994,85.920698925,100.0,0.8787836518,0.7113962896,1.9668015065,92.369926071,5355,,,87.197580645,12.944983819,,13.333333333,16.694772344,0.1769911504,6.8,16.1,
50015,Vermont,Lamoille,80.36183337,3.7134292571,4.5816214283,92.385496183,69.788797062,9.4,0.2893735842,23.3,32.138401429,22,520.89499,57909,72.061281337,100.0,1.0299514621,0.6747957855,1.9849256146,94.321455349,17810,9.0400587604,17.104587977,85.348189415,11.516654855,11.052078975,13.75,21.310702499,0.3152611275,5.9,16.8,
50017,Vermont,Orange,79.822668047,3.7491033197,4.6551396832,88.142857143,61.734932254,11.5,3.4708148987,22.1,33.483467597,26,357.18001,60624,80.655090766,97.238733757,0.6380691473,0.5687138052,1.4113812116,95.651420051,21296,9.3883258638,17.295452449,81.36543015,10.009099181,19.360950346,16.25,16.524216524,0.0907902382,6.3,17.0,
50019,Vermont,Orleans,77.941830523,4.1174884234,4.9379006541,80.616197183,57.3131822,15.9,4.0001575664,25.2,36.133307039,19,289.99517,56721,78.001370098,85.296169806,0.7472952374,0.5167862587,1.5354872291,94.850726847,19658,14.836244946,21.028933338,81.358109265,22.379495027,15.608160838,18.0,18.493150685,0.2388223318,6.2,21.0,
50021,Vermont,Rutland,77.218169616,3.6748364979,4.5869460128,84.146653543,64.227708966,12.6,4.9147103465,21.9,31.94944163,45,341.04285999999996,62289,71.505779321,61.013594627,0.7340211897,0.881171664,1.6879024998,95.05401288,42711,8.9621796021,34.931597061,81.245808513,11.467713384,15.69837283,22.5,18.930204812,0.2340623213,7.5,18.6,9.1370558376
