FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
23001,ME,Androscoggin,76.8,4.3,4.9,79.0,68,16.0,2.0,33,40,92.0,543.0,57723.0,65,43.4,4.6,1.0,2.0,89.8,108547,93.0,109.0,84,19.0,58.0,17.0,14,1,5.1,20,8.0,high,low,No,No
23003,ME,Aroostook,78.3,4.7,5.2,87.0,68,19.0,5.0,36,37,76.0,409.0,45523.0,73,80.3,1.1,0.6,1.5,93.6,66804,51.0,41.0,72,18.0,46.0,12.0,13,1,8.0,22,7.0,low,low,Yes,No
23005,ME,Cumberland,80.2,3.6,4.3,90.0,80,9.0,4.0,24,30,496.0,2262.0,75455.0,70,36.1,3.2,2.5,2.3,89.8,298111,135.0,252.0,89,6.0,104.0,13.0,14,1,7.0,14,5.0,high,high,No,No
23007,ME,Franklin,78.2,4.3,4.9,85.0,59,16.0,6.0,31,34,32.0,96.0,49317.0,78,83.0,0.5,0.5,1.4,95.6,29986,32.0,23.0,79,12.0,26.0,17.0,11,0,6.1,20,,low,low,Yes,No
23009,ME,Hancock,79.5,3.9,4.6,90.0,64,13.0,2.0,29,30,65.0,237.0,58466.0,77,90.1,0.9,1.3,1.7,94.4,55088,60.0,31.0,84,12.0,32.0,9.0,15,0,4.0,18,,high,low,Yes,No
23011,ME,Kennebec,77.9,4.2,4.8,84.0,66,14.0,2.0,32,34,147.0,636.0,53876.0,71,62.8,0.7,1.0,1.7,94.2,122955,104.0,128.0,85,14.0,66.0,10.0,13,0,5.1,20,3.0,low,low,Yes,No
23013,ME,Knox,79.3,3.9,4.6,89.0,59,14.0,2.0,28,32,42.0,220.0,66058.0,79,67.9,0.7,0.6,1.6,95.1,39951,35.0,31.0,87,15.0,24.0,15.0,14,0,5.6,18,10.0,high,low,Yes,No
23015,ME,Lincoln,80.2,4.1,4.7,,58,14.0,1.0,29,34,38.0,72.0,64825.0,79,100.0,0.6,0.9,1.4,95.5,34775,39.0,29.0,82,17.0,22.0,13.0,14,0,6.1,19,16.0,high,low,Yes,No
23017,ME,Oxford,77.4,4.5,5.1,83.0,55,17.0,5.0,33,36,38.0,158.0,47611.0,81,83.1,0.6,0.8,1.7,94.9,58132,62.0,40.0,80,18.0,39.0,9.0,14,0,6.3,22,12.0,low,low,Yes,No
23019,ME,Penobscot,77.1,4.3,4.9,87.0,68,13.0,6.0,34,37,196.0,909.0,52079.0,70,57.7,1.0,1.2,1.6,93.4,151655,144.0,182.0,83,12.0,105.0,10.0,14,0,5.3,20,5.0,low,low,No,No
23021,ME,Piscataquis,77.2,4.8,5.2,,49,21.0,2.0,35,38,11.0,39.0,48769.0,77,100.0,0.6,1.2,2.8,93.3,16996,22.0,17.0,75,18.0,15.0,,14,0,5.7,24,,low,low,Yes,No
23023,ME,Sagadahoc,80.5,3.8,4.5,85.0,67,11.0,3.0,28,31,24.0,84.0,68433.0,75,61.7,0.9,0.9,2.0,94.3,36044,18.0,21.0,88,13.0,28.0,22.0,14,0,6.4,17,,high,high,Yes,No
23025,ME,Somerset,76.6,4.9,5.4,83.0,56,19.0,4.0,34,38,27.0,89.0,43694.0,77,80.5,0.6,0.7,1.2,95.5,50635,65.0,48.0,79,23.0,52.0,12.0,16,0,6.4,25,10.0,low,low,Yes,No
23027,ME,Waldo,78.8,4.2,4.8,87.0,67,16.0,4.0,30,32,29.0,104.0,56085.0,80,91.3,0.5,0.6,1.7,95.2,39923,49.0,21.0,84,20.0,29.0,16.0,13,0,5.7,20,10.0,high,low,Yes,No
23029,ME,Washington,75.5,4.8,5.2,,58,18.0,5.0,35,38,15.0,195.0,48582.0,78,92.4,0.6,0.5,2.9,89.1,31473,39.0,44.0,77,21.0,27.0,9.0,13,0,5.1,23,6.0,low,low,Yes,No
23031,ME,York,79.1,3.8,4.5,89.0,71,9.0,3.0,27,34,152.0,907.0,67965.0,74,56.8,1.0,1.4,2.0,93.7,209066,153.0,195.0,87,11.0,97.0,12.0,14,1,6.6,17,6.0,high,low,No,No
