FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
42001,PA,Adams,79.6,4.0,4.8,94.0,60,11.0,4.0,27,37,53.0,103.0,70470.0,78,53.7,1.6,0.9,7.3,88.7,102742,87.0,54.0,84,14.0,62.0,17.0,10,1,7.7,20,3.0,high,high,No,No
42003,PA,Allegheny,77.9,3.7,4.5,90.0,81,13.0,6.0,24,38,1371.0,4650.0,64236.0,64,2.5,13.2,4.3,2.3,77.8,1211358,531.0,1615.0,86,11.0,865.0,24.0,14,1,13.3,18,4.0,high,high,No,No
42005,PA,Armstrong,76.8,4.4,5.2,91.0,55,16.0,2.0,29,41,28.0,82.0,52958.0,78,67.5,0.9,0.3,0.8,96.9,64162,63.0,77.0,79,19.0,52.0,10.0,10,0,7.8,24,5.0,low,low,Yes,No
42007,PA,Beaver,76.5,4.1,4.9,69.0,71,12.0,9.0,25,40,73.0,208.0,56649.0,73,25.8,6.3,0.6,1.9,88.8,162575,99.0,181.0,83,17.0,101.0,23.0,10,0,10.0,22,5.0,high,high,No,No
42009,PA,Bedford,77.6,4.5,5.3,92.0,51,14.0,6.0,31,40,12.0,68.0,52643.0,79,83.8,0.6,0.5,1.3,96.6,47817,57.0,41.0,77,19.0,46.0,,11,0,8.0,24,5.0,low,low,Yes,No
42011,PA,Berks,79.0,4.2,4.6,87.0,59,14.0,3.0,28,36,265.0,662.0,70057.0,71,23.7,4.3,1.6,23.1,69.6,421017,293.0,362.0,84,20.0,221.0,18.0,15,4,8.6,19,5.0,high,high,No,No
42013,PA,Blair,76.5,4.4,5.2,91.0,59,15.0,4.0,29,40,98.0,312.0,52177.0,70,23.4,2.0,0.7,1.3,94.4,121007,109.0,96.0,80,22.0,60.0,27.0,13,0,7.6,23,8.0,low,low,No,No
42015,PA,Bradford,78.5,4.4,5.2,90.0,54,13.0,5.0,30,41,68.0,52.0,55787.0,73,72.2,0.7,0.7,1.5,95.7,60221,80.0,35.0,82,28.0,34.0,17.0,11,0,6.7,23,12.0,high,low,Yes,No
42017,PA,Bucks,79.5,3.4,4.3,93.0,73,6.0,4.0,22,35,524.0,1726.0,92441.0,78,8.8,4.1,5.4,5.9,82.8,627987,357.0,689.0,91,6.0,214.0,11.0,15,2,9.6,17,5.0,high,high,No,No
42019,PA,Butler,78.8,3.7,4.6,94.0,76,8.0,3.0,24,37,123.0,343.0,74721.0,76,42.0,1.3,1.5,1.7,94.2,189135,133.0,188.0,86,8.0,90.0,12.0,11,0,9.8,17,3.0,high,high,No,No
42021,PA,Cambria,75.8,4.4,5.1,93.0,65,16.0,6.0,28,41,107.0,278.0,48653.0,75,32.0,3.6,0.5,1.8,92.3,128672,96.0,195.0,78,18.0,107.0,24.0,12,0,8.4,22,5.0,low,low,No,No
42023,PA,Cameron,78.2,4.7,5.4,,57,22.0,3.0,30,40,2.0,1.0,46151.0,67,47.4,0.7,0.5,1.6,95.6,4330,,,76,29.0,,,11,0,6.8,25,,low,low,No,No
42025,PA,Carbon,76.2,4.3,5.0,88.0,56,19.0,2.0,29,40,27.0,46.0,60593.0,75,47.2,1.9,0.6,5.7,90.5,64081,60.0,91.0,83,17.0,69.0,13.0,14,1,8.3,22,10.0,high,high,No,No
42027,PA,Centre,82.5,4.0,4.6,93.0,75,9.0,3.0,24,37,124.0,358.0,62795.0,62,32.2,3.6,6.3,3.0,85.4,161496,90.0,41.0,83,3.0,53.0,8.0,18,1,8.7,19,1.0,high,high,No,No
42029,PA,Chester,81.2,3.3,4.1,91.0,78,6.0,6.0,20,33,447.0,1356.0,107491.0,75,13.3,5.6,6.5,7.6,78.4,526759,234.0,395.0,91,6.0,172.0,10.0,13,2,8.8,14,4.0,high,high,No,No
42031,PA,Clarion,77.5,4.5,5.3,95.0,57,15.0,6.0,29,39,16.0,57.0,52642.0,70,76.6,1.2,0.7,1.1,95.8,38305,31.0,26.0,80,12.0,33.0,19.0,12,0,8.2,23,10.0,low,low,Yes,No
42033,PA,Clearfield,77.2,4.6,5.2,91.0,50,20.0,6.0,31,43,38.0,225.0,48794.0,77,53.8,2.6,0.7,3.1,92.7,78612,83.0,60.0,76,21.0,67.0,,11,1,8.1,24,8.0,low,low,No,No
42035,PA,Clinton,78.0,4.5,5.3,91.0,49,18.0,3.0,29,41,15.0,45.0,54652.0,70,45.7,1.4,0.7,1.8,94.9,37957,36.0,13.0,78,14.0,28.0,21.0,11,0,7.6,23,10.0,low,low,No,No
42037,PA,Columbia,78.3,4.4,5.1,91.0,62,13.0,3.0,28,40,33.0,47.0,56176.0,68,40.9,1.7,1.2,3.3,92.7,64842,64.0,56.0,81,9.0,52.0,16.0,11,0,8.0,22,6.0,high,high,No,No
42039,PA,Crawford,77.0,4.5,5.2,93.0,50,18.0,4.0,29,40,55.0,123.0,52372.0,73,63.7,1.9,0.6,1.5,94.6,83697,72.0,74.0,80,18.0,53.0,17.0,12,0,8.6,24,9.0,low,low,Yes,No
42041,PA,Cumberland,80.1,3.6,4.5,92.0,71,9.0,5.0,24,37,226.0,558.0,69546.0,70,22.2,4.4,5.1,4.6,83.8,255857,131.0,149.0,87,9.0,107.0,18.0,11,1,9.8,18,5.0,high,high,No,No
42043,PA,Dauphin,78.2,4.0,4.6,75.0,66,16.0,8.0,28,39,306.0,712.0,63265.0,63,13.3,17.2,5.9,10.4,63.6,279874,174.0,303.0,85,23.0,163.0,32.0,14,3,8.8,19,5.0,high,high,No,No
42045,PA,Delaware,78.0,3.7,4.4,89.0,71,11.0,2.0,24,38,594.0,1794.0,75174.0,69,0.5,22.3,6.4,4.3,64.9,566753,264.0,639.0,88,11.0,337.0,20.0,16,2,11.9,17,7.0,high,high,No,No
