FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
46003,SD,Aurora,78.3,3.0,3.5,,70,15.0,17.0,30,29,,3.0,54916.0,82,100.0,0.7,0.8,7.5,87.2,2730,,,74,19.0,,,5,2,5.6,17,,low,high,Yes,No
46005,SD,Beadle,78.0,3.5,3.7,84.0,57,14.0,6.0,36,31,9.0,55.0,54033.0,66,27.4,1.0,10.6,11.6,73.8,18513,14.0,,76,53.0,17.0,43.0,11,6,6.1,19,,low,high,No,No
46007,SD,Bennett,71.1,5.3,5.0,,54,36.0,23.0,42,33,,1.0,45478.0,64,100.0,0.5,0.5,6.0,33.2,3399,,,69,55.0,,56.0,19,1,4.9,30,,low,low,Yes,No
46009,SD,Bon Homme,80.0,3.5,3.7,,49,15.0,26.0,32,31,4.0,1.0,52890.0,72,100.0,1.4,0.4,2.9,86.3,6848,11.0,,77,10.0,,27.0,8,0,6.1,21,,low,low,Yes,No
46011,SD,Brookings,81.0,3.0,3.5,89.0,79,8.0,16.0,27,28,20.0,48.0,64542.0,59,29.7,1.4,3.0,3.8,89.3,35603,19.0,,83,6.0,,22.0,14,1,4.7,14,,high,high,No,No
46013,SD,Brown,80.0,3.0,3.5,90.0,70,10.0,8.0,29,32,25.0,154.0,64993.0,66,28.9,1.6,3.6,3.7,85.6,38738,27.0,,83,15.0,18.0,21.0,12,1,6.7,17,,high,high,No,No
46015,SD,Brule,78.8,3.3,3.8,,64,18.0,13.0,32,32,8.0,6.0,56691.0,61,100.0,0.6,0.5,3.0,82.6,5254,,,77,21.0,,43.0,11,0,5.4,19,,high,high,Yes,No
46017,SD,Buffalo,61.1,6.2,5.5,,37,44.0,12.0,45,40,0.0,5.0,22901.0,51,100.0,0.5,0.1,4.7,15.5,1956,,,60,64.0,,0.0,27,1,5.2,36,,low,low,Yes,No
46019,SD,Butte,78.3,3.6,4.0,88.0,48,17.0,17.0,34,30,3.0,4.0,52346.0,81,48.2,0.5,0.5,4.1,90.4,10538,13.0,,81,28.0,,45.0,12,0,5.4,21,,low,low,No,No
46021,SD,Campbell,,2.9,3.5,,80,15.0,9.0,28,29,0.0,1.0,52931.0,83,100.0,0.3,0.5,3.1,94.3,1380,,,71,,,0.0,8,0,5.8,17,,low,high,Yes,No
46023,SD,Charles Mix,72.5,4.2,4.3,,60,31.0,4.0,35,33,4.0,6.0,44865.0,70,100.0,0.5,0.2,4.0,62.5,9262,16.0,,71,42.0,,35.0,10,0,6.0,24,28.0,low,low,Yes,No
46025,SD,Clark,79.8,3.4,3.7,,62,17.0,16.0,32,31,,,54164.0,80,100.0,1.5,0.3,3.8,93.1,3802,,,79,17.0,,,8,1,6.4,19,,low,high,Yes,No
46027,SD,Clay,78.5,3.2,3.6,88.0,80,14.0,11.0,29,31,8.0,10.0,49834.0,54,24.3,1.6,2.6,3.2,86.7,14246,12.0,,89,6.0,,33.0,22,1,6.6,17,,low,low,No,No
46029,SD,Codington,79.5,3.3,3.8,90.0,66,11.0,7.0,30,31,27.0,77.0,62123.0,66,22.5,0.7,0.8,3.4,91.4,28186,31.0,,82,18.0,13.0,18.0,15,1,7.7,19,,high,high,No,No
46031,SD,Corson,64.1,5.8,5.2,,47,52.0,21.0,43,38,,4.0,29860.0,56,100.0,0.4,0.4,5.1,28.8,4031,,,67,66.0,,0.0,19,0,5.7,33,,low,low,Yes,No
46033,SD,Custer,80.6,3.2,3.7,,55,17.0,8.0,31,30,4.0,5.0,66654.0,83,100.0,0.8,0.8,4.0,89.3,9017,14.0,,82,18.0,13.0,9.0,14,0,3.6,18,,high,high,Yes,No
46035,SD,Davison,78.2,3.3,3.7,92.0,66,11.0,10.0,31,30,14.0,31.0,53664.0,60,23.3,0.9,0.8,4.0,89.6,19812,13.0,,84,21.0,,34.0,11,0,5.9,18,,low,high,No,No
46037,SD,Day,76.6,3.5,3.9,,60,17.0,19.0,33,31,2.0,,50445.0,74,100.0,0.4,0.7,2.4,85.8,5345,,,73,18.0,,32.0,11,0,6.6,22,,low,low,Yes,No
46039,SD,Deuel,82.0,3.1,3.6,,73,13.0,10.0,32,29,1.0,,58488.0,78,100.0,0.8,0.2,3.7,93.5,4346,,,76,,,0.0,10,0,6.3,19,,high,high,Yes,No
46041,SD,Dewey,65.3,5.4,5.1,,47,33.0,24.0,42,37,1.0,2.0,40429.0,60,64.1,0.4,0.3,4.4,19.0,5789,22.0,,63,66.0,,0.0,17,0,5.3,32,16.0,low,low,Yes,No
46043,SD,Douglas,80.6,3.1,3.7,,70,13.0,2.0,31,30,1.0,1.0,59404.0,74,100.0,0.4,0.1,2.1,93.4,2906,,,77,,,,12,0,5.7,18,,high,high,Yes,No
46045,SD,Edmunds,81.8,3.0,3.5,,76,14.0,10.0,30,30,2.0,,56671.0,82,100.0,0.3,0.6,2.1,95.2,3817,,,80,,,,6,0,6.2,17,,high,high,Yes,No
46047,SD,Fall River,74.7,3.5,3.9,79.0,63,20.0,12.0,33,31,4.0,46.0,48927.0,74,50.0,1.1,1.7,4.1,83.9,6708,12.0,,82,26.0,,44.0,13,1,4.4,19,,low,low,No,No
