FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
01001,AL,Autauga,76.6,4.5,5.4,89.0,61,15.0,13.0,32,38,25.0,21.0,67565.0,75,42.0,20.3,1.2,3.1,73.2,56145,74.0,14.0,83,23.0,49.0,8.0,15,1,9.5,20,,high,high,No,No
01003,AL,Baldwin,77.7,4.2,5.2,90.0,66,12.0,8.0,28,36,154.0,228.0,71135.0,77,42.3,8.5,1.1,4.6,83.3,229287,252.0,118.0,85,24.0,153.0,26.0,12,1,7.2,20,6.0,high,high,No,No
01005,AL,Barbour,72.9,5.9,6.1,85.0,38,38.0,10.0,42,41,9.0,6.0,38866.0,62,67.8,47.8,0.5,4.7,45.3,24589,50.0,,65,35.0,32.0,24.0,15,2,9.0,28,,low,low,Yes,Yes
01007,AL,Bibb,73.6,5.2,5.8,92.0,38,22.0,0.0,38,40,13.0,6.0,50907.0,75,68.4,21.0,0.3,2.9,74.2,22136,41.0,16.0,76,34.0,20.0,,11,0,9.4,25,,low,high,Yes,No
01009,AL,Blount,74.2,4.9,5.7,95.0,56,19.0,3.0,33,39,13.0,10.0,55203.0,76,90.0,1.5,0.4,9.5,86.8,57879,124.0,31.0,80,30.0,59.0,6.0,10,1,9.4,22,14.0,high,high,Yes,No
01011,AL,Bullock,73.8,5.5,5.7,93.0,28,39.0,32.0,41,45,3.0,2.0,33124.0,74,51.4,68.7,0.3,8.9,21.1,9976,36.0,,61,40.0,13.0,12.0,17,2,9.0,25,,low,low,No,Yes
01013,AL,Butler,73.5,5.3,6.0,93.0,37,31.0,7.0,41,42,5.0,13.0,42268.0,73,71.2,44.6,1.4,1.7,51.0,19504,53.0,,74,39.0,26.0,,13,0,8.8,25,,low,low,Yes,No
01015,AL,Calhoun,72.8,4.9,5.7,93.0,58,17.0,15.0,33,38,70.0,161.0,50259.0,70,33.7,21.2,0.9,4.1,71.4,113469,176.0,66.0,80,30.0,149.0,32.0,13,1,9.4,23,7.0,low,low,No,No
01017,AL,Chambers,73.8,5.1,5.8,87.0,54,26.0,8.0,37,41,15.0,1.0,39318.0,67,49.1,40.0,1.1,2.8,54.8,32865,59.0,10.0,75,37.0,45.0,26.0,15,0,9.3,24,13.0,low,low,No,No
01019,AL,Cherokee,74.0,5.2,6.0,92.0,53,23.0,5.0,36,38,10.0,6.0,50388.0,78,85.7,4.1,0.5,1.8,91.5,26294,58.0,14.0,75,33.0,33.0,15.0,11,1,9.2,25,,low,low,Yes,No
01021,AL,Chilton,74.4,5.2,5.9,88.0,42,21.0,4.0,35,39,10.0,27.0,52693.0,75,86.7,9.9,0.5,7.9,80.1,44397,78.0,24.0,75,43.0,33.0,,15,2,9.5,24,,low,high,Yes,No
01023,AL,Choctaw,74.2,5.4,6.1,93.0,64,29.0,13.0,38,42,5.0,1.0,41649.0,82,100.0,41.2,0.2,1.2,56.4,12418,36.0,,63,30.0,,8.0,12,0,9.2,25,,low,low,Yes,No
01025,AL,Clarke,71.7,5.4,6.0,91.0,43,29.0,18.0,40,43,11.0,21.0,44178.0,73,76.0,44.9,0.4,1.4,51.8,23291,54.0,10.0,63,38.0,27.0,,13,0,9.2,25,19.0,low,low,Yes,No
01027,AL,Clay,72.9,5.5,6.2,88.0,37,24.0,3.0,37,39,5.0,2.0,44763.0,77,100.0,13.5,0.3,3.1,80.6,13112,35.0,,72,34.0,15.0,7.0,10,0,7.0,26,,low,low,Yes,No
01029,AL,Cleburne,74.3,5.1,5.9,98.0,50,20.0,2.0,34,38,3.0,8.0,50134.0,77,100.0,2.8,0.2,2.8,92.4,14967,34.0,,71,31.0,18.0,,11,1,9.0,24,,low,low,Yes,No
01031,AL,Coffee,75.3,4.6,5.4,95.0,63,21.0,9.0,33,37,25.0,46.0,54203.0,68,47.2,17.0,1.7,8.3,69.1,53230,67.0,14.0,83,26.0,53.0,17.0,10,1,8.6,21,9.0,low,high,No,No
01033,AL,Colbert,73.9,4.8,5.7,93.0,56,21.0,9.0,33,40,34.0,24.0,54185.0,72,43.9,16.0,0.7,3.2,77.6,55411,93.0,20.0,73,30.0,59.0,23.0,12,1,7.5,22,,low,high,No,No
01035,AL,Conecuh,71.2,5.4,6.0,93.0,46,35.0,13.0,40,44,5.0,7.0,34664.0,75,80.9,45.4,0.3,2.5,50.1,11851,26.0,,62,31.0,17.0,8.0,10,0,8.8,25,,low,low,Yes,No
01037,AL,Coosa,73.9,5.1,5.8,,44,29.0,8.0,35,41,,2.0,46509.0,81,100.0,30.1,0.2,2.5,65.6,10650,33.0,,76,33.0,10.0,,10,0,9.2,24,,low,low,Yes,No
01039,AL,Covington,72.9,5.1,5.9,96.0,52,23.0,5.0,36,38,17.0,28.0,43544.0,74,69.7,12.5,0.5,1.9,82.9,36930,66.0,18.0,75,40.0,42.0,,12,0,8.6,25,6.0,low,low,Yes,No
